tollgate_id,time_window,direction,volume,etc,start_time,pair,date,hour,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,weekday,time,last_20min,last_40min,last_60min,last_80min,last_100min,last_120min,timemap,holiday
2,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,2,0,2016-09-19 00:00:00,2-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:00:00,,,,,,,1,0
2,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,1,1,2016-09-19 01:00:00,2-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,01:00:00,,,,,,,4,0
2,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,2,2,2016-09-19 01:40:00,2-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,01:40:00,,1.0,,,,,6,0
2,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,14,1,2016-09-19 05:00:00,2-0,2016-09-19, 03:00:00,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,0,05:00:00,,,,,,,16,0
2,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",0,12,0,2016-09-19 05:20:00,2-0,2016-09-19, 03:00:00,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,0,05:20:00,14.0,,,,,,17,0
2,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",0,21,5,2016-09-19 05:40:00,2-0,2016-09-19, 03:00:00,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,0,05:40:00,12.0,14.0,,,,,18,0
2,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",0,30,5,2016-09-19 06:00:00,2-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,06:00:00,21.0,12.0,14.0,,,,19,0
2,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",0,36,4,2016-09-19 06:20:00,2-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,06:20:00,30.0,21.0,12.0,14.0,,,20,0
2,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",0,37,10,2016-09-19 06:40:00,2-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,06:40:00,36.0,30.0,21.0,12.0,14.0,,21,0
2,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",0,84,34,2016-09-19 07:00:00,2-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,07:00:00,37.0,36.0,30.0,21.0,12.0,14.0,22,0
2,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",0,80,36,2016-09-19 07:20:00,2-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,07:20:00,84.0,37.0,36.0,30.0,21.0,12.0,23,0
2,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",0,97,36,2016-09-19 07:40:00,2-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,07:40:00,80.0,84.0,37.0,36.0,30.0,21.0,24,0
2,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",0,129,43,2016-09-19 08:00:00,2-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,08:00:00,97.0,80.0,84.0,37.0,36.0,30.0,25,0
2,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",0,122,41,2016-09-19 08:20:00,2-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,08:20:00,129.0,97.0,80.0,84.0,37.0,36.0,26,0
2,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",0,98,30,2016-09-19 08:40:00,2-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,08:40:00,122.0,129.0,97.0,80.0,84.0,37.0,27,0
2,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",0,89,15,2016-09-19 09:00:00,2-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,09:00:00,98.0,122.0,129.0,97.0,80.0,84.0,28,0
2,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",0,78,18,2016-09-19 09:20:00,2-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,09:20:00,89.0,98.0,122.0,129.0,97.0,80.0,29,0
2,"[2016-09-19 09:40:00,2016-09-19 10:00:00)",0,59,12,2016-09-19 09:40:00,2-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,09:40:00,78.0,89.0,98.0,122.0,129.0,97.0,30,0
2,"[2016-09-19 10:00:00,2016-09-19 10:20:00)",0,71,18,2016-09-19 10:00:00,2-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,10:00:00,59.0,78.0,89.0,98.0,122.0,129.0,31,0
2,"[2016-09-19 10:20:00,2016-09-19 10:40:00)",0,88,11,2016-09-19 10:20:00,2-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,10:20:00,71.0,59.0,78.0,89.0,98.0,122.0,32,0
2,"[2016-09-19 10:40:00,2016-09-19 11:00:00)",0,65,14,2016-09-19 10:40:00,2-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,10:40:00,88.0,71.0,59.0,78.0,89.0,98.0,33,0
2,"[2016-09-19 11:00:00,2016-09-19 11:20:00)",0,50,13,2016-09-19 11:00:00,2-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,11:00:00,65.0,88.0,71.0,59.0,78.0,89.0,34,0
2,"[2016-09-19 11:20:00,2016-09-19 11:40:00)",0,61,14,2016-09-19 11:20:00,2-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,11:20:00,50.0,65.0,88.0,71.0,59.0,78.0,35,0
2,"[2016-09-19 11:40:00,2016-09-19 12:00:00)",0,46,9,2016-09-19 11:40:00,2-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,11:40:00,61.0,50.0,65.0,88.0,71.0,59.0,36,0
2,"[2016-09-19 12:00:00,2016-09-19 12:20:00)",0,87,18,2016-09-19 12:00:00,2-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,12:00:00,46.0,61.0,50.0,65.0,88.0,71.0,37,0
2,"[2016-09-19 12:20:00,2016-09-19 12:40:00)",0,66,18,2016-09-19 12:20:00,2-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,12:20:00,87.0,46.0,61.0,50.0,65.0,88.0,38,0
2,"[2016-09-19 12:40:00,2016-09-19 13:00:00)",0,69,14,2016-09-19 12:40:00,2-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,12:40:00,66.0,87.0,46.0,61.0,50.0,65.0,39,0
2,"[2016-09-19 13:00:00,2016-09-19 13:20:00)",0,81,26,2016-09-19 13:00:00,2-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,13:00:00,69.0,66.0,87.0,46.0,61.0,50.0,40,0
2,"[2016-09-19 13:20:00,2016-09-19 13:40:00)",0,95,29,2016-09-19 13:20:00,2-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,13:20:00,81.0,69.0,66.0,87.0,46.0,61.0,41,0
2,"[2016-09-19 13:40:00,2016-09-19 14:00:00)",0,67,20,2016-09-19 13:40:00,2-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,13:40:00,95.0,81.0,69.0,66.0,87.0,46.0,42,0
2,"[2016-09-19 14:00:00,2016-09-19 14:20:00)",0,66,12,2016-09-19 14:00:00,2-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,14:00:00,67.0,95.0,81.0,69.0,66.0,87.0,43,0
2,"[2016-09-19 14:20:00,2016-09-19 14:40:00)",0,62,16,2016-09-19 14:20:00,2-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,14:20:00,66.0,67.0,95.0,81.0,69.0,66.0,44,0
2,"[2016-09-19 14:40:00,2016-09-19 15:00:00)",0,79,21,2016-09-19 14:40:00,2-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,14:40:00,62.0,66.0,67.0,95.0,81.0,69.0,45,0
2,"[2016-09-19 15:00:00,2016-09-19 15:20:00)",0,77,19,2016-09-19 15:00:00,2-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,15:00:00,79.0,62.0,66.0,67.0,95.0,81.0,46,0
2,"[2016-09-19 15:20:00,2016-09-19 15:40:00)",0,67,15,2016-09-19 15:20:00,2-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,15:20:00,77.0,79.0,62.0,66.0,67.0,95.0,47,0
2,"[2016-09-19 15:40:00,2016-09-19 16:00:00)",0,74,14,2016-09-19 15:40:00,2-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,15:40:00,67.0,77.0,79.0,62.0,66.0,67.0,48,0
2,"[2016-09-19 16:00:00,2016-09-19 16:20:00)",0,76,16,2016-09-19 16:00:00,2-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,16:00:00,74.0,67.0,77.0,79.0,62.0,66.0,49,0
2,"[2016-09-19 16:20:00,2016-09-19 16:40:00)",0,86,23,2016-09-19 16:20:00,2-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,16:20:00,76.0,74.0,67.0,77.0,79.0,62.0,50,0
2,"[2016-09-19 16:40:00,2016-09-19 17:00:00)",0,99,22,2016-09-19 16:40:00,2-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,16:40:00,86.0,76.0,74.0,67.0,77.0,79.0,51,0
2,"[2016-09-19 17:00:00,2016-09-19 17:20:00)",0,85,17,2016-09-19 17:00:00,2-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,17:00:00,99.0,86.0,76.0,74.0,67.0,77.0,52,0
2,"[2016-09-19 17:20:00,2016-09-19 17:40:00)",0,72,23,2016-09-19 17:20:00,2-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,17:20:00,85.0,99.0,86.0,76.0,74.0,67.0,53,0
2,"[2016-09-19 17:40:00,2016-09-19 18:00:00)",0,53,15,2016-09-19 17:40:00,2-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,17:40:00,72.0,85.0,99.0,86.0,76.0,74.0,54,0
2,"[2016-09-19 18:00:00,2016-09-19 18:20:00)",0,55,18,2016-09-19 18:00:00,2-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,18:00:00,53.0,72.0,85.0,99.0,86.0,76.0,55,0
2,"[2016-09-19 18:20:00,2016-09-19 18:40:00)",0,50,15,2016-09-19 18:20:00,2-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,18:20:00,55.0,53.0,72.0,85.0,99.0,86.0,56,0
2,"[2016-09-19 18:40:00,2016-09-19 19:00:00)",0,49,13,2016-09-19 18:40:00,2-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,18:40:00,50.0,55.0,53.0,72.0,85.0,99.0,57,0
2,"[2016-09-19 19:00:00,2016-09-19 19:20:00)",0,44,12,2016-09-19 19:00:00,2-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,19:00:00,49.0,50.0,55.0,53.0,72.0,85.0,58,0
2,"[2016-09-19 19:20:00,2016-09-19 19:40:00)",0,49,12,2016-09-19 19:20:00,2-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,19:20:00,44.0,49.0,50.0,55.0,53.0,72.0,59,0
2,"[2016-09-19 19:40:00,2016-09-19 20:00:00)",0,41,7,2016-09-19 19:40:00,2-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,19:40:00,49.0,44.0,49.0,50.0,55.0,53.0,60,0
2,"[2016-09-19 20:00:00,2016-09-19 20:20:00)",0,56,9,2016-09-19 20:00:00,2-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,20:00:00,41.0,49.0,44.0,49.0,50.0,55.0,61,0
2,"[2016-09-19 20:20:00,2016-09-19 20:40:00)",0,21,4,2016-09-19 20:20:00,2-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,20:20:00,56.0,41.0,49.0,44.0,49.0,50.0,62,0
2,"[2016-09-19 20:40:00,2016-09-19 21:00:00)",0,35,9,2016-09-19 20:40:00,2-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,20:40:00,21.0,56.0,41.0,49.0,44.0,49.0,63,0
2,"[2016-09-19 21:00:00,2016-09-19 21:20:00)",0,29,6,2016-09-19 21:00:00,2-0,2016-09-19, 21:00:00,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0,0,21:00:00,35.0,21.0,56.0,41.0,49.0,44.0,64,0
2,"[2016-09-19 21:20:00,2016-09-19 21:40:00)",0,20,6,2016-09-19 21:20:00,2-0,2016-09-19, 21:00:00,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0,0,21:20:00,29.0,35.0,21.0,56.0,41.0,49.0,65,0
2,"[2016-09-19 21:40:00,2016-09-19 22:00:00)",0,24,4,2016-09-19 21:40:00,2-0,2016-09-19, 21:00:00,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0,0,21:40:00,20.0,29.0,35.0,21.0,56.0,41.0,66,0
2,"[2016-09-19 22:00:00,2016-09-19 22:20:00)",0,21,5,2016-09-19 22:00:00,2-0,2016-09-19, 21:00:00,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0,0,22:00:00,24.0,20.0,29.0,35.0,21.0,56.0,67,0
2,"[2016-09-19 22:20:00,2016-09-19 22:40:00)",0,12,2,2016-09-19 22:20:00,2-0,2016-09-19, 21:00:00,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0,0,22:20:00,21.0,24.0,20.0,29.0,35.0,21.0,68,0
2,"[2016-09-19 22:40:00,2016-09-19 23:00:00)",0,24,6,2016-09-19 22:40:00,2-0,2016-09-19, 21:00:00,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0,0,22:40:00,12.0,21.0,24.0,20.0,29.0,35.0,69,0
2,"[2016-09-19 23:00:00,2016-09-19 23:20:00)",0,16,4,2016-09-19 23:00:00,2-0,2016-09-19, 21:00:00,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0,0,23:00:00,24.0,12.0,21.0,24.0,20.0,29.0,70,0
2,"[2016-09-19 23:20:00,2016-09-19 23:40:00)",0,6,1,2016-09-19 23:20:00,2-0,2016-09-19, 21:00:00,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0,0,23:20:00,16.0,24.0,12.0,21.0,24.0,20.0,71,0
2,"[2016-09-19 23:40:00,2016-09-20 00:00:00)",0,12,3,2016-09-19 23:40:00,2-0,2016-09-19, 21:00:00,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0,0,23:40:00,6.0,16.0,24.0,12.0,21.0,24.0,72,0
2,"[2016-09-20 00:20:00,2016-09-20 00:40:00)",0,2,2,2016-09-20 00:20:00,2-0,2016-09-20, 00:00:00,1013.2,1018.2,341.0,3.5,21.1,68.0,0.0,1,00:20:00,,12.0,6.0,16.0,24.0,12.0,2,0
2,"[2016-09-20 00:40:00,2016-09-20 01:00:00)",0,2,2,2016-09-20 00:40:00,2-0,2016-09-20, 00:00:00,1013.2,1018.2,341.0,3.5,21.1,68.0,0.0,1,00:40:00,2.0,,12.0,6.0,16.0,24.0,3,0
2,"[2016-09-20 01:20:00,2016-09-20 01:40:00)",0,1,1,2016-09-20 01:20:00,2-0,2016-09-20, 00:00:00,1013.2,1018.2,341.0,3.5,21.1,68.0,0.0,1,01:20:00,,2.0,2.0,,12.0,6.0,5,0
2,"[2016-09-20 05:00:00,2016-09-20 05:20:00)",0,5,0,2016-09-20 05:00:00,2-0,2016-09-20, 03:00:00,1013.5,1018.5,354.0,2.6,23.9,58.0,0.0,1,05:00:00,,,,,,,16,0
2,"[2016-09-20 05:20:00,2016-09-20 05:40:00)",0,18,3,2016-09-20 05:20:00,2-0,2016-09-20, 03:00:00,1013.5,1018.5,354.0,2.6,23.9,58.0,0.0,1,05:20:00,5.0,,,,,,17,0
2,"[2016-09-20 05:40:00,2016-09-20 06:00:00)",0,21,4,2016-09-20 05:40:00,2-0,2016-09-20, 03:00:00,1013.5,1018.5,354.0,2.6,23.9,58.0,0.0,1,05:40:00,18.0,5.0,,,,,18,0
2,"[2016-09-20 06:00:00,2016-09-20 06:20:00)",0,33,3,2016-09-20 06:00:00,2-0,2016-09-20, 06:00:00,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0,1,06:00:00,21.0,18.0,5.0,,,,19,0
2,"[2016-09-20 06:20:00,2016-09-20 06:40:00)",0,31,7,2016-09-20 06:20:00,2-0,2016-09-20, 06:00:00,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0,1,06:20:00,33.0,21.0,18.0,5.0,,,20,0
2,"[2016-09-20 06:40:00,2016-09-20 07:00:00)",0,54,13,2016-09-20 06:40:00,2-0,2016-09-20, 06:00:00,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0,1,06:40:00,31.0,33.0,21.0,18.0,5.0,,21,0
2,"[2016-09-20 07:00:00,2016-09-20 07:20:00)",0,79,28,2016-09-20 07:00:00,2-0,2016-09-20, 06:00:00,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0,1,07:00:00,54.0,31.0,33.0,21.0,18.0,5.0,22,0
2,"[2016-09-20 07:20:00,2016-09-20 07:40:00)",0,86,34,2016-09-20 07:20:00,2-0,2016-09-20, 06:00:00,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0,1,07:20:00,79.0,54.0,31.0,33.0,21.0,18.0,23,0
2,"[2016-09-20 07:40:00,2016-09-20 08:00:00)",0,93,36,2016-09-20 07:40:00,2-0,2016-09-20, 06:00:00,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0,1,07:40:00,86.0,79.0,54.0,31.0,33.0,21.0,24,0
2,"[2016-09-20 08:00:00,2016-09-20 08:20:00)",0,112,33,2016-09-20 08:00:00,2-0,2016-09-20, 06:00:00,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0,1,08:00:00,93.0,86.0,79.0,54.0,31.0,33.0,25,0
2,"[2016-09-20 08:20:00,2016-09-20 08:40:00)",0,111,39,2016-09-20 08:20:00,2-0,2016-09-20, 06:00:00,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0,1,08:20:00,112.0,93.0,86.0,79.0,54.0,31.0,26,0
2,"[2016-09-20 08:40:00,2016-09-20 09:00:00)",0,112,33,2016-09-20 08:40:00,2-0,2016-09-20, 06:00:00,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0,1,08:40:00,111.0,112.0,93.0,86.0,79.0,54.0,27,0
2,"[2016-09-20 09:00:00,2016-09-20 09:20:00)",0,105,26,2016-09-20 09:00:00,2-0,2016-09-20, 09:00:00,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0,1,09:00:00,112.0,111.0,112.0,93.0,86.0,79.0,28,0
2,"[2016-09-20 09:20:00,2016-09-20 09:40:00)",0,99,25,2016-09-20 09:20:00,2-0,2016-09-20, 09:00:00,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0,1,09:20:00,105.0,112.0,111.0,112.0,93.0,86.0,29,0
2,"[2016-09-20 09:40:00,2016-09-20 10:00:00)",0,87,24,2016-09-20 09:40:00,2-0,2016-09-20, 09:00:00,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0,1,09:40:00,99.0,105.0,112.0,111.0,112.0,93.0,30,0
2,"[2016-09-20 10:00:00,2016-09-20 10:20:00)",0,85,20,2016-09-20 10:00:00,2-0,2016-09-20, 09:00:00,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0,1,10:00:00,87.0,99.0,105.0,112.0,111.0,112.0,31,0
2,"[2016-09-20 10:20:00,2016-09-20 10:40:00)",0,76,16,2016-09-20 10:20:00,2-0,2016-09-20, 09:00:00,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0,1,10:20:00,85.0,87.0,99.0,105.0,112.0,111.0,32,0
2,"[2016-09-20 10:40:00,2016-09-20 11:00:00)",0,80,20,2016-09-20 10:40:00,2-0,2016-09-20, 09:00:00,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0,1,10:40:00,76.0,85.0,87.0,99.0,105.0,112.0,33,0
2,"[2016-09-20 11:00:00,2016-09-20 11:20:00)",0,63,12,2016-09-20 11:00:00,2-0,2016-09-20, 09:00:00,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0,1,11:00:00,80.0,76.0,85.0,87.0,99.0,105.0,34,0
2,"[2016-09-20 11:20:00,2016-09-20 11:40:00)",0,46,7,2016-09-20 11:20:00,2-0,2016-09-20, 09:00:00,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0,1,11:20:00,63.0,80.0,76.0,85.0,87.0,99.0,35,0
2,"[2016-09-20 11:40:00,2016-09-20 12:00:00)",0,55,9,2016-09-20 11:40:00,2-0,2016-09-20, 09:00:00,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0,1,11:40:00,46.0,63.0,80.0,76.0,85.0,87.0,36,0
2,"[2016-09-20 12:00:00,2016-09-20 12:20:00)",0,73,14,2016-09-20 12:00:00,2-0,2016-09-20, 12:00:00,1013.7,1018.7,25.0,1.7,22.1,53.0,0.0,1,12:00:00,55.0,46.0,63.0,80.0,76.0,85.0,37,0
2,"[2016-09-20 12:20:00,2016-09-20 12:40:00)",0,88,25,2016-09-20 12:20:00,2-0,2016-09-20, 12:00:00,1013.7,1018.7,25.0,1.7,22.1,53.0,0.0,1,12:20:00,73.0,55.0,46.0,63.0,80.0,76.0,38,0
2,"[2016-09-20 12:40:00,2016-09-20 13:00:00)",0,80,21,2016-09-20 12:40:00,2-0,2016-09-20, 12:00:00,1013.7,1018.7,25.0,1.7,22.1,53.0,0.0,1,12:40:00,88.0,73.0,55.0,46.0,63.0,80.0,39,0
2,"[2016-09-20 13:00:00,2016-09-20 13:20:00)",0,75,24,2016-09-20 13:00:00,2-0,2016-09-20, 12:00:00,1013.7,1018.7,25.0,1.7,22.1,53.0,0.0,1,13:00:00,80.0,88.0,73.0,55.0,46.0,63.0,40,0
2,"[2016-09-20 13:20:00,2016-09-20 13:40:00)",0,96,23,2016-09-20 13:20:00,2-0,2016-09-20, 12:00:00,1013.7,1018.7,25.0,1.7,22.1,53.0,0.0,1,13:20:00,75.0,80.0,88.0,73.0,55.0,46.0,41,0
2,"[2016-09-20 13:40:00,2016-09-20 14:00:00)",0,69,19,2016-09-20 13:40:00,2-0,2016-09-20, 12:00:00,1013.7,1018.7,25.0,1.7,22.1,53.0,0.0,1,13:40:00,96.0,75.0,80.0,88.0,73.0,55.0,42,0
