volume,pair,tollgate_id,direction,time_window,start_time,date,time,hour,minute,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,last_40min,last_60min,last_80min,last_100min,last_120min,wind_direction2,wind_speed2,precipitation2,SSD,SSD_level,is_workday,datemap,1-0,1-1,2-0,3-0,3-1,hour__0,hour__1,hour__2,hour__3,hour__4,hour__5,hour__6,hour__7,hour__8,hour__9,hour__10,hour__11,hour__12,hour__13,hour__14,hour__15,hour__16,hour__17,hour__18,hour__19,hour__20,hour__21,hour__22,hour__23,minute__0,minute__20,minute__40,weekday__0,weekday__1,weekday__2,weekday__3,weekday__4,weekday__5,weekday__6,workday__1,workday__2,workday__3
13,1-0,1,0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",2016-09-19 00:00:00,2016-09-19,00:00:00,0,0,0,1,1008.2,329.0,2.8,22.2,76.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,7,2,0,69.2230426385965,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
6,1-0,1,0,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",2016-09-19 00:20:00,2016-09-19,00:20:00,0,20,0,2,1008.2,329.0,2.8,22.2,76.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,7,2,0,69.2230426385965,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
9,1-0,1,0,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",2016-09-19 00:40:00,2016-09-19,00:40:00,0,40,0,3,1008.2,329.0,2.8,22.2,76.0,0.0,6.0,13.0,13.0,13.0,13.0,13.0,7,2,0,69.2230426385965,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
10,1-0,1,0,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",2016-09-19 01:00:00,2016-09-19,01:00:00,1,0,0,4,1008.2,329.0,2.8,22.2,76.0,0.0,9.0,6.0,13.0,13.0,13.0,13.0,7,2,0,69.2230426385965,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
14,1-0,1,0,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",2016-09-19 01:20:00,2016-09-19,01:20:00,1,20,0,5,1008.2,329.0,2.8,22.2,76.0,0.0,10.0,9.0,6.0,13.0,13.0,13.0,7,2,0,69.2230426385965,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
10,1-0,1,0,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",2016-09-19 01:40:00,2016-09-19,01:40:00,1,40,0,6,1008.2,329.0,2.8,22.2,76.0,0.0,14.0,10.0,9.0,6.0,13.0,13.0,7,2,0,69.2230426385965,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
7,1-0,1,0,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",2016-09-19 02:00:00,2016-09-19,02:00:00,2,0,0,7,1008.2,329.0,2.8,22.2,76.0,0.0,10.0,14.0,10.0,9.0,6.0,13.0,7,2,0,69.2230426385965,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
10,1-0,1,0,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",2016-09-19 02:20:00,2016-09-19,02:20:00,2,20,0,8,1008.2,329.0,2.8,22.2,76.0,0.0,7.0,10.0,14.0,10.0,9.0,6.0,7,2,0,69.2230426385965,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
6,1-0,1,0,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",2016-09-19 02:40:00,2016-09-19,02:40:00,2,40,0,9,1008.2,329.0,2.8,22.2,76.0,0.0,10.0,7.0,10.0,14.0,10.0,9.0,7,2,0,69.2230426385965,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
9,1-0,1,0,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",2016-09-19 03:00:00,2016-09-19,03:00:00,3,0,0,10,1008.3,15.0,4.5,24.4,67.0,0.0,6.0,10.0,7.0,10.0,14.0,10.0,8,3,0,66.84581676116505,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
4,1-0,1,0,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",2016-09-19 03:20:00,2016-09-19,03:20:00,3,20,0,11,1008.3,15.0,4.5,24.4,67.0,0.0,9.0,6.0,10.0,7.0,10.0,14.0,8,3,0,66.84581676116505,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
9,1-0,1,0,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",2016-09-19 03:40:00,2016-09-19,03:40:00,3,40,0,12,1008.3,15.0,4.5,24.4,67.0,0.0,4.0,9.0,6.0,10.0,7.0,10.0,8,3,0,66.84581676116505,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
10,1-0,1,0,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",2016-09-19 04:00:00,2016-09-19,04:00:00,4,0,0,13,1008.3,15.0,4.5,24.4,67.0,0.0,9.0,4.0,9.0,6.0,10.0,7.0,8,3,0,66.84581676116505,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
13,1-0,1,0,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",2016-09-19 04:20:00,2016-09-19,04:20:00,4,20,0,14,1008.3,15.0,4.5,24.4,67.0,0.0,10.0,9.0,4.0,9.0,6.0,10.0,8,3,0,66.84581676116505,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
12,1-0,1,0,"[2016-09-19 04:40:00,2016-09-19 05:00:00)",2016-09-19 04:40:00,2016-09-19,04:40:00,4,40,0,15,1008.3,15.0,4.5,24.4,67.0,0.0,13.0,10.0,9.0,4.0,9.0,6.0,8,3,0,66.84581676116505,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
2,1-0,1,0,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",2016-09-19 05:00:00,2016-09-19,05:00:00,5,0,0,16,1008.3,15.0,4.5,24.4,67.0,0.0,12.0,13.0,10.0,9.0,4.0,9.0,8,3,0,66.84581676116505,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
8,1-0,1,0,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",2016-09-19 05:20:00,2016-09-19,05:20:00,5,20,0,17,1008.3,15.0,4.5,24.4,67.0,0.0,2.0,12.0,13.0,10.0,9.0,4.0,8,3,0,66.84581676116505,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
13,1-0,1,0,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",2016-09-19 05:40:00,2016-09-19,05:40:00,5,40,0,18,1008.3,15.0,4.5,24.4,67.0,0.0,8.0,2.0,12.0,13.0,10.0,9.0,8,3,0,66.84581676116505,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
8,1-0,1,0,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",2016-09-19 06:00:00,2016-09-19,06:00:00,6,0,0,19,1007.4,12.0,6.2,26.8,56.0,0.0,13.0,8.0,2.0,12.0,13.0,10.0,8,4,0,64.44146651428571,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
13,1-0,1,0,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",2016-09-19 06:20:00,2016-09-19,06:20:00,6,20,0,20,1007.4,12.0,6.2,26.8,56.0,0.0,8.0,13.0,8.0,2.0,12.0,13.0,8,4,0,64.44146651428571,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
32,1-0,1,0,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",2016-09-19 06:40:00,2016-09-19,06:40:00,6,40,0,21,1007.4,12.0,6.2,26.8,56.0,0.0,13.0,8.0,13.0,8.0,2.0,12.0,8,4,0,64.44146651428571,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
39,1-0,1,0,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",2016-09-19 07:00:00,2016-09-19,07:00:00,7,0,0,22,1007.4,12.0,6.2,26.8,56.0,0.0,32.0,13.0,8.0,13.0,8.0,2.0,8,4,0,64.44146651428571,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
31,1-0,1,0,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",2016-09-19 07:20:00,2016-09-19,07:20:00,7,20,0,23,1007.4,12.0,6.2,26.8,56.0,0.0,39.0,32.0,13.0,8.0,13.0,8.0,8,4,0,64.44146651428571,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
