volume,pair,tollgate_id,direction,time_window,start_time,date,time,hour,minute,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,last_40min,last_60min,last_80min,last_100min,last_120min,wind_direction2,wind_speed2,precipitation2,SSD,SSD_level,is_workday,datemap,1-0,1-1,2-0,3-0,3-1,hour__0,hour__1,hour__2,hour__3,hour__4,hour__5,hour__6,hour__7,hour__8,hour__9,hour__10,hour__11,hour__12,hour__13,hour__14,hour__15,hour__16,hour__17,hour__18,hour__19,hour__20,hour__21,hour__22,hour__23,minute__0,minute__20,minute__40,weekday__0,weekday__1,weekday__2,weekday__3,weekday__4,weekday__5,weekday__6,workday__1,workday__2
15,1-0,1,0,"[2016-10-08 00:00:00,2016-10-08 00:20:00)",2016-10-08 00:00:00,2016-10-08,00:00:00,0,0,5,1,1010.6,2.0,4.2,19.4,94.0,1.0,50.0,58.0,44.0,28.0,24.0,40.0,8,3,1,61.351558100000005,0,2,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
10,1-0,1,0,"[2016-10-08 00:20:00,2016-10-08 00:40:00)",2016-10-08 00:20:00,2016-10-08,00:20:00,0,20,5,2,1010.6,2.0,4.2,19.4,94.0,1.0,15.0,50.0,58.0,44.0,28.0,24.0,8,3,1,61.351558100000005,0,2,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
6,1-0,1,0,"[2016-10-08 00:40:00,2016-10-08 01:00:00)",2016-10-08 00:40:00,2016-10-08,00:40:00,0,40,5,3,1010.6,2.0,4.2,19.4,94.0,1.0,10.0,15.0,50.0,58.0,44.0,28.0,8,3,1,61.351558100000005,0,2,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4,1-0,1,0,"[2016-10-08 01:00:00,2016-10-08 01:20:00)",2016-10-08 01:00:00,2016-10-08,01:00:00,1,0,5,4,1010.6,2.0,4.2,19.4,94.0,1.0,6.0,10.0,15.0,50.0,58.0,44.0,8,3,1,61.351558100000005,0,2,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
9,1-0,1,0,"[2016-10-08 01:20:00,2016-10-08 01:40:00)",2016-10-08 01:20:00,2016-10-08,01:20:00,1,20,5,5,1010.6,2.0,4.2,19.4,94.0,1.0,4.0,6.0,10.0,15.0,50.0,58.0,8,3,1,61.351558100000005,0,2,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
3,1-0,1,0,"[2016-10-08 01:40:00,2016-10-08 02:00:00)",2016-10-08 01:40:00,2016-10-08,01:40:00,1,40,5,6,1010.6,2.0,4.2,19.4,94.0,1.0,9.0,4.0,6.0,10.0,15.0,50.0,8,3,1,61.351558100000005,0,2,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
7,1-0,1,0,"[2016-10-08 02:00:00,2016-10-08 02:20:00)",2016-10-08 02:00:00,2016-10-08,02:00:00,2,0,5,7,1010.6,2.0,4.2,19.4,94.0,1.0,3.0,9.0,4.0,6.0,10.0,15.0,8,3,1,61.351558100000005,0,2,20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
7,1-0,1,0,"[2016-10-08 02:20:00,2016-10-08 02:40:00)",2016-10-08 02:20:00,2016-10-08,02:20:00,2,20,5,8,1010.6,2.0,4.2,19.4,94.0,1.0,7.0,3.0,9.0,4.0,6.0,10.0,8,3,1,61.351558100000005,0,2,20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
6,1-0,1,0,"[2016-10-08 02:40:00,2016-10-08 03:00:00)",2016-10-08 02:40:00,2016-10-08,02:40:00,2,40,5,9,1010.6,2.0,4.2,19.4,94.0,1.0,7.0,7.0,3.0,9.0,4.0,6.0,8,3,1,61.351558100000005,0,2,20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
5,1-0,1,0,"[2016-10-08 03:00:00,2016-10-08 03:20:00)",2016-10-08 03:00:00,2016-10-08,03:00:00,3,0,5,10,1011.0,5.0,5.5,20.3,81.0,0.0,6.0,7.0,7.0,3.0,9.0,4.0,8,3,0,57.52530258947368,-1,2,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
3,1-0,1,0,"[2016-10-08 03:20:00,2016-10-08 03:40:00)",2016-10-08 03:20:00,2016-10-08,03:20:00,3,20,5,11,1011.0,5.0,5.5,20.3,81.0,0.0,5.0,6.0,7.0,7.0,3.0,9.0,8,3,0,57.52530258947368,-1,2,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
