avg_travel_time,route,intersection_id,tollgate_id,time_window,start_time,date,month,day,weekday,holiday,time,hour,minute,timemap,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min
100.19,A-2,A,2,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",2016-09-19 00:00:00,2016-09-19,9,19,0,0,00:00:00,0,0,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,100.19
52.63,A-2,A,2,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",2016-09-19 00:20:00,2016-09-19,9,19,0,0,00:20:00,0,20,2,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,100.19
55.05630874633789,A-2,A,2,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",2016-09-19 00:40:00,2016-09-19,9,19,0,0,00:40:00,0,40,3,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,52.63
55.05630874633789,A-2,A,2,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",2016-09-19 01:00:00,2016-09-19,9,19,0,0,01:00:00,1,0,4,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,55.05630874633789
45.61,A-2,A,2,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",2016-09-19 01:20:00,2016-09-19,9,19,0,0,01:20:00,1,20,5,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,55.05630874633789
55.05630874633789,A-2,A,2,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",2016-09-19 01:40:00,2016-09-19,9,19,0,0,01:40:00,1,40,6,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,45.61
47.98,A-2,A,2,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",2016-09-19 02:00:00,2016-09-19,9,19,0,0,02:00:00,2,0,7,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,55.05630874633789
135.99,A-2,A,2,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",2016-09-19 02:20:00,2016-09-19,9,19,0,0,02:20:00,2,20,8,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,47.98
60.45,A-2,A,2,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",2016-09-19 02:40:00,2016-09-19,9,19,0,0,02:40:00,2,40,9,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,135.99
43.39,A-2,A,2,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",2016-09-19 03:00:00,2016-09-19,9,19,0,0,03:00:00,3,0,10,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,60.45
41.66,A-2,A,2,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",2016-09-19 03:20:00,2016-09-19,9,19,0,0,03:20:00,3,20,11,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,43.39
47.5,A-2,A,2,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",2016-09-19 03:40:00,2016-09-19,9,19,0,0,03:40:00,3,40,12,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,41.66
67.16,A-2,A,2,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",2016-09-19 04:00:00,2016-09-19,9,19,0,0,04:00:00,4,0,13,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,47.5
89.31,A-2,A,2,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",2016-09-19 04:20:00,2016-09-19,9,19,0,0,04:20:00,4,20,14,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,67.16
56.63873291015625,A-2,A,2,"[2016-09-19 04:40:00,2016-09-19 05:00:00)",2016-09-19 04:40:00,2016-09-19,9,19,0,0,04:40:00,4,40,15,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,89.31
98.97,A-2,A,2,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",2016-09-19 05:00:00,2016-09-19,9,19,0,0,05:00:00,5,0,16,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,56.63873291015625
15.57,A-2,A,2,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",2016-09-19 05:20:00,2016-09-19,9,19,0,0,05:20:00,5,20,17,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,98.97
63.53,A-2,A,2,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",2016-09-19 05:40:00,2016-09-19,9,19,0,0,05:40:00,5,40,18,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,15.57
44.12,A-2,A,2,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",2016-09-19 06:00:00,2016-09-19,9,19,0,0,06:00:00,6,0,19,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,63.53
