"tollgate_id","time_window","direction","volume","etc"
"2","[2016-09-19 00:00:00,2016-09-19 00:20:00)","0","2","0"
"2","[2016-09-19 01:00:00,2016-09-19 01:20:00)","0","1","1"
"2","[2016-09-19 01:40:00,2016-09-19 02:00:00)","0","2","2"
"2","[2016-09-19 05:00:00,2016-09-19 05:20:00)","0","14","1"
"2","[2016-09-19 05:20:00,2016-09-19 05:40:00)","0","12","0"
"2","[2016-09-19 05:40:00,2016-09-19 06:00:00)","0","21","5"
"2","[2016-09-19 06:00:00,2016-09-19 06:20:00)","0","30","5"
"2","[2016-09-19 06:20:00,2016-09-19 06:40:00)","0","36","4"
"2","[2016-09-19 06:40:00,2016-09-19 07:00:00)","0","37","10"
"2","[2016-09-19 07:00:00,2016-09-19 07:20:00)","0","84","34"
"2","[2016-09-19 07:20:00,2016-09-19 07:40:00)","0","80","36"
"2","[2016-09-19 07:40:00,2016-09-19 08:00:00)","0","97","36"
"2","[2016-09-19 08:00:00,2016-09-19 08:20:00)","0","129","43"
"2","[2016-09-19 08:20:00,2016-09-19 08:40:00)","0","122","41"
"2","[2016-09-19 08:40:00,2016-09-19 09:00:00)","0","98","30"
"2","[2016-09-19 09:00:00,2016-09-19 09:20:00)","0","89","15"
"2","[2016-09-19 09:20:00,2016-09-19 09:40:00)","0","78","18"
"2","[2016-09-19 09:40:00,2016-09-19 10:00:00)","0","59","12"
"2","[2016-09-19 10:00:00,2016-09-19 10:20:00)","0","71","18"
"2","[2016-09-19 10:20:00,2016-09-19 10:40:00)","0","88","11"
"2","[2016-09-19 10:40:00,2016-09-19 11:00:00)","0","65","14"
"2","[2016-09-19 11:00:00,2016-09-19 11:20:00)","0","50","13"
"2","[2016-09-19 11:20:00,2016-09-19 11:40:00)","0","61","14"
"2","[2016-09-19 11:40:00,2016-09-19 12:00:00)","0","46","9"
"2","[2016-09-19 12:00:00,2016-09-19 12:20:00)","0","87","18"
"2","[2016-09-19 12:20:00,2016-09-19 12:40:00)","0","66","18"
"2","[2016-09-19 12:40:00,2016-09-19 13:00:00)","0","69","14"
"2","[2016-09-19 13:00:00,2016-09-19 13:20:00)","0","81","26"
"2","[2016-09-19 13:20:00,2016-09-19 13:40:00)","0","95","29"
"2","[2016-09-19 13:40:00,2016-09-19 14:00:00)","0","67","20"
"2","[2016-09-19 14:00:00,2016-09-19 14:20:00)","0","66","12"
"2","[2016-09-19 14:20:00,2016-09-19 14:40:00)","0","62","16"
"2","[2016-09-19 14:40:00,2016-09-19 15:00:00)","0","79","21"
"2","[2016-09-19 15:00:00,2016-09-19 15:20:00)","0","77","19"
"2","[2016-09-19 15:20:00,2016-09-19 15:40:00)","0","67","15"
"2","[2016-09-19 15:40:00,2016-09-19 16:00:00)","0","74","14"
"2","[2016-09-19 16:00:00,2016-09-19 16:20:00)","0","76","16"
"2","[2016-09-19 16:20:00,2016-09-19 16:40:00)","0","86","23"
"2","[2016-09-19 16:40:00,2016-09-19 17:00:00)","0","99","22"
"2","[2016-09-19 17:00:00,2016-09-19 17:20:00)","0","85","17"
"2","[2016-09-19 17:20:00,2016-09-19 17:40:00)","0","72","23"
"2","[2016-09-19 17:40:00,2016-09-19 18:00:00)","0","53","15"
"2","[2016-09-19 18:00:00,2016-09-19 18:20:00)","0","55","18"
"2","[2016-09-19 18:20:00,2016-09-19 18:40:00)","0","50","15"
"2","[2016-09-19 18:40:00,2016-09-19 19:00:00)","0","49","13"
"2","[2016-09-19 19:00:00,2016-09-19 19:20:00)","0","44","12"
"2","[2016-09-19 19:20:00,2016-09-19 19:40:00)","0","49","12"
"2","[2016-09-19 19:40:00,2016-09-19 20:00:00)","0","41","7"
"2","[2016-09-19 20:00:00,2016-09-19 20:20:00)","0","56","9"
"2","[2016-09-19 20:20:00,2016-09-19 20:40:00)","0","21","4"
"2","[2016-09-19 20:40:00,2016-09-19 21:00:00)","0","35","9"
"2","[2016-09-19 21:00:00,2016-09-19 21:20:00)","0","29","6"
"2","[2016-09-19 21:20:00,2016-09-19 21:40:00)","0","20","6"
"2","[2016-09-19 21:40:00,2016-09-19 22:00:00)","0","24","4"
"2","[2016-09-19 22:00:00,2016-09-19 22:20:00)","0","21","5"
"2","[2016-09-19 22:20:00,2016-09-19 22:40:00)","0","12","2"
"2","[2016-09-19 22:40:00,2016-09-19 23:00:00)","0","24","6"
"2","[2016-09-19 23:00:00,2016-09-19 23:20:00)","0","16","4"
"2","[2016-09-19 23:20:00,2016-09-19 23:40:00)","0","6","1"
"2","[2016-09-19 23:40:00,2016-09-20 00:00:00)","0","12","3"
"2","[2016-09-20 00:20:00,2016-09-20 00:40:00)","0","2","2"
"2","[2016-09-20 00:40:00,2016-09-20 01:00:00)","0","2","2"
"2","[2016-09-20 01:20:00,2016-09-20 01:40:00)","0","1","1"
"2","[2016-09-20 05:00:00,2016-09-20 05:20:00)","0","5","0"
"2","[2016-09-20 05:20:00,2016-09-20 05:40:00)","0","18","3"
"2","[2016-09-20 05:40:00,2016-09-20 06:00:00)","0","21","4"
"2","[2016-09-20 06:00:00,2016-09-20 06:20:00)","0","33","3"
"2","[2016-09-20 06:20:00,2016-09-20 06:40:00)","0","31","7"
"2","[2016-09-20 06:40:00,2016-09-20 07:00:00)","0","54","13"
"2","[2016-09-20 07:00:00,2016-09-20 07:20:00)","0","79","28"
"2","[2016-09-20 07:20:00,2016-09-20 07:40:00)","0","86","34"
"2","[2016-09-20 07:40:00,2016-09-20 08:00:00)","0","93","36"
"2","[2016-09-20 08:00:00,2016-09-20 08:20:00)","0","112","33"
"2","[2016-09-20 08:20:00,2016-09-20 08:40:00)","0","111","39"
"2","[2016-09-20 08:40:00,2016-09-20 09:00:00)","0","112","33"
"2","[2016-09-20 09:00:00,2016-09-20 09:20:00)","0","105","26"
"2","[2016-09-20 09:20:00,2016-09-20 09:40:00)","0","99","25"
"2","[2016-09-20 09:40:00,2016-09-20 10:00:00)","0","87","24"
"2","[2016-09-20 10:00:00,2016-09-20 10:20:00)","0","85","20"
"2","[2016-09-20 10:20:00,2016-09-20 10:40:00)","0","76","16"
"2","[2016-09-20 10:40:00,2016-09-20 11:00:00)","0","80","20"
"2","[2016-09-20 11:00:00,2016-09-20 11:20:00)","0","63","12"
"2","[2016-09-20 11:20:00,2016-09-20 11:40:00)","0","46","7"
"2","[2016-09-20 11:40:00,2016-09-20 12:00:00)","0","55","9"
"2","[2016-09-20 12:00:00,2016-09-20 12:20:00)","0","73","14"
"2","[2016-09-20 12:20:00,2016-09-20 12:40:00)","0","88","25"
"2","[2016-09-20 12:40:00,2016-09-20 13:00:00)","0","80","21"
"2","[2016-09-20 13:00:00,2016-09-20 13:20:00)","0","75","24"
"2","[2016-09-20 13:20:00,2016-09-20 13:40:00)","0","96","23"
"2","[2016-09-20 13:40:00,2016-09-20 14:00:00)","0","69","19"
"2","[2016-09-20 14:00:00,2016-09-20 14:20:00)","0","81","22"
"2","[2016-09-20 14:20:00,2016-09-20 14:40:00)","0","72","19"
"2","[2016-09-20 14:40:00,2016-09-20 15:00:00)","0","70","11"
"2","[2016-09-20 15:00:00,2016-09-20 15:20:00)","0","62","15"
"2","[2016-09-20 15:20:00,2016-09-20 15:40:00)","0","69","16"
"2","[2016-09-20 15:40:00,2016-09-20 16:00:00)","0","69","10"
"2","[2016-09-20 16:00:00,2016-09-20 16:20:00)","0","82","18"
"2","[2016-09-20 16:20:00,2016-09-20 16:40:00)","0","76","16"
"2","[2016-09-20 16:40:00,2016-09-20 17:00:00)","0","64","20"
"2","[2016-09-20 17:00:00,2016-09-20 17:20:00)","0","82","12"
"2","[2016-09-20 17:20:00,2016-09-20 17:40:00)","0","86","20"
"2","[2016-09-20 17:40:00,2016-09-20 18:00:00)","0","85","19"
"2","[2016-09-20 18:00:00,2016-09-20 18:20:00)","0","77","24"
