,intersection_id,tollgate_id,time_window,avg_travel_time,start_time,date,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,time,weekday,route
0,A,2,"[2016-07-19 00:20:00,2016-07-19 00:40:00)",58.05,2016-07-19 00:20:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,00:20:00,1,A-2
1,A,2,"[2016-07-19 01:20:00,2016-07-19 01:40:00)",56.87,2016-07-19 01:20:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,01:20:00,1,A-2
2,A,2,"[2016-07-19 01:40:00,2016-07-19 02:00:00)",77.74,2016-07-19 01:40:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,01:40:00,1,A-2
3,A,2,"[2016-07-19 02:20:00,2016-07-19 02:40:00)",42.64,2016-07-19 02:20:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,02:20:00,1,A-2
4,A,2,"[2016-07-19 02:40:00,2016-07-19 03:00:00)",40.17,2016-07-19 02:40:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,02:40:00,1,A-2
5,A,2,"[2016-07-19 03:20:00,2016-07-19 03:40:00)",41.92,2016-07-19 03:20:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,03:20:00,1,A-2
6,A,2,"[2016-07-19 03:40:00,2016-07-19 04:00:00)",39.43,2016-07-19 03:40:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,03:40:00,1,A-2
7,A,2,"[2016-07-19 04:00:00,2016-07-19 04:20:00)",48.13,2016-07-19 04:00:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,04:00:00,1,A-2
8,A,2,"[2016-07-19 04:20:00,2016-07-19 04:40:00)",62.11,2016-07-19 04:20:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,04:20:00,1,A-2
9,A,2,"[2016-07-19 04:40:00,2016-07-19 05:00:00)",46.12,2016-07-19 04:40:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,04:40:00,1,A-2
10,A,2,"[2016-07-19 05:00:00,2016-07-19 05:20:00)",49.56,2016-07-19 05:00:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,05:00:00,1,A-2
