,tollgate_id,time_window,direction,volume,start_time,pair,date,hour,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,weekday,time
0,3,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,17,2016-09-19 00:00:00,3-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:00:00
1,3,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1,181,2016-09-19 00:00:00,3-1,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:00:00
2,1,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,13,2016-09-19 00:00:00,1-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:00:00
3,1,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1,140,2016-09-19 00:00:00,1-1,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:00:00
4,2,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,2,2016-09-19 00:00:00,2-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:00:00
5,1,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0,6,2016-09-19 00:20:00,1-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:20:00
6,1,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1,56,2016-09-19 00:20:00,1-1,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:20:00
7,3,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0,16,2016-09-19 00:20:00,3-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:20:00
8,3,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1,112,2016-09-19 00:20:00,3-1,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:20:00
9,3,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0,16,2016-09-19 00:40:00,3-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:40:00
10,3,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1,93,2016-09-19 00:40:00,3-1,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:40:00
11,1,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0,9,2016-09-19 00:40:00,1-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:40:00
12,1,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1,31,2016-09-19 00:40:00,1-1,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:40:00
13,3,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,17,2016-09-19 01:00:00,3-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,01:00:00
14,3,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1,4,2016-09-19 01:00:00,3-1,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,01:00:00
15,2,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,1,2016-09-19 01:00:00,2-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,01:00:00
16,1,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,10,2016-09-19 01:00:00,1-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,01:00:00
17,1,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1,4,2016-09-19 01:00:00,1-1,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,01:00:00
18,1,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0,14,2016-09-19 01:20:00,1-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,01:20:00
19,1,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1,14,2016-09-19 01:20:00,1-1,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,01:20:00
20,3,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0,17,2016-09-19 01:20:00,3-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,01:20:00
21,3,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1,5,2016-09-19 01:20:00,3-1,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,01:20:00
