"intersection_id","tollgate_id","weekday","time_window(%H:%M:%S)","date","aveTravelTime of six green window(weather:travel_time)"
"A","2","1","[06:00:00 08:00:00)","2016-07-25","198.0000 2.0000 38.8000 43.0000 0.0000:50.7;198.0000 2.0000 38.8000 43.0000 0.0000:40.39;198.0000 2.0000 38.8000 43.0000 0.0000:63.42;198.0000 2.0000 38.8000 43.0000 0.0000:85.79;198.0000 2.0000 38.8000 43.0000 0.0000:74.48;198.0000 2.0000 38.8000 43.0000 0.0000:141.3"
"A","2","1","[06:00:00 08:00:00)","2016-08-01","65.0000 2.5000 34.4000 56.0000 0.0000:44.39;65.0000 2.5000 34.4000 56.0000 0.0000:58.2;65.0000 2.5000 34.4000 56.0000 0.0000:49.16;65.0000 2.5000 34.4000 56.0000 0.0000:77.31;65.0000 2.5000 34.4000 56.0000 0.0000:107.51;65.0000 2.5000 34.4000 56.0000 0.0000:112.47"
"A","2","1","[06:00:00 08:00:00)","2016-08-08","86.0000 4.1000 34.7000 50.0000 0.0000:42.14;86.0000 4.1000 34.7000 50.0000 0.0000:53.02;86.0000 4.1000 34.7000 50.0000 0.0000:58.71;86.0000 4.1000 34.7000 50.0000 0.0000:57.87;86.0000 4.1000 34.7000 50.0000 0.0000:58.74;86.0000 4.1000 34.7000 50.0000 0.0000:75.65"
"A","2","1","[06:00:00 08:00:00)","2016-08-15","94.0000 1.5000 36.0000 52.0000 0.0000:57.82;94.0000 1.5000 36.0000 52.0000 0.0000:111.77;94.0000 1.5000 36.0000 52.0000 0.0000:48.24;94.0000 1.5000 36.0000 52.0000 0.0000:39.23;94.0000 1.5000 36.0000 52.0000 0.0000:72.96;94.0000 1.5000 36.0000 52.0000 0.0000:69.63"
"A","2","1","[06:00:00 08:00:00)","2016-08-22","97.0000 4.8000 34.2000 60.0000 0.0000:61.08;97.0000 4.8000 34.2000 60.0000 0.0000:46.76;97.0000 4.8000 34.2000 60.0000 0.0000:48.8;97.0000 4.8000 34.2000 60.0000 0.0000:58.48;97.0000 4.8000 34.2000 60.0000 0.0000:38.07;97.0000 4.8000 34.2000 60.0000 0.0000:54.85"
"A","2","1","[06:00:00 08:00:00)","2016-08-29","333.0000 2.0000 30.1000 35.0000 0.0000:53.94;333.0000 2.0000 30.1000 35.0000 0.0000:61.45;333.0000 2.0000 30.1000 35.0000 0.0000:29.06;333.0000 2.0000 30.1000 35.0000 0.0000:77.26;333.0000 2.0000 30.1000 35.0000 0.0000:64.09;333.0000 2.0000 30.1000 35.0000 0.0000:98.64"
"A","2","1","[06:00:00 08:00:00)","2016-09-05","98.0000 3.2000 30.4000 57.0000 0.0000:41.7;98.0000 3.2000 30.4000 57.0000 0.0000:55.37;98.0000 3.2000 30.4000 57.0000 0.0000:50.49;98.0000 3.2000 30.4000 57.0000 0.0000:42.76;98.0000 3.2000 30.4000 57.0000 0.0000:41.47;98.0000 3.2000 30.4000 57.0000 0.0000:54.82"
"A","2","1","[06:00:00 08:00:00)","2016-09-12","325.0000 1.0000 28.0000 56.0000 0.0000:41.04;325.0000 1.0000 28.0000 56.0000 0.0000:72.09;325.0000 1.0000 28.0000 56.0000 0.0000:56.53;325.0000 1.0000 28.0000 56.0000 0.0000:57.17;325.0000 1.0000 28.0000 56.0000 0.0000:45.73;325.0000 1.0000 28.0000 56.0000 0.0000:71.83"
"A","2","1","[06:00:00 08:00:00)","2016-09-19","12.0000 6.2000 26.8000 56.0000 0.0000:44.12;12.0000 6.2000 26.8000 56.0000 0.0000:76.98;12.0000 6.2000 26.8000 56.0000 0.0000:68.74;12.0000 6.2000 26.8000 56.0000 0.0000:61.69;12.0000 6.2000 26.8000 56.0000 0.0000:68.58;12.0000 6.2000 26.8000 56.0000 0.0000:61.77"
"A","2","1","[06:00:00 08:00:00)","2016-09-26","37.0000 4.1000 30.3000 56.0000 0.0000:49.35;37.0000 4.1000 30.3000 56.0000 0.0000:55.6;37.0000 4.1000 30.3000 56.0000 0.0000:72.58;37.0000 4.1000 30.3000 56.0000 0.0000:60.91;37.0000 4.1000 30.3000 56.0000 0.0000:60.54;37.0000 4.1000 30.3000 56.0000 0.0000:65.68"
"A","2","1","[06:00:00 08:00:00)","2016-10-03","35.0000 2.6000 25.4000 72.0000 0.0000:35.51;35.0000 2.6000 25.4000 72.0000 0.0000:54.49;35.0000 2.6000 25.4000 72.0000 0.0000:48.79;35.0000 2.6000 25.4000 72.0000 0.0000:58.9;35.0000 2.6000 25.4000 72.0000 0.0000:49.87;35.0000 2.6000 25.4000 72.0000 0.0000:49.35"
"A","2","1","[06:00:00 08:00:00)","2016-10-10",""
"A","2","1","[06:00:00 08:00:00)","2016-10-17","81.0000 1.2000 21.3000 79.0000 0.0000:43.74;81.0000 1.2000 21.3000 79.0000 0.0000:48.09;81.0000 1.2000 21.3000 79.0000 0.0000:56.39;81.0000 1.2000 21.3000 79.0000 0.0000:54.17;81.0000 1.2000 21.3000 79.0000 0.0000:65.04;81.0000 1.2000 21.3000 79.0000 0.0000:72.16"
"A","2","1","[15:00:00 17:00:00)","2016-07-25","271.0000 0.6000 32.9000 69.0000 0.0000:80.48;271.0000 0.6000 32.9000 69.0000 0.0000:55.0;271.0000 0.6000 32.9000 69.0000 0.0000:75.9;271.0000 0.6000 32.9000 69.0000 0.0000:64.18;271.0000 0.6000 32.9000 69.0000 0.0000:59.91;271.0000 0.6000 32.9000 69.0000 0.0000:84.61"
"A","2","1","[15:00:00 17:00:00)","2016-08-01","125.0000 1.4000 30.9000 76.0000 0.0000:74.11;125.0000 1.4000 30.9000 76.0000 0.0000:47.13;125.0000 1.4000 30.9000 76.0000 0.0000:55.32;125.0000 1.4000 30.9000 76.0000 0.0000:47.56;125.0000 1.4000 30.9000 76.0000 0.0000:53.45;125.0000 1.4000 30.9000 76.0000 0.0000:81.44"
"A","2","1","[15:00:00 17:00:00)","2016-08-08","98.0000 4.1000 28.9000 75.0000 0.0000:63.99;98.0000 4.1000 28.9000 75.0000 0.0000:79.49;98.0000 4.1000 28.9000 75.0000 0.0000:65.81;98.0000 4.1000 28.9000 75.0000 0.0000:97.5"
"A","2","1","[15:00:00 17:00:00)","2016-08-15","60.0000 1.7000 30.8000 77.0000 0.0000:59.78;60.0000 1.7000 30.8000 77.0000 0.0000:49.12;60.0000 1.7000 30.8000 77.0000 0.0000:61.23;60.0000 1.7000 30.8000 77.0000 0.0000:63.37;60.0000 1.7000 30.8000 77.0000 0.0000:61.71;60.0000 1.7000 30.8000 77.0000 0.0000:60.68"
"A","2","1","[15:00:00 17:00:00)","2016-08-22","90.0000 0.8000 29.8000 70.0000 0.0000:55.65;90.0000 0.8000 29.8000 70.0000 0.0000:57.66;90.0000 0.8000 29.8000 70.0000 0.0000:65.53;90.0000 0.8000 29.8000 70.0000 0.0000:58.48;90.0000 0.8000 29.8000 70.0000 0.0000:60.8;90.0000 0.8000 29.8000 70.0000 0.0000:44.06"
"A","2","1","[15:00:00 17:00:00)","2016-08-29","319.0000 2.3000 24.4000 57.0000 0.0000:65.42;319.0000 2.3000 24.4000 57.0000 0.0000:59.43;319.0000 2.3000 24.4000 57.0000 0.0000:71.37;319.0000 2.3000 24.4000 57.0000 0.0000:78.37;319.0000 2.3000 24.4000 57.0000 0.0000:58.64;319.0000 2.3000 24.4000 57.0000 0.0000:48.09"
"A","2","1","[15:00:00 17:00:00)","2016-09-05","94.0000 0.9000 27.0000 77.0000 0.0000:36.37;94.0000 0.9000 27.0000 77.0000 0.0000:49.03;94.0000 0.9000 27.0000 77.0000 0.0000:63.31;94.0000 0.9000 27.0000 77.0000 0.0000:40.82;94.0000 0.9000 27.0000 77.0000 0.0000:61.48;94.0000 0.9000 27.0000 77.0000 0.0000:37.64"
