intersection_id,tollgate_id,time_window,avg_travel_time,start_time,date,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,time,weekday,route,last_20min,timemap,avg_all_route_speed,avg_last_link_speed
A,2,"[2016-07-19 00:20:00,2016-07-19 00:40:00)",58.05,2016-07-19 00:20:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,00:20:00,1,A-2,56.87,2,6.61,5.03
A,2,"[2016-07-19 01:20:00,2016-07-19 01:40:00)",56.87,2016-07-19 01:20:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,01:20:00,1,A-2,56.87,5,7.47,5.66
A,2,"[2016-07-19 01:40:00,2016-07-19 02:00:00)",77.74,2016-07-19 01:40:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,01:40:00,1,A-2,56.87,6,6.5,4.77
A,2,"[2016-07-19 02:20:00,2016-07-19 02:40:00)",42.64,2016-07-19 02:20:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,02:20:00,1,A-2,56.87,8,9.01,6.59
A,2,"[2016-07-19 02:40:00,2016-07-19 03:00:00)",40.17,2016-07-19 02:40:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,02:40:00,1,A-2,42.64,9,10.08,7.93
A,2,"[2016-07-19 03:20:00,2016-07-19 03:40:00)",41.92,2016-07-19 03:20:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,03:20:00,1,A-2,42.64,11,9.19,8.55
A,2,"[2016-07-19 03:40:00,2016-07-19 04:00:00)",39.43,2016-07-19 03:40:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,03:40:00,1,A-2,41.92,12,11.09,10.24
A,2,"[2016-07-19 04:00:00,2016-07-19 04:20:00)",48.13,2016-07-19 04:00:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,04:00:00,1,A-2,39.43,13,8.03,5.23
A,2,"[2016-07-19 04:20:00,2016-07-19 04:40:00)",62.11,2016-07-19 04:20:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,04:20:00,1,A-2,48.13,14,6.52,5.56
A,2,"[2016-07-19 04:40:00,2016-07-19 05:00:00)",46.12,2016-07-19 04:40:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,04:40:00,1,A-2,62.11,15,8.33,5.91
A,2,"[2016-07-19 05:00:00,2016-07-19 05:20:00)",49.56,2016-07-19 05:00:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,05:00:00,1,A-2,46.12,16,8.02,6.23
A,2,"[2016-07-19 05:20:00,2016-07-19 05:40:00)",54.84,2016-07-19 05:20:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,05:20:00,1,A-2,49.56,17,7.66,7.1
A,2,"[2016-07-19 05:40:00,2016-07-19 06:00:00)",58.08,2016-07-19 05:40:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,05:40:00,1,A-2,54.84,18,7.06,5.59
A,2,"[2016-07-19 06:00:00,2016-07-19 06:20:00)",46.36,2016-07-19 06:00:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,06:00:00,1,A-2,58.08,19,9.48,9.19
A,2,"[2016-07-19 06:20:00,2016-07-19 06:40:00)",48.59,2016-07-19 06:20:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,06:20:00,1,A-2,46.36,20,8.68,8.09
A,2,"[2016-07-19 06:40:00,2016-07-19 07:00:00)",66.64,2016-07-19 06:40:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,06:40:00,1,A-2,48.59,21,6.76,5.14
A,2,"[2016-07-19 07:00:00,2016-07-19 07:20:00)",64.68,2016-07-19 07:00:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,07:00:00,1,A-2,66.64,22,8.13,7.04
A,2,"[2016-07-19 07:20:00,2016-07-19 07:40:00)",85.68,2016-07-19 07:20:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,07:20:00,1,A-2,64.68,23,5.14,4.08
A,2,"[2016-07-19 07:40:00,2016-07-19 08:00:00)",58.97,2016-07-19 07:40:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,07:40:00,1,A-2,85.68,24,6.7,6.47
A,2,"[2016-07-19 08:00:00,2016-07-19 08:20:00)",81.6,2016-07-19 08:00:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,08:00:00,1,A-2,58.97,25,5.48,4.27
A,2,"[2016-07-19 08:20:00,2016-07-19 08:40:00)",80.21,2016-07-19 08:20:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,08:20:00,1,A-2,81.6,26,5.23,3.79
A,2,"[2016-07-19 08:40:00,2016-07-19 09:00:00)",63.45,2016-07-19 08:40:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,08:40:00,1,A-2,80.21,27,7.07,6.4
