intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",77.77
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",70.3
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",77.68
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",79.28
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",83.27
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",77.67
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",75.0
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",63.3
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",68.39
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",88.83
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",59.33
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",52.23
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",91.72
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",92.28
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",103.94
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",79.27
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",81.22
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",79.82
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",60.0
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",56.98
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",66.91
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",63.8
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",55.74
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",84.02
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",87.24
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",75.48
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",79.6
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",103.35
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",97.05
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",67.95
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",96.52
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",54.93
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",82.28
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",75.25
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",50.34
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",57.25
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",58.58
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",71.5
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",55.92
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",99.53
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",83.67
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",73.3
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",101.05
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",82.62
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",62.0
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",76.75
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",81.04
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",70.41
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",71.43
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",56.06
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",62.2
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",79.54
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",64.81
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",70.94
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",71.32
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",63.61
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",77.17
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",69.61
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",66.35
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",58.64
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",56.62
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",65.06
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",65.96
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",83.79
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",64.03
