tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,50
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,41
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,49
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,61
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,39
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,46
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,40
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,42
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,23
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,27
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,23
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,15
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,48
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,50
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,50
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,42
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,38
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,59
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,32
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,29
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,34
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,27
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,19
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,31
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,50
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,49
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,62
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,38
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,50
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,44
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,38
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,45
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,35
