"intersection_id","tollgate_id","time_window","avg_travel_time","seq"
"B","3","[2016-10-18 00:00:00,2016-10-18 00:20:00)","64.69","47.5 & 81.8"
"B","3","[2016-10-18 00:40:00,2016-10-18 01:00:00)","75.37","79.3 & 71.5"
"B","3","[2016-10-18 01:40:00,2016-10-18 02:00:00)","70.14","45.9 & 94.4"
"B","3","[2016-10-18 02:00:00,2016-10-18 02:20:00)","96.03","96.0"
"B","3","[2016-10-18 03:40:00,2016-10-18 04:00:00)","76.88","79.3 & 74.5"
"B","3","[2016-10-18 06:00:00,2016-10-18 06:20:00)","54.75","54.8"
"B","3","[2016-10-18 06:20:00,2016-10-18 06:40:00)","121.02","152.9 & 119.7 & 90.4"
"B","3","[2016-10-18 06:40:00,2016-10-18 07:00:00)","94.04","94.0"
"B","3","[2016-10-18 07:00:00,2016-10-18 07:20:00)","120.6","120.6"
"B","3","[2016-10-18 07:20:00,2016-10-18 07:40:00)","73.4","76.7 & 73.5 & 16.9 & 65.8 & 67.6 & 106.1 & 107.2"
"B","3","[2016-10-18 07:40:00,2016-10-18 08:00:00)","89.91","58.8 & 53.0 & 97.4 & 149.4 & 42.9 & 132.4 & 120.2 & 65.0"
"B","3","[2016-10-18 08:00:00,2016-10-18 08:20:00)","126.4","127.7 & 174.3 & 77.2"
"B","3","[2016-10-18 08:20:00,2016-10-18 08:40:00)","115.52","137.5 & 131.2 & 77.9"
"B","3","[2016-10-18 08:40:00,2016-10-18 09:00:00)","98.86","141.3 & 95.6 & 91.1 & 141.4 & 65.0 & 58.9"
"B","3","[2016-10-18 09:00:00,2016-10-18 09:20:00)","131.15","31.4 & 182.6 & 99.3 & 211.3"
"B","3","[2016-10-18 09:20:00,2016-10-18 09:40:00)","151.95","76.3 & 81.5 & 116.1 & 221.7 & 276.0 & 140.1"
"B","3","[2016-10-18 09:40:00,2016-10-18 10:00:00)","117.69","151.2 & 148.0 & 151.1 & 122.8 & 48.0 & 102.6 & 117.8 & 100.1"
"B","3","[2016-10-18 10:00:00,2016-10-18 10:20:00)","85.85","63.1 & 39.5 & 80.1 & 116.8 & 129.8"
"B","3","[2016-10-18 10:20:00,2016-10-18 10:40:00)","111.97","120.0 & 119.8 & 79.2 & 78.4 & 138.5 & 136.0"
"B","3","[2016-10-18 10:40:00,2016-10-18 11:00:00)","120.19","91.1 & 53.8 & 237.9 & 48.5 & 169.7"
"B","3","[2016-10-18 11:00:00,2016-10-18 11:20:00)","124.38","121.9 & 98.1 & 153.2"
"B","3","[2016-10-18 11:20:00,2016-10-18 11:40:00)","91.1","88.3 & 66.5 & 148.1 & 148.1 & 84.0 & 11.7"
"B","3","[2016-10-18 11:40:00,2016-10-18 12:00:00)","100.28","85.5 & 76.1 & 112.7 & 98.5 & 166.5 & 62.4"
"B","3","[2016-10-18 12:00:00,2016-10-18 12:20:00)","79.9","113.1 & 80.9 & 45.7"
"B","3","[2016-10-18 12:20:00,2016-10-18 12:40:00)","90.97","51.1 & 99.9 & 88.7 & 107.1 & 108.1"
"B","3","[2016-10-18 12:40:00,2016-10-18 13:00:00)","103.24","90.6 & 46.1 & 144.2 & 163.5 & 71.7"
"B","3","[2016-10-18 13:00:00,2016-10-18 13:20:00)","117.65","74.5 & 160.8"
