"tollgate_id","time_window","direction","volume"
"3","[2016-10-18 00:00:00,2016-10-18 00:20:00)","0","12"
"3","[2016-10-18 00:00:00,2016-10-18 00:20:00)","1","148"
"1","[2016-10-18 00:00:00,2016-10-18 00:20:00)","0","11"
"1","[2016-10-18 00:00:00,2016-10-18 00:20:00)","1","105"
"3","[2016-10-18 00:20:00,2016-10-18 00:40:00)","0","12"
"3","[2016-10-18 00:20:00,2016-10-18 00:40:00)","1","96"
"1","[2016-10-18 00:20:00,2016-10-18 00:40:00)","0","5"
"1","[2016-10-18 00:20:00,2016-10-18 00:40:00)","1","81"
"3","[2016-10-18 00:40:00,2016-10-18 01:00:00)","0","15"
"3","[2016-10-18 00:40:00,2016-10-18 01:00:00)","1","67"
"1","[2016-10-18 00:40:00,2016-10-18 01:00:00)","0","9"
"1","[2016-10-18 00:40:00,2016-10-18 01:00:00)","1","41"
"2","[2016-10-18 00:40:00,2016-10-18 01:00:00)","0","3"
"1","[2016-10-18 01:00:00,2016-10-18 01:20:00)","0","11"
"1","[2016-10-18 01:00:00,2016-10-18 01:20:00)","1","13"
"3","[2016-10-18 01:00:00,2016-10-18 01:20:00)","0","23"
"3","[2016-10-18 01:00:00,2016-10-18 01:20:00)","1","10"
"1","[2016-10-18 01:20:00,2016-10-18 01:40:00)","0","9"
"1","[2016-10-18 01:20:00,2016-10-18 01:40:00)","1","7"
"3","[2016-10-18 01:20:00,2016-10-18 01:40:00)","0","16"
"3","[2016-10-18 01:20:00,2016-10-18 01:40:00)","1","6"
"2","[2016-10-18 01:20:00,2016-10-18 01:40:00)","0","1"
"1","[2016-10-18 01:40:00,2016-10-18 02:00:00)","0","8"
"1","[2016-10-18 01:40:00,2016-10-18 02:00:00)","1","4"
"3","[2016-10-18 01:40:00,2016-10-18 02:00:00)","0","21"
"3","[2016-10-18 01:40:00,2016-10-18 02:00:00)","1","8"
"1","[2016-10-18 02:00:00,2016-10-18 02:20:00)","0","8"
"1","[2016-10-18 02:00:00,2016-10-18 02:20:00)","1","3"
"3","[2016-10-18 02:00:00,2016-10-18 02:20:00)","0","19"
"3","[2016-10-18 02:00:00,2016-10-18 02:20:00)","1","5"
"1","[2016-10-18 02:20:00,2016-10-18 02:40:00)","0","4"
"1","[2016-10-18 02:20:00,2016-10-18 02:40:00)","1","9"
"3","[2016-10-18 02:20:00,2016-10-18 02:40:00)","0","9"
"3","[2016-10-18 02:20:00,2016-10-18 02:40:00)","1","4"
"1","[2016-10-18 02:40:00,2016-10-18 03:00:00)","0","6"
"1","[2016-10-18 02:40:00,2016-10-18 03:00:00)","1","4"
"3","[2016-10-18 02:40:00,2016-10-18 03:00:00)","0","11"
"3","[2016-10-18 02:40:00,2016-10-18 03:00:00)","1","3"
"1","[2016-10-18 03:00:00,2016-10-18 03:20:00)","0","8"
"1","[2016-10-18 03:00:00,2016-10-18 03:20:00)","1","11"
"3","[2016-10-18 03:00:00,2016-10-18 03:20:00)","0","14"
