intersection_id,tollgate_id,time_window,avg_travel_time,seq
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",77.77,210.8 & 68.5 & 83.5 & 45.1 & 85.4 & 41.8 & 50.9 & 71.7 & 75.4 & 60.7 & 61.7
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",70.3,73.9 & 73.9 & 21.8 & 109.8 & 142.6 & 90.2 & 65.9 & 54.1 & 82.7 & 68.8 & 97.3 & 190.8 & 31.7 & 109.0 & 12.4 & 44.1 & 58.0 & 46.6 & 60.1 & 50.8 & 77.0 & 56.5 & 90.8 & 91.4 & 87.7 & 19.0 & 11.0 & 50.6
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",77.68,67.8 & 70.1 & 60.4 & 104.9 & 70.5 & 39.4 & 83.3 & 70.6 & 90.3 & 101.1 & 98.4 & 148.6 & 100.2 & 60.6 & 49.4 & 52.7 & 53.9 & 76.0
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",79.28,71.1 & 80.4 & 98.1 & 102.6 & 101.9 & 84.7 & 68.0 & 69.8 & 62.2 & 122.5 & 88.2 & 78.8 & 89.1 & 51.7 & 73.7 & 39.0 & 65.6
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",83.27,68.1 & 49.2 & 124.1 & 50.5 & 131.4 & 61.2 & 67.5 & 63.5 & 138.2 & 79.0
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",77.67,50.9 & 70.3 & 68.7 & 43.2 & 118.4 & 49.9 & 59.7 & 124.9 & 50.7 & 82.0 & 155.9 & 86.0 & 49.0
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",75.0,85.3 & 45.9 & 44.8 & 44.7 & 81.2 & 75.5 & 94.5 & 84.4 & 96.1 & 136.8 & 49.3 & 61.5
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",63.3,128.8 & 21.5 & 89.5 & 54.2 & 78.7 & 61.5 & 46.8 & 55.4 & 54.6 & 54.6 & 50.5
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",68.39,29.5 & 106.4 & 75.0 & 47.1 & 84.0
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",88.83,87.9 & 98.1 & 123.7 & 90.4 & 44.1
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",59.33,36.1 & 70.8 & 59.9 & 70.5
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",52.23,49.8 & 47.9 & 60.4 & 59.4 & 43.6
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",91.72,62.8 & 77.4 & 55.3 & 50.2 & 96.3 & 69.6 & 106.3 & 122.9 & 152.4 & 78.7 & 52.9 & 92.5 & 96.7 & 169.9
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",92.28,108.5 & 26.2 & 83.1 & 90.8 & 122.1 & 88.2 & 75.8 & 133.8 & 84.9 & 171.9 & 93.3 & 129.2 & 62.4 & 21.8
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",103.94,119.7 & 114.0 & 122.7 & 17.3 & 122.4 & 91.5 & 113.3 & 136.3 & 118.9 & 113.8 & 106.2 & 116.9 & 72.9 & 81.0 & 123.1 & 93.0
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",79.27,54.4 & 54.4 & 77.1 & 85.0 & 76.2 & 93.1 & 62.4 & 78.7 & 96.9 & 83.3 & 105.3 & 84.2
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",81.22,74.8 & 143.3 & 78.8 & 52.1 & 62.0 & 108.0 & 89.2 & 92.5 & 87.9 & 23.7
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",79.82,51.2 & 255.3 & 51.6 & 122.4 & 70.2 & 108.8 & 80.6 & 53.6 & 52.8 & 46.2 & 85.4 & 62.1 & 70.1 & 89.6 & 59.1 & 51.3 & 79.0 & 47.5
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",60.0,74.2 & 56.5 & 69.2 & 55.1 & 65.4 & 61.2 & 60.2 & 18.8 & 85.4 & 59.1 & 68.3 & 46.6
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",56.98,52.0 & 65.9 & 76.2 & 36.1 & 54.7
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",66.91,44.3 & 64.8 & 60.6 & 77.8 & 70.3 & 121.8 & 72.5 & 49.0 & 40.9
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",63.8,93.6 & 51.5 & 81.9 & 77.4 & 61.3 & 51.0 & 57.7 & 70.4 & 48.9 & 58.1 & 62.1 & 73.6 & 42.2
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",55.74,70.7 & 47.9 & 79.3 & 25.1 & 63.8 & 38.9 & 46.6 & 52.2 & 50.1 & 89.8 & 51.6 & 52.9
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",84.02,58.0 & 54.3 & 82.6 & 153.3 & 54.1 & 50.5 & 72.0 & 76.3 & 155.1
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",87.24,74.9 & 108.7 & 112.5 & 89.7 & 86.0 & 101.3 & 87.5 & 73.1 & 88.3 & 50.2
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",75.48,146.0 & 62.4 & 135.9 & 46.3 & 90.2 & 76.6 & 41.4 & 104.3 & 60.4 & 57.1 & 69.0 & 48.1 & 47.3 & 62.0 & 85.2
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",79.6,50.5 & 95.0 & 118.0 & 108.5 & 46.4 & 45.4 & 66.9 & 79.9 & 65.9 & 74.0 & 62.5 & 49.3 & 53.5 & 77.8 & 90.6 & 78.7 & 53.0 & 57.5 & 86.1 & 103.7 & 165.4 & 143.2 & 59.1
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",103.35,129.9 & 174.6 & 135.8 & 110.9 & 127.5 & 120.4 & 37.9 & 120.0 & 74.4 & 50.4 & 57.6 & 112.6 & 134.2 & 81.9 & 81.9
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",97.05,54.0 & 65.3 & 73.8 & 65.1 & 114.9 & 118.5 & 81.6 & 102.2 & 93.8 & 124.2 & 160.6 & 124.1 & 116.7 & 77.8 & 118.8 & 66.4 & 115.7 & 134.0 & 105.5 & 34.1 & 90.9
