"tollgate_id","time_window","direction","volume"
"1","[2016-10-24 06:00:00,2016-10-24 06:20:00)","0","16.2"
"1","[2016-10-24 06:20:00,2016-10-24 06:40:00)","0","27.4"
"1","[2016-10-24 06:40:00,2016-10-24 07:00:00)","0","36.6"
"1","[2016-10-24 07:00:00,2016-10-24 07:20:00)","0","50.6"
"1","[2016-10-24 07:20:00,2016-10-24 07:40:00)","0","52.8"
"1","[2016-10-24 07:40:00,2016-10-24 08:00:00)","0","64.4"
"1","[2016-10-24 15:00:00,2016-10-24 15:20:00)","0","69.8"
"1","[2016-10-24 15:20:00,2016-10-24 15:40:00)","0","74.4"
"1","[2016-10-24 15:40:00,2016-10-24 16:00:00)","0","70.2"
"1","[2016-10-24 16:00:00,2016-10-24 16:20:00)","0","67.6"
"1","[2016-10-24 16:20:00,2016-10-24 16:40:00)","0","69.0"
"1","[2016-10-24 16:40:00,2016-10-24 17:00:00)","0","55.2"
"1","[2016-10-18 06:00:00,2016-10-18 06:20:00)","0","18.5"
"1","[2016-10-18 06:20:00,2016-10-18 06:40:00)","0","31.0"
"1","[2016-10-18 06:40:00,2016-10-18 07:00:00)","0","41.0"
"1","[2016-10-18 07:00:00,2016-10-18 07:20:00)","0","56.5"
"1","[2016-10-18 07:20:00,2016-10-18 07:40:00)","0","60.75"
"1","[2016-10-18 07:40:00,2016-10-18 08:00:00)","0","64.75"
"1","[2016-10-18 15:00:00,2016-10-18 15:20:00)","0","88.25"
"1","[2016-10-18 15:20:00,2016-10-18 15:40:00)","0","95.75"
"1","[2016-10-18 15:40:00,2016-10-18 16:00:00)","0","86.25"
"1","[2016-10-18 16:00:00,2016-10-18 16:20:00)","0","89.25"
"1","[2016-10-18 16:20:00,2016-10-18 16:40:00)","0","94.75"
"1","[2016-10-18 16:40:00,2016-10-18 17:00:00)","0","88.5"
"1","[2016-10-19 07:40:00,2016-10-19 08:00:00)","0","92.75"
"1","[2016-10-19 06:40:00,2016-10-19 07:00:00)","0","56.75"
"1","[2016-10-19 07:20:00,2016-10-19 07:40:00)","0","71.75"
"1","[2016-10-19 07:00:00,2016-10-19 07:20:00)","0","70.75"
"1","[2016-10-19 06:20:00,2016-10-19 06:40:00)","0","43.5"
"1","[2016-10-19 06:00:00,2016-10-19 06:20:00)","0","29.75"
"1","[2016-10-19 15:00:00,2016-10-19 15:20:00)","0","104.75"
