avg_travel_time,hour,minute,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,SSD,is_workday
271.22,22,0,6,67,1007,358.0,0.5,21.8,93.0,0.0,154.92,77.78836322758622,2
269.18,19,20,6,59,1014,344.0,2.0,21.3,83.0,0.0,194.96,70.86947960675106,2
268.98,14,40,6,45,1014,353.0,4.3,22.7,77.0,0.0,230.67,65.4928120412556,2
268.78,15,40,4,48,1009,353.0,2.5,20.9,98.0,2.5,285.15,70.18501028713693,3
268.59,23,40,3,72,1006,354.0,1.8,19.6,97.0,0.2,148.14,69.74675822362205,1
268.17,12,20,4,38,1010,80.0,2.5,24.3,77.0,0.0,174.3,74.30557092367151,1
267.11,18,0,0,55,1014,341.0,1.5,19.1,92.0,0.0,411.58,69.19157370193051,1
267.09,8,40,0,27,1014,333.0,2.5,14.1,80.0,0.0,150.58,55.18706397411003,2
266.77,8,0,2,25,1003,92.0,7.5,26.2,94.0,5.5,186.56,64.17827816170212,1
266.74,8,40,5,27,1010,17.0,3.6,22.1,72.0,0.0,186.56,66.00607278951965,2
266.24,12,0,6,37,1014,353.0,4.3,22.7,77.0,0.0,395.16,65.4928120412556,2
265.63,17,20,4,53,1016,354.0,1.8,18.2,87.0,0.0,292.56,65.96112502686569,1
265.43,9,40,0,30,1014,109.0,1.1,20.9,79.0,0.0,151.34,72.53031468713692,1
265.15,10,20,5,32,1008,99.0,1.1,28.1,74.0,0.0,176.96,85.6544731692308,3
264.98,16,0,6,49,1015,7.0,2.1,21.9,80.0,0.0,210.66,71.35673856277057,2
264.75,16,0,6,49,1008,53.0,1.4,24.4,85.0,0.0,224.0,79.01722796116505,2
264.4,16,40,4,51,1009,334.0,1.4,21.7,89.0,0.0,385.26,74.2511147141631,1
264.31,19,40,0,60,1006,46.0,1.3,24.7,92.0,0.0,247.11,80.80240848866997,1
264.03,9,0,2,28,1004,53.0,5.1,24.7,93.0,1.3,181.59,68.76857768866995,1
263.83,14,20,5,44,1014,344.0,0.9,20.0,97.0,0.0,407.27,73.41596,2
263.26,18,20,6,56,1007,11.0,0.9,22.8,87.0,0.0,221.04,77.75602718558558,2
262.71,10,40,5,33,1006,78.0,5.2,27.8,64.0,0.0,196.4,70.58597715348839,2
262.68,19,0,2,58,1006,38.0,5.5,22.0,94.0,1.2,249.05,62.29718539130435,1
262.26,16,0,5,49,1008,73.0,1.5,23.7,82.0,0.0,251.21,76.97265903849765,2
262.06,18,0,4,55,1015,202.0,1.1,18.4,89.0,0.0,281.87,68.79453140451128,1
260.62,16,0,4,49,1009,353.0,2.5,20.9,98.0,2.5,268.78,70.18501028713693,3
257.57,18,40,4,57,1009,319.0,0.9,20.9,96.0,0.0,360.48,75.08030548713694,1
255.81,22,0,4,67,1009,284.0,0.7,21.0,96.0,0.0,233.15,75.91744266666667,1
254.36,20,20,2,62,1006,38.0,5.5,22.0,94.0,1.2,184.72,62.29718539130435,1
253.95,17,20,4,53,1009,334.0,1.4,21.7,89.0,0.0,233.27,74.2511147141631,1
253.75,18,0,1,55,1004,56.0,1.7,26.2,95.0,1.2,420.62,82.86990136170213,1
253.72,14,0,6,43,1014,353.0,4.3,22.7,77.0,0.0,201.6,65.4928120412556,2
