avg_travel_time,hour,minute,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,SSD,is_workday
108.86,0,0,1,1,1013.2,341.0,3.5,21.1,68.0,0.0,63.98836985439331,1
84.52,1,20,1,5,1013.2,341.0,3.5,21.1,68.0,0.0,63.98836985439331,1
109.76,1,40,1,6,1013.2,341.0,3.5,21.1,68.0,0.0,63.98836985439331,1
73.63,2,0,1,7,1013.2,341.0,3.5,21.1,68.0,0.0,63.98836985439331,1
38.46,3,20,1,11,1013.5,354.0,2.6,23.9,58.0,0.0,70.87979294407583,1
80.79,4,20,1,14,1013.5,354.0,2.6,23.9,58.0,0.0,70.87979294407583,1
90.52,5,20,1,17,1013.5,354.0,2.6,23.9,58.0,0.0,70.87979294407583,1
112.16,5,40,1,18,1013.5,354.0,2.6,23.9,58.0,0.0,70.87979294407583,1
97.82,6,0,1,19,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
122.85,6,20,1,20,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
109.83,6,40,1,21,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
113.62,7,0,1,22,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
136.34,7,20,1,23,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
102.66,7,40,1,24,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
120.8,8,0,1,25,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
115.92,8,20,1,26,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
116.32,8,40,1,27,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
127.25,9,0,1,28,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
131.14,9,20,1,29,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
118.32,9,40,1,30,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
101.54,10,0,1,31,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
115.24,10,20,1,32,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
107.56,10,40,1,33,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
101.13,11,0,1,34,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
124.9,11,20,1,35,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
113.59,11,40,1,36,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
120.57,12,0,1,37,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
97.93,12,20,1,38,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
