avg_travel_time,hour,minute,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,SSD,is_workday
84.84,0,0,1,1,1013.2,341.0,3.5,21.1,68.0,0.0,63.98836985439331,1
73.56,1,0,1,4,1013.2,341.0,3.5,21.1,68.0,0.0,63.98836985439331,1
96.97,1,40,1,6,1013.2,341.0,3.5,21.1,68.0,0.0,63.98836985439331,1
103.76,2,40,1,9,1013.2,341.0,3.5,21.1,68.0,0.0,63.98836985439331,1
130.35,4,0,1,13,1013.5,354.0,2.6,23.9,58.0,0.0,70.87979294407583,1
168.23,4,20,1,14,1013.5,354.0,2.6,23.9,58.0,0.0,70.87979294407583,1
105.42,5,20,1,17,1013.5,354.0,2.6,23.9,58.0,0.0,70.87979294407583,1
169.5,6,0,1,19,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
101.12,6,40,1,21,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
133.82,7,0,1,22,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
96.92,7,20,1,23,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
147.74,8,0,1,25,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
179.67,8,20,1,26,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
164.12,8,40,1,27,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
130.92,9,0,1,28,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
106.44,9,20,1,29,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
127.43,9,40,1,30,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
120.55,10,0,1,31,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
115.81,10,20,1,32,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
120.36,10,40,1,33,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
120.7,11,0,1,34,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
137.13,11,20,1,35,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
122.74,11,40,1,36,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
126.06,12,0,1,37,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
159.27,12,20,1,38,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
135.15,12,40,1,39,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
114.12,13,0,1,40,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
148.34,13,20,1,41,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
141.42,13,40,1,42,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
146.81,14,0,1,43,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
166.41,14,20,1,44,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
145.0,14,40,1,45,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
120.18,15,0,1,46,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
134.84,15,20,1,47,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
131.65,15,40,1,48,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
167.51,16,0,1,49,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
120.1,16,20,1,50,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
138.59,16,40,1,51,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
122.19,17,0,1,52,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
100.91,17,20,1,53,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
116.77,17,40,1,54,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
133.63,18,0,1,55,1013.8,327.0,1.4,19.4,74.0,0.0,68.1735901,1
339.8,18,20,1,56,1013.8,327.0,1.4,19.4,74.0,0.0,68.1735901,1
148.12,19,0,1,58,1013.8,327.0,1.4,19.4,74.0,0.0,68.1735901,1
136.8,19,20,1,59,1013.8,327.0,1.4,19.4,74.0,0.0,68.1735901,1
162.77,19,40,1,60,1013.8,327.0,1.4,19.4,74.0,0.0,68.1735901,1
96.37,20,0,1,61,1013.8,327.0,1.4,19.4,74.0,0.0,68.1735901,1
108.35,21,0,1,64,1014.1,330.0,1.0,18.6,80.0,0.0,68.56701624242424,1
107.97,21,20,1,65,1014.1,330.0,1.0,18.6,80.0,0.0,68.56701624242424,1
98.11,22,0,1,67,1014.1,330.0,1.0,18.6,80.0,0.0,68.56701624242424,1
109.87,22,40,1,69,1014.1,330.0,1.0,18.6,80.0,0.0,68.56701624242424,1
