volume,hour,minute,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,SSD,is_workday
3,0,20,5,2,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
1,1,0,5,4,1010.6,2.0,4.2,19.4,94.0,1.0,61.35155810000001,2
1,3,20,5,11,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
1,4,40,5,15,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
9,5,0,5,16,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
14,5,20,5,17,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
9,5,40,5,18,1011.0,5.0,5.5,20.3,81.0,0.0,57.525302589473675,2
25,6,0,5,19,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
27,6,20,5,20,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
37,6,40,5,21,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
72,7,0,5,22,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
77,7,20,5,23,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
97,7,40,5,24,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
106,8,0,5,25,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
93,8,20,5,26,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
83,8,40,5,27,1010.1,17.0,3.6,22.1,72.0,0.0,66.00607278951965,2
83,9,0,5,28,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
99,9,20,5,29,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
86,9,40,5,30,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
60,10,0,5,31,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
64,10,20,5,32,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
63,10,40,5,33,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
36,11,0,5,34,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
53,11,20,5,35,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
41,11,40,5,36,1011.1,357.0,3.2,20.5,80.0,0.0,65.15757224489796,2
53,12,0,5,37,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
53,12,20,5,38,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
63,12,40,5,39,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
79,13,0,5,40,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
71,13,20,5,41,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
76,13,40,5,42,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
63,14,0,5,43,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
75,14,20,5,44,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
44,14,40,5,45,1013.9,41.0,4.6,20.2,66.0,0.0,58.5666367483871,2
66,15,0,5,46,1014.9,15.0,5.5,18.6,60.0,0.0,52.08722424242424,2
69,15,20,5,47,1014.9,15.0,5.5,18.6,60.0,0.0,52.08722424242424,2
69,15,40,5,48,1014.9,15.0,5.5,18.6,60.0,0.0,52.08722424242424,2
61,16,0,5,49,1014.9,15.0,5.5,18.6,60.0,0.0,52.08722424242424,2
65,16,20,5,50,1014.9,15.0,5.5,18.6,60.0,0.0,52.08722424242424,2
56,16,40,5,51,1014.9,15.0,5.5,18.6,60.0,0.0,52.08722424242424,2
63,17,0,5,52,1014.9,15.0,5.5,18.6,60.0,0.0,52.08722424242424,2
60,17,20,5,53,1014.9,15.0,5.5,18.6,60.0,0.0,52.08722424242424,2
60,17,40,5,54,1014.9,15.0,5.5,18.6,60.0,0.0,52.08722424242424,2
46,18,0,5,55,1014.9,340.0,2.4,16.4,73.0,0.0,59.217620654545456,2
54,18,20,5,56,1014.9,340.0,2.4,16.4,73.0,0.0,59.217620654545456,2
37,18,40,5,57,1014.9,340.0,2.4,16.4,73.0,0.0,59.217620654545456,2
44,19,0,5,58,1014.9,340.0,2.4,16.4,73.0,0.0,59.217620654545456,2
41,19,20,5,59,1014.9,340.0,2.4,16.4,73.0,0.0,59.217620654545456,2
19,19,40,5,60,1014.9,340.0,2.4,16.4,73.0,0.0,59.217620654545456,2
33,20,0,5,61,1014.9,340.0,2.4,16.4,73.0,0.0,59.217620654545456,2
31,20,20,5,62,1014.9,340.0,2.4,16.4,73.0,0.0,59.217620654545456,2
29,20,40,5,63,1014.9,340.0,2.4,16.4,73.0,0.0,59.217620654545456,2
21,21,0,5,64,1015.2,354.0,3.3,16.5,64.0,0.0,55.65855635087719,2
22,21,20,5,65,1015.2,354.0,3.3,16.5,64.0,0.0,55.65855635087719,2
27,21,40,5,66,1015.2,354.0,3.3,16.5,64.0,0.0,55.65855635087719,2
15,22,0,5,67,1015.2,354.0,3.3,16.5,64.0,0.0,55.65855635087719,2
8,22,20,5,68,1015.2,354.0,3.3,16.5,64.0,0.0,55.65855635087719,2
14,22,40,5,69,1015.2,354.0,3.3,16.5,64.0,0.0,55.65855635087719,2
17,23,0,5,70,1015.2,354.0,3.3,16.5,64.0,0.0,55.65855635087719,2
1,23,20,5,71,1015.2,354.0,3.3,16.5,64.0,0.0,55.65855635087719,2
1,0,0,6,1,1016.4,1.0,4.0,17.5,66.0,0.0,55.46766727272728,2
1,0,20,6,2,1016.4,1.0,4.0,17.5,66.0,0.0,55.46766727272728,2
2,0,40,6,3,1016.4,1.0,4.0,17.5,66.0,0.0,55.46766727272728,2
1,1,0,6,4,1016.4,1.0,4.0,17.5,66.0,0.0,55.46766727272728,2
3,1,40,6,6,1016.4,1.0,4.0,17.5,66.0,0.0,55.46766727272728,2
1,2,0,6,7,1016.4,1.0,4.0,17.5,66.0,0.0,55.46766727272728,2
1,4,20,6,14,1016.1,66.0,2.5,21.4,56.0,0.0,66.37936585762712,2
1,4,40,6,15,1016.1,66.0,2.5,21.4,56.0,0.0,66.37936585762712,2
12,5,0,6,16,1016.1,66.0,2.5,21.4,56.0,0.0,66.37936585762712,2
8,5,20,6,17,1016.1,66.0,2.5,21.4,56.0,0.0,66.37936585762712,2
18,5,40,6,18,1016.1,66.0,2.5,21.4,56.0,0.0,66.37936585762712,2
29,6,0,6,19,1014.0,54.0,3.5,21.7,49.0,0.0,62.92066671416309,2
31,6,20,6,20,1014.0,54.0,3.5,21.7,49.0,0.0,62.92066671416309,2
45,6,40,6,21,1014.0,54.0,3.5,21.7,49.0,0.0,62.92066671416309,2
61,7,0,6,22,1014.0,54.0,3.5,21.7,49.0,0.0,62.92066671416309,2
99,7,20,6,23,1014.0,54.0,3.5,21.7,49.0,0.0,62.92066671416309,2
100,7,40,6,24,1014.0,54.0,3.5,21.7,49.0,0.0,62.92066671416309,2
125,8,0,6,25,1014.0,54.0,3.5,21.7,49.0,0.0,62.92066671416309,2
114,8,20,6,26,1014.0,54.0,3.5,21.7,49.0,0.0,62.92066671416309,2
113,8,40,6,27,1014.0,54.0,3.5,21.7,49.0,0.0,62.92066671416309,2
125,9,0,6,28,1014.3,28.0,5.6,20.4,55.0,0.0,54.52298328455285,2
94,9,20,6,29,1014.3,28.0,5.6,20.4,55.0,0.0,54.52298328455285,2
80,9,40,6,30,1014.3,28.0,5.6,20.4,55.0,0.0,54.52298328455285,2
66,10,0,6,31,1014.3,28.0,5.6,20.4,55.0,0.0,54.52298328455285,2
79,10,20,6,32,1014.3,28.0,5.6,20.4,55.0,0.0,54.52298328455285,2
64,10,40,6,33,1014.3,28.0,5.6,20.4,55.0,0.0,54.52298328455285,2
64,11,0,6,34,1014.3,28.0,5.6,20.4,55.0,0.0,54.52298328455285,2
52,11,20,6,35,1014.3,28.0,5.6,20.4,55.0,0.0,54.52298328455285,2
61,11,40,6,36,1014.3,28.0,5.6,20.4,55.0,0.0,54.52298328455285,2
65,12,0,6,37,1016.1,52.0,6.0,18.8,58.0,0.0,50.64514960610686,2
68,12,20,6,38,1016.1,52.0,6.0,18.8,58.0,0.0,50.64514960610686,2
63,12,40,6,39,1016.1,52.0,6.0,18.8,58.0,0.0,50.64514960610686,2
66,13,0,6,40,1016.1,52.0,6.0,18.8,58.0,0.0,50.64514960610686,2
61,13,20,6,41,1016.1,52.0,6.0,18.8,58.0,0.0,50.64514960610686,2
48,13,40,6,42,1016.1,52.0,6.0,18.8,58.0,0.0,50.64514960610686,2
64,14,0,6,43,1016.1,52.0,6.0,18.8,58.0,0.0,50.64514960610686,2
54,14,20,6,44,1016.1,52.0,6.0,18.8,58.0,0.0,50.64514960610686,2
65,14,40,6,45,1016.1,52.0,6.0,18.8,58.0,0.0,50.64514960610686,2
74,15,0,6,46,1016.3,57.0,4.4,17.1,60.0,0.0,52.853749820788536,2
61,15,20,6,47,1016.3,57.0,4.4,17.1,60.0,0.0,52.853749820788536,2
69,15,40,6,48,1016.3,57.0,4.4,17.1,60.0,0.0,52.853749820788536,2
60,16,0,6,49,1016.3,57.0,4.4,17.1,60.0,0.0,52.853749820788536,2
63,16,20,6,50,1016.3,57.0,4.4,17.1,60.0,0.0,52.853749820788536,2
72,16,40,6,51,1016.3,57.0,4.4,17.1,60.0,0.0,52.853749820788536,2
69,17,0,6,52,1016.3,57.0,4.4,17.1,60.0,0.0,52.853749820788536,2
83,17,20,6,53,1016.3,57.0,4.4,17.1,60.0,0.0,52.853749820788536,2
73,17,40,6,54,1016.3,57.0,4.4,17.1,60.0,0.0,52.853749820788536,2
70,18,0,6,55,1015.4,4.0,1.3,15.4,67.0,0.0,60.30286998918918,2
48,18,20,6,56,1015.4,4.0,1.3,15.4,67.0,0.0,60.30286998918918,2
54,18,40,6,57,1015.4,4.0,1.3,15.4,67.0,0.0,60.30286998918918,2
36,19,0,6,58,1015.4,4.0,1.3,15.4,67.0,0.0,60.30286998918918,2
46,19,20,6,59,1015.4,4.0,1.3,15.4,67.0,0.0,60.30286998918918,2
36,19,40,6,60,1015.4,4.0,1.3,15.4,67.0,0.0,60.30286998918918,2
35,20,0,6,61,1015.4,4.0,1.3,15.4,67.0,0.0,60.30286998918918,2
33,20,20,6,62,1015.4,4.0,1.3,15.4,67.0,0.0,60.30286998918918,2
25,20,40,6,63,1015.4,4.0,1.3,15.4,67.0,0.0,60.30286998918918,2
34,21,0,6,64,1014.5,333.0,2.5,14.1,80.0,0.0,55.18706397411003,2
29,21,20,6,65,1014.5,333.0,2.5,14.1,80.0,0.0,55.18706397411003,2
19,21,40,6,66,1014.5,333.0,2.5,14.1,80.0,0.0,55.18706397411003,2
14,22,0,6,67,1014.5,333.0,2.5,14.1,80.0,0.0,55.18706397411003,2
