avg_travel_time,route,intersection_id,tollgate_id,time_window,start_time,date,time,hour,minute,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,last_40min,last_60min,last_80min,last_100min,last_120min,wind_direction2,wind_speed2,precipitation2,SSD,SSD_level,is_workday,datemap,A-2,A-3,B-1,B-3,C-1,C-3,hour__0,hour__1,hour__2,hour__3,hour__4,hour__5,hour__6,hour__7,hour__8,hour__9,hour__10,hour__11,hour__12,hour__13,hour__14,hour__15,hour__16,hour__17,hour__18,hour__19,hour__20,hour__21,hour__22,hour__23,minute__0,minute__20,minute__40,weekday__0,weekday__1,weekday__2,weekday__3,weekday__4,weekday__5,weekday__6,workday__1,workday__2,workday__3
58.11,A-2,A,2,"[2016-09-20 00:00:00,2016-09-20 00:20:00)",2016-09-20 00:00:00,2016-09-20,00:00:00,0,0,1,1,1013.2,341.0,3.5,21.1,68.0,0.0,65.89,45.93,50.42,84.1,71.01,100.9,8,3,0,63.98836985439331,0,1,64,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
54.33,A-2,A,2,"[2016-09-20 00:40:00,2016-09-20 01:00:00)",2016-09-20 00:40:00,2016-09-20,00:40:00,0,40,1,3,1013.2,341.0,3.5,21.1,68.0,0.0,58.88,58.11,83.22,45.93,50.42,84.1,8,3,0,63.98836985439331,0,1,64,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
50.91,A-2,A,2,"[2016-09-20 01:20:00,2016-09-20 01:40:00)",2016-09-20 01:20:00,2016-09-20,01:20:00,1,20,1,5,1013.2,341.0,3.5,21.1,68.0,0.0,60.73,54.33,50.02,58.11,73.3,45.93,8,3,0,63.98836985439331,0,1,64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
58.85,A-2,A,2,"[2016-09-20 01:40:00,2016-09-20 02:00:00)",2016-09-20 01:40:00,2016-09-20,01:40:00,1,40,1,6,1013.2,341.0,3.5,21.1,68.0,0.0,50.91,114.78,54.33,81.6,58.11,70.25,8,3,0,63.98836985439331,0,1,64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
75.64,A-2,A,2,"[2016-09-20 02:20:00,2016-09-20 02:40:00)",2016-09-20 02:20:00,2016-09-20,02:20:00,2,20,1,8,1013.2,341.0,3.5,21.1,68.0,0.0,58.74,58.85,50.91,53.03,54.33,74.27,8,3,0,63.98836985439331,0,1,64,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
44.1,A-2,A,2,"[2016-09-20 03:00:00,2016-09-20 03:20:00)",2016-09-20 03:00:00,2016-09-20,03:00:00,3,0,1,10,1013.5,354.0,2.6,23.9,58.0,0.0,45.99,75.64,54.65,58.85,50.91,50.87,8,2,0,70.87979294407583,0,1,64,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
46.01,A-2,A,2,"[2016-09-20 03:20:00,2016-09-20 03:40:00)",2016-09-20 03:20:00,2016-09-20,03:20:00,3,20,1,11,1013.5,354.0,2.6,23.9,58.0,0.0,44.1,65.34,75.64,87.64,58.85,50.91,8,2,0,70.87979294407583,0,1,64,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
75.46,A-2,A,2,"[2016-09-20 03:40:00,2016-09-20 04:00:00)",2016-09-20 03:40:00,2016-09-20,03:40:00,3,40,1,12,1013.5,354.0,2.6,23.9,58.0,0.0,46.01,44.1,47.69,75.64,55.98,58.85,8,2,0,70.87979294407583,0,1,64,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
43.53,A-2,A,2,"[2016-09-20 04:00:00,2016-09-20 04:20:00)",2016-09-20 04:00:00,2016-09-20,04:00:00,4,0,1,13,1013.5,354.0,2.6,23.9,58.0,0.0,75.46,46.01,44.1,67.91,75.64,57.87,8,2,0,70.87979294407583,0,1,64,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
60.94,A-2,A,2,"[2016-09-20 04:20:00,2016-09-20 04:40:00)",2016-09-20 04:20:00,2016-09-20,04:20:00,4,20,1,14,1013.5,354.0,2.6,23.9,58.0,0.0,43.53,75.46,46.01,44.1,83.22,75.64,8,2,0,70.87979294407583,0,1,64,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
47.32,A-2,A,2,"[2016-09-20 04:40:00,2016-09-20 05:00:00)",2016-09-20 04:40:00,2016-09-20,04:40:00,4,40,1,15,1013.5,354.0,2.6,23.9,58.0,0.0,60.94,43.53,75.46,46.01,44.1,76.29,8,2,0,70.87979294407583,0,1,64,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
46.97,A-2,A,2,"[2016-09-20 05:20:00,2016-09-20 05:40:00)",2016-09-20 05:20:00,2016-09-20,05:20:00,5,20,1,17,1013.5,354.0,2.6,23.9,58.0,0.0,62.22,47.32,60.94,43.53,75.46,46.01,8,2,0,70.87979294407583,0,1,64,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
48.02,A-2,A,2,"[2016-09-20 05:40:00,2016-09-20 06:00:00)",2016-09-20 05:40:00,2016-09-20,05:40:00,5,40,1,18,1013.5,354.0,2.6,23.9,58.0,0.0,46.97,45.39,47.32,60.94,43.53,75.46,8,2,0,70.87979294407583,0,1,64,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
93.19,A-2,A,2,"[2016-09-20 06:20:00,2016-09-20 06:40:00)",2016-09-20 06:20:00,2016-09-20,06:20:00,6,20,1,20,1012.2,7.0,4.6,26.9,43.0,0.0,63.36,48.02,46.97,67.8,47.32,60.94,8,3,0,68.00156924419889,0,1,64,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
52.35,A-2,A,2,"[2016-09-20 06:40:00,2016-09-20 07:00:00)",2016-09-20 06:40:00,2016-09-20,06:40:00,6,40,1,21,1012.2,7.0,4.6,26.9,43.0,0.0,93.19,59.85,48.02,46.97,69.0,47.32,8,3,0,68.00156924419889,0,1,64,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
62.0,A-2,A,2,"[2016-09-20 07:00:00,2016-09-20 07:20:00)",2016-09-20 07:00:00,2016-09-20,07:00:00,7,0,1,22,1012.2,7.0,4.6,26.9,43.0,0.0,52.35,93.19,80.67,48.02,46.97,74.07,8,3,0,68.00156924419889,0,1,64,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
57.02,A-2,A,2,"[2016-09-20 07:20:00,2016-09-20 07:40:00)",2016-09-20 07:20:00,2016-09-20,07:20:00,7,20,1,23,1012.2,7.0,4.6,26.9,43.0,0.0,62.0,52.35,93.19,41.38,48.02,46.97,8,3,0,68.00156924419889,0,1,64,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
64.3,A-2,A,2,"[2016-09-20 07:40:00,2016-09-20 08:00:00)",2016-09-20 07:40:00,2016-09-20,07:40:00,7,40,1,24,1012.2,7.0,4.6,26.9,43.0,0.0,57.02,62.0,52.35,93.19,48.91,48.02,8,3,0,68.00156924419889,0,1,64,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
