intersection_id,tollgate_id,time_window,avg_travel_time,start_time,date,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,time,weekday,route,last_20min
A,2,"[2016-07-19 00:20:00,2016-07-19 00:40:00)",58.05,2016-07-19 00:20:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,00:20:00,1,A-2,
A,2,"[2016-07-19 01:20:00,2016-07-19 01:40:00)",56.87,2016-07-19 01:20:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,01:20:00,1,A-2,
A,2,"[2016-07-19 01:40:00,2016-07-19 02:00:00)",77.74,2016-07-19 01:40:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,01:40:00,1,A-2,56.87
A,2,"[2016-07-19 02:20:00,2016-07-19 02:40:00)",42.64,2016-07-19 02:20:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,02:20:00,1,A-2,
A,2,"[2016-07-19 02:40:00,2016-07-19 03:00:00)",40.17,2016-07-19 02:40:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,02:40:00,1,A-2,42.64
A,2,"[2016-07-19 03:20:00,2016-07-19 03:40:00)",41.92,2016-07-19 03:20:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,03:20:00,1,A-2,
A,2,"[2016-07-19 03:40:00,2016-07-19 04:00:00)",39.43,2016-07-19 03:40:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,03:40:00,1,A-2,41.92
A,2,"[2016-07-19 04:00:00,2016-07-19 04:20:00)",48.13,2016-07-19 04:00:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,04:00:00,1,A-2,39.43
A,2,"[2016-07-19 04:20:00,2016-07-19 04:40:00)",62.11,2016-07-19 04:20:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,04:20:00,1,A-2,48.13
A,2,"[2016-07-19 04:40:00,2016-07-19 05:00:00)",46.12,2016-07-19 04:40:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,04:40:00,1,A-2,62.11
A,2,"[2016-07-19 05:00:00,2016-07-19 05:20:00)",49.56,2016-07-19 05:00:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,05:00:00,1,A-2,46.12
A,2,"[2016-07-19 05:20:00,2016-07-19 05:40:00)",54.84,2016-07-19 05:20:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,05:20:00,1,A-2,49.56
A,2,"[2016-07-19 05:40:00,2016-07-19 06:00:00)",58.08,2016-07-19 05:40:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,05:40:00,1,A-2,54.84
A,2,"[2016-07-19 06:00:00,2016-07-19 06:20:00)",46.36,2016-07-19 06:00:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,06:00:00,1,A-2,58.08
A,2,"[2016-07-19 06:20:00,2016-07-19 06:40:00)",48.59,2016-07-19 06:20:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,06:20:00,1,A-2,46.36
A,2,"[2016-07-19 06:40:00,2016-07-19 07:00:00)",66.64,2016-07-19 06:40:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,06:40:00,1,A-2,48.59
A,2,"[2016-07-19 07:00:00,2016-07-19 07:20:00)",64.68,2016-07-19 07:00:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,07:00:00,1,A-2,66.64
A,2,"[2016-07-19 07:20:00,2016-07-19 07:40:00)",85.68,2016-07-19 07:20:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,07:20:00,1,A-2,64.68
A,2,"[2016-07-19 07:40:00,2016-07-19 08:00:00)",58.97,2016-07-19 07:40:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,07:40:00,1,A-2,85.68
A,2,"[2016-07-19 08:00:00,2016-07-19 08:20:00)",81.6,2016-07-19 08:00:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,08:00:00,1,A-2,58.97
A,2,"[2016-07-19 08:20:00,2016-07-19 08:40:00)",80.21,2016-07-19 08:20:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,08:20:00,1,A-2,81.6
A,2,"[2016-07-19 08:40:00,2016-07-19 09:00:00)",63.45,2016-07-19 08:40:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,08:40:00,1,A-2,80.21
A,2,"[2016-07-19 09:00:00,2016-07-19 09:20:00)",78.05,2016-07-19 09:00:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,09:00:00,1,A-2,63.45
A,2,"[2016-07-19 09:20:00,2016-07-19 09:40:00)",69.04,2016-07-19 09:20:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,09:20:00,1,A-2,78.05
A,2,"[2016-07-19 09:40:00,2016-07-19 10:00:00)",69.66,2016-07-19 09:40:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,09:40:00,1,A-2,69.04
A,2,"[2016-07-19 10:00:00,2016-07-19 10:20:00)",78.31,2016-07-19 10:00:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,10:00:00,1,A-2,69.66
A,2,"[2016-07-19 10:20:00,2016-07-19 10:40:00)",59.41,2016-07-19 10:20:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,10:20:00,1,A-2,78.31
A,2,"[2016-07-19 10:40:00,2016-07-19 11:00:00)",75.49,2016-07-19 10:40:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,10:40:00,1,A-2,59.41
A,2,"[2016-07-19 11:00:00,2016-07-19 11:20:00)",72.44,2016-07-19 11:00:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,11:00:00,1,A-2,75.49
A,2,"[2016-07-19 11:20:00,2016-07-19 11:40:00)",45.94,2016-07-19 11:20:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,11:20:00,1,A-2,72.44
A,2,"[2016-07-19 11:40:00,2016-07-19 12:00:00)",47.98,2016-07-19 11:40:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,11:40:00,1,A-2,45.94
A,2,"[2016-07-19 12:00:00,2016-07-19 12:20:00)",60.17,2016-07-19 12:00:00,2016-07-19,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,12:00:00,1,A-2,47.98
A,2,"[2016-07-19 12:20:00,2016-07-19 12:40:00)",49.53,2016-07-19 12:20:00,2016-07-19,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,12:20:00,1,A-2,60.17
A,2,"[2016-07-19 12:40:00,2016-07-19 13:00:00)",52.17,2016-07-19 12:40:00,2016-07-19,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,12:40:00,1,A-2,49.53
A,2,"[2016-07-19 13:00:00,2016-07-19 13:20:00)",57.83,2016-07-19 13:00:00,2016-07-19,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,13:00:00,1,A-2,52.17
A,2,"[2016-07-19 13:20:00,2016-07-19 13:40:00)",57.09,2016-07-19 13:20:00,2016-07-19,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,13:20:00,1,A-2,57.83
A,2,"[2016-07-19 13:40:00,2016-07-19 14:00:00)",61.13,2016-07-19 13:40:00,2016-07-19,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,13:40:00,1,A-2,57.09
A,2,"[2016-07-19 14:00:00,2016-07-19 14:20:00)",65.11,2016-07-19 14:00:00,2016-07-19,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,14:00:00,1,A-2,61.13
A,2,"[2016-07-19 14:20:00,2016-07-19 14:40:00)",74.71,2016-07-19 14:20:00,2016-07-19,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,14:20:00,1,A-2,65.11
A,2,"[2016-07-19 14:40:00,2016-07-19 15:00:00)",63.83,2016-07-19 14:40:00,2016-07-19,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,14:40:00,1,A-2,74.71
A,2,"[2016-07-19 15:00:00,2016-07-19 15:20:00)",79.42,2016-07-19 15:00:00,2016-07-19,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,15:00:00,1,A-2,63.83
A,2,"[2016-07-19 15:20:00,2016-07-19 15:40:00)",72.31,2016-07-19 15:20:00,2016-07-19,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,15:20:00,1,A-2,79.42
A,2,"[2016-07-19 15:40:00,2016-07-19 16:00:00)",58.74,2016-07-19 15:40:00,2016-07-19,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,15:40:00,1,A-2,72.31
A,2,"[2016-07-19 16:00:00,2016-07-19 16:20:00)",59.64,2016-07-19 16:00:00,2016-07-19,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,16:00:00,1,A-2,58.74
A,2,"[2016-07-19 16:20:00,2016-07-19 16:40:00)",51.97,2016-07-19 16:20:00,2016-07-19,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,16:20:00,1,A-2,59.64
A,2,"[2016-07-19 16:40:00,2016-07-19 17:00:00)",61.6,2016-07-19 16:40:00,2016-07-19,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,16:40:00,1,A-2,51.97
A,2,"[2016-07-19 17:00:00,2016-07-19 17:20:00)",105.39,2016-07-19 17:00:00,2016-07-19,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,17:00:00,1,A-2,61.6
A,2,"[2016-07-19 17:20:00,2016-07-19 17:40:00)",83.83,2016-07-19 17:20:00,2016-07-19,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,17:20:00,1,A-2,105.39
A,2,"[2016-07-19 17:40:00,2016-07-19 18:00:00)",65.67,2016-07-19 17:40:00,2016-07-19,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,17:40:00,1,A-2,83.83
A,2,"[2016-07-19 18:00:00,2016-07-19 18:20:00)",85.11,2016-07-19 18:00:00,2016-07-19,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,18:00:00,1,A-2,65.67
A,2,"[2016-07-19 18:20:00,2016-07-19 18:40:00)",50.57,2016-07-19 18:20:00,2016-07-19,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,18:20:00,1,A-2,85.11
A,2,"[2016-07-19 18:40:00,2016-07-19 19:00:00)",65.07,2016-07-19 18:40:00,2016-07-19,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,18:40:00,1,A-2,50.57
A,2,"[2016-07-19 19:00:00,2016-07-19 19:20:00)",67.33,2016-07-19 19:00:00,2016-07-19,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,19:00:00,1,A-2,65.07
A,2,"[2016-07-19 19:20:00,2016-07-19 19:40:00)",79.85,2016-07-19 19:20:00,2016-07-19,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,19:20:00,1,A-2,67.33
A,2,"[2016-07-19 19:40:00,2016-07-19 20:00:00)",89.64,2016-07-19 19:40:00,2016-07-19,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,19:40:00,1,A-2,79.85
A,2,"[2016-07-19 20:00:00,2016-07-19 20:20:00)",87.94,2016-07-19 20:00:00,2016-07-19,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,20:00:00,1,A-2,89.64
A,2,"[2016-07-19 20:20:00,2016-07-19 20:40:00)",44.09,2016-07-19 20:20:00,2016-07-19,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,20:20:00,1,A-2,87.94
A,2,"[2016-07-19 20:40:00,2016-07-19 21:00:00)",64.16,2016-07-19 20:40:00,2016-07-19,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,20:40:00,1,A-2,44.09
A,2,"[2016-07-19 21:00:00,2016-07-19 21:20:00)",68.48,2016-07-19 21:00:00,2016-07-19,999.0,1003.8,208.0,2.0,26.5,93.0,0.0,21:00:00,1,A-2,64.16
