avg_travel_time,route,intersection_id,tollgate_id,time_window,start_time,date,time,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,last_40min,last_60min,last_80min,last_100min,last_120min,wind_direction2,wind_speed2,precipitation2,SSD,SSD_level,is_workday,datemap
54.84,A-2,A,2,"[2016-07-19 05:20:00,2016-07-19 05:40:00)",2016-07-19 05:20:00,2016-07-19,05:20:00,1,17,1000,212.0,3.8,31.7,65.0,0.0,49.56,46.12,62.11,48.13,39.43,41.92,5,3,0,82.58614960902256,3,1,1
58.08,A-2,A,2,"[2016-07-19 05:40:00,2016-07-19 06:00:00)",2016-07-19 05:40:00,2016-07-19,05:40:00,1,18,1000,212.0,3.8,31.7,65.0,0.0,54.84,49.56,46.12,62.11,48.13,39.43,5,3,0,82.58614960902256,3,1,1
46.36,A-2,A,2,"[2016-07-19 06:00:00,2016-07-19 06:20:00)",2016-07-19 06:00:00,2016-07-19,06:00:00,1,19,1000,239.0,1.9,31.8,64.0,0.0,58.08,54.84,49.56,46.12,62.11,48.13,5,2,0,88.7051876848485,4,1,1
48.59,A-2,A,2,"[2016-07-19 06:20:00,2016-07-19 06:40:00)",2016-07-19 06:20:00,2016-07-19,06:20:00,1,20,1000,239.0,1.9,31.8,64.0,0.0,46.36,58.08,54.84,49.56,46.12,62.11,5,2,0,88.7051876848485,4,1,1
66.64,A-2,A,2,"[2016-07-19 06:40:00,2016-07-19 07:00:00)",2016-07-19 06:40:00,2016-07-19,06:40:00,1,21,1000,239.0,1.9,31.8,64.0,0.0,48.59,46.36,58.08,54.84,49.56,46.12,5,2,0,88.7051876848485,4,1,1
64.68,A-2,A,2,"[2016-07-19 07:00:00,2016-07-19 07:20:00)",2016-07-19 07:00:00,2016-07-19,07:00:00,1,22,1000,239.0,1.9,31.8,64.0,0.0,66.64,48.59,46.36,58.08,54.84,49.56,5,2,0,88.7051876848485,4,1,1
85.68,A-2,A,2,"[2016-07-19 07:20:00,2016-07-19 07:40:00)",2016-07-19 07:20:00,2016-07-19,07:20:00,1,23,1000,239.0,1.9,31.8,64.0,0.0,64.68,66.64,48.59,46.36,58.08,54.84,5,2,0,88.7051876848485,4,1,1
58.97,A-2,A,2,"[2016-07-19 07:40:00,2016-07-19 08:00:00)",2016-07-19 07:40:00,2016-07-19,07:40:00,1,24,1000,239.0,1.9,31.8,64.0,0.0,85.68,64.68,66.64,48.59,46.36,58.08,5,2,0,88.7051876848485,4,1,1
81.6,A-2,A,2,"[2016-07-19 08:00:00,2016-07-19 08:20:00)",2016-07-19 08:00:00,2016-07-19,08:00:00,1,25,1000,239.0,1.9,31.8,64.0,0.0,58.97,85.68,64.68,66.64,48.59,46.36,5,2,0,88.7051876848485,4,1,1
80.21,A-2,A,2,"[2016-07-19 08:20:00,2016-07-19 08:40:00)",2016-07-19 08:20:00,2016-07-19,08:20:00,1,26,1000,239.0,1.9,31.8,64.0,0.0,81.6,58.97,85.68,64.68,66.64,48.59,5,2,0,88.7051876848485,4,1,1
63.45,A-2,A,2,"[2016-07-19 08:40:00,2016-07-19 09:00:00)",2016-07-19 08:40:00,2016-07-19,08:40:00,1,27,1000,239.0,1.9,31.8,64.0,0.0,80.21,81.6,58.97,85.68,64.68,66.64,5,2,0,88.7051876848485,4,1,1
78.05,A-2,A,2,"[2016-07-19 09:00:00,2016-07-19 09:20:00)",2016-07-19 09:00:00,2016-07-19,09:00:00,1,28,999,218.0,2.0,31.5,69.0,0.0,63.45,80.21,81.6,58.97,85.68,64.68,5,2,0,88.56800896296296,4,1,1
69.04,A-2,A,2,"[2016-07-19 09:20:00,2016-07-19 09:40:00)",2016-07-19 09:20:00,2016-07-19,09:20:00,1,29,999,218.0,2.0,31.5,69.0,0.0,78.05,63.45,80.21,81.6,58.97,85.68,5,2,0,88.56800896296296,4,1,1
69.66,A-2,A,2,"[2016-07-19 09:40:00,2016-07-19 10:00:00)",2016-07-19 09:40:00,2016-07-19,09:40:00,1,30,999,218.0,2.0,31.5,69.0,0.0,69.04,78.05,63.45,80.21,81.6,58.97,5,2,0,88.56800896296296,4,1,1
78.31,A-2,A,2,"[2016-07-19 10:00:00,2016-07-19 10:20:00)",2016-07-19 10:00:00,2016-07-19,10:00:00,1,31,999,218.0,2.0,31.5,69.0,0.0,69.66,69.04,78.05,63.45,80.21,81.6,5,2,0,88.56800896296296,4,1,1
