volume,pair,tollgate_id,direction,time_window,start_time,date,time,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,last_40min,last_60min,last_80min,last_100min,last_120min,wind_direction2,wind_speed2,precipitation2,SSD,SSD_level,is_workday,datemap
2,2-0,2,0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",2016-09-19 00:00:00,2016-09-19,00:00:00,0,1,1008,329.0,2.8,22.2,76.0,0.0,14.0,1.0,14.0,14.0,14.0,14.0,7,2,0,69.2230426385965,0,1,1
1,2-0,2,0,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",2016-09-19 01:00:00,2016-09-19,01:00:00,0,4,1008,329.0,2.8,22.2,76.0,0.0,14.0,1.0,14.0,14.0,14.0,14.0,7,2,0,69.2230426385965,0,1,1
2,2-0,2,0,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",2016-09-19 01:40:00,2016-09-19,01:40:00,0,6,1008,329.0,2.8,22.2,76.0,0.0,14.0,1.0,14.0,14.0,14.0,14.0,7,2,0,69.2230426385965,0,1,1
14,2-0,2,0,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",2016-09-19 05:00:00,2016-09-19,05:00:00,0,16,1008,15.0,4.5,24.4,67.0,0.0,14.0,1.0,14.0,14.0,14.0,14.0,8,3,0,66.84581676116505,0,1,1
12,2-0,2,0,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",2016-09-19 05:20:00,2016-09-19,05:20:00,0,17,1008,15.0,4.5,24.4,67.0,0.0,14.0,1.0,14.0,14.0,14.0,14.0,8,3,0,66.84581676116505,0,1,1
21,2-0,2,0,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",2016-09-19 05:40:00,2016-09-19,05:40:00,0,18,1008,15.0,4.5,24.4,67.0,0.0,12.0,14.0,14.0,14.0,14.0,14.0,8,3,0,66.84581676116505,0,1,1
30,2-0,2,0,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",2016-09-19 06:00:00,2016-09-19,06:00:00,0,19,1007,12.0,6.2,26.8,56.0,0.0,21.0,12.0,14.0,14.0,14.0,14.0,8,4,0,64.44146651428571,0,1,1
36,2-0,2,0,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",2016-09-19 06:20:00,2016-09-19,06:20:00,0,20,1007,12.0,6.2,26.8,56.0,0.0,30.0,21.0,12.0,14.0,14.0,14.0,8,4,0,64.44146651428571,0,1,1
37,2-0,2,0,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",2016-09-19 06:40:00,2016-09-19,06:40:00,0,21,1007,12.0,6.2,26.8,56.0,0.0,36.0,30.0,21.0,12.0,14.0,14.0,8,4,0,64.44146651428571,0,1,1
84,2-0,2,0,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",2016-09-19 07:00:00,2016-09-19,07:00:00,0,22,1007,12.0,6.2,26.8,56.0,0.0,37.0,36.0,30.0,21.0,12.0,14.0,8,4,0,64.44146651428571,0,1,1
80,2-0,2,0,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",2016-09-19 07:20:00,2016-09-19,07:20:00,0,23,1007,12.0,6.2,26.8,56.0,0.0,84.0,37.0,36.0,30.0,21.0,12.0,8,4,0,64.44146651428571,0,1,1
97,2-0,2,0,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",2016-09-19 07:40:00,2016-09-19,07:40:00,0,24,1007,12.0,6.2,26.8,56.0,0.0,80.0,84.0,37.0,36.0,30.0,21.0,8,4,0,64.44146651428571,0,1,1
129,2-0,2,0,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",2016-09-19 08:00:00,2016-09-19,08:00:00,0,25,1007,12.0,6.2,26.8,56.0,0.0,97.0,80.0,84.0,37.0,36.0,30.0,8,4,0,64.44146651428571,0,1,1
122,2-0,2,0,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",2016-09-19 08:20:00,2016-09-19,08:20:00,0,26,1007,12.0,6.2,26.8,56.0,0.0,129.0,97.0,80.0,84.0,37.0,36.0,8,4,0,64.44146651428571,0,1,1
98,2-0,2,0,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",2016-09-19 08:40:00,2016-09-19,08:40:00,0,27,1007,12.0,6.2,26.8,56.0,0.0,122.0,129.0,97.0,80.0,84.0,37.0,8,4,0,64.44146651428571,0,1,1
89,2-0,2,0,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",2016-09-19 09:00:00,2016-09-19,09:00:00,0,28,1008,351.0,5.3,23.8,72.0,0.1,98.0,122.0,129.0,97.0,80.0,84.0,8,3,1,63.77636914716982,0,1,1
78,2-0,2,0,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",2016-09-19 09:20:00,2016-09-19,09:20:00,0,29,1008,351.0,5.3,23.8,72.0,0.1,89.0,98.0,122.0,129.0,97.0,80.0,8,3,1,63.77636914716982,0,1,1
59,2-0,2,0,"[2016-09-19 09:40:00,2016-09-19 10:00:00)",2016-09-19 09:40:00,2016-09-19,09:40:00,0,30,1008,351.0,5.3,23.8,72.0,0.1,78.0,89.0,98.0,122.0,129.0,97.0,8,3,1,63.77636914716982,0,1,1
71,2-0,2,0,"[2016-09-19 10:00:00,2016-09-19 10:20:00)",2016-09-19 10:00:00,2016-09-19,10:00:00,0,31,1008,351.0,5.3,23.8,72.0,0.1,59.0,78.0,89.0,98.0,122.0,129.0,8,3,1,63.77636914716982,0,1,1
