"intersection_id","tollgate_id","avg_all_route_speed","avg_last_link_speed"
A,2,2016-07-19 00:20:00,6.61,5.03
A,2,2016-07-19 01:20:00,7.47,5.66
A,2,2016-07-19 01:40:00,6.5,4.77
A,2,2016-07-19 02:20:00,9.01,6.59
A,2,2016-07-19 02:40:00,10.08,7.93
A,2,2016-07-19 03:20:00,9.19,8.55
A,2,2016-07-19 03:40:00,11.09,10.24
A,2,2016-07-19 04:00:00,8.03,5.23
A,2,2016-07-19 04:20:00,6.52,5.56
A,2,2016-07-19 04:40:00,8.33,5.91
A,2,2016-07-19 05:00:00,8.02,6.23
A,2,2016-07-19 05:20:00,7.66,7.1
A,2,2016-07-19 05:40:00,7.06,5.59
A,2,2016-07-19 06:00:00,9.48,9.19
A,2,2016-07-19 06:20:00,8.68,8.09
A,2,2016-07-19 06:40:00,6.76,5.14
A,2,2016-07-19 07:00:00,8.13,7.04
A,2,2016-07-19 07:20:00,5.14,4.08
A,2,2016-07-19 07:40:00,6.7,6.47
A,2,2016-07-19 08:00:00,5.48,4.27
A,2,2016-07-19 08:20:00,5.23,3.79
A,2,2016-07-19 08:40:00,7.07,6.4
A,2,2016-07-19 09:00:00,6.18,5.83
A,2,2016-07-19 09:20:00,7.26,5.99
A,2,2016-07-19 09:40:00,6.9,5.45
A,2,2016-07-19 10:00:00,5.91,4.65
A,2,2016-07-19 10:20:00,7.8,6.54
A,2,2016-07-19 10:40:00,6.92,6.07
A,2,2016-07-19 11:00:00,6.51,5.95
A,2,2016-07-19 11:20:00,8.58,8.76
A,2,2016-07-19 11:40:00,10.46,8.71
A,2,2016-07-19 12:00:00,7.74,6.67
A,2,2016-07-19 12:20:00,8.25,7.53
A,2,2016-07-19 12:40:00,8.38,7.29
A,2,2016-07-19 13:00:00,8.64,7.31
A,2,2016-07-19 13:20:00,7.6,6.29
A,2,2016-07-19 13:40:00,7.47,5.96
A,2,2016-07-19 14:00:00,6.23,5.75
A,2,2016-07-19 14:20:00,5.68,4.78
A,2,2016-07-19 14:40:00,7.14,5.77
A,2,2016-07-19 15:00:00,6.87,6.07
A,2,2016-07-19 15:20:00,6.94,6.29
A,2,2016-07-19 15:40:00,7.79,7.25
A,2,2016-07-19 16:00:00,6.9,4.62
A,2,2016-07-19 16:20:00,9.2,8.33
A,2,2016-07-19 16:40:00,6.78,5.36
A,2,2016-07-19 17:00:00,4.55,3.75
A,2,2016-07-19 17:20:00,5.05,3.68
A,2,2016-07-19 17:40:00,6.88,5.28
A,2,2016-07-19 18:00:00,5.46,4.03
A,2,2016-07-19 18:20:00,8.56,8.77
A,2,2016-07-19 18:40:00,6.9,6.24
A,2,2016-07-19 19:00:00,7.04,6.11
A,2,2016-07-19 19:20:00,5.08,2.93
A,2,2016-07-19 19:40:00,6.08,5.52
A,2,2016-07-19 20:00:00,4.89,3.87
A,2,2016-07-19 20:20:00,9.45,8.64
A,2,2016-07-19 20:40:00,7.93,7.28
A,2,2016-07-19 21:00:00,6.87,5.1
A,2,2016-07-19 21:20:00,10.08,9.86
A,2,2016-07-19 21:40:00,7.88,6.13
A,2,2016-07-19 22:00:00,10.12,9.69
A,2,2016-07-19 22:20:00,4.29,3.04
A,2,2016-07-19 22:40:00,11.51,9.84
A,2,2016-07-19 23:00:00,7.04,5.14
A,2,2016-07-19 23:20:00,6.44,6.14
A,2,2016-07-19 23:40:00,7.22,6.19
A,2,2016-07-20 00:20:00,10.13,9.13
A,2,2016-07-20 00:40:00,4.59,2.32
A,2,2016-07-20 01:00:00,6.66,5.3
A,2,2016-07-20 01:20:00,7.01,5.85
A,2,2016-07-20 01:40:00,9.49,7.85
A,2,2016-07-20 02:00:00,7.82,4.23
A,2,2016-07-20 02:20:00,20.56,20.36
A,2,2016-07-20 02:40:00,11.33,9.13
A,2,2016-07-20 03:00:00,6.33,3.34
A,2,2016-07-20 03:20:00,20.66,20.64
A,2,2016-07-20 03:40:00,3.81,3.81
A,2,2016-07-20 04:00:00,7.7,6.52
A,2,2016-07-20 04:20:00,5.97,4.49
A,2,2016-07-20 04:40:00,7.77,18.38
A,2,2016-07-20 05:00:00,8.62,7.15
A,2,2016-07-20 05:20:00,7.22,6.42
A,2,2016-07-20 05:40:00,8.67,7.59
A,2,2016-07-20 06:00:00,10.97,11.54
A,2,2016-07-20 06:20:00,7.18,5.72
A,2,2016-07-20 06:40:00,5.03,6.38
A,2,2016-07-20 07:00:00,5.45,3.95
A,2,2016-07-20 07:20:00,6.35,5.93
A,2,2016-07-20 07:40:00,5.91,4.88
A,2,2016-07-20 08:00:00,7.86,7.22
A,2,2016-07-20 08:20:00,8.47,9.23
A,2,2016-07-20 08:40:00,7.53,7.56
A,2,2016-07-20 09:00:00,9.26,9.26
A,2,2016-07-20 09:40:00,16.56,22.05
A,2,2016-07-20 10:00:00,1.24,1.19
