"intersection_id","tollgate_id","time_window(%H:%M:%S)","weekday","weather:aveTravelTime"
"A","2","[08:00:00 08:20:00)","2","239.0000 1.9000 31.8000 64.0000 0.0000 81.6;254.0000 2.2000 38.4000 43.0000 0.0000 91.96;216.0000 2.8000 37.3000 44.0000 0.0000 93.36;59.0000 2.0000 31.7000 70.0000 0.0000 128.41;71.0000 3.0000 35.8000 47.0000 0.0000 61.13;289.0000 1.7000 32.9000 66.0000 0.0000 73.3;341.0000 3.9000 30.9000 34.0000 0.0000 115.74;9.0000 4.2000 25.0000 70.0000 0.0000 46.91;66.0000 2.4000 25.8000 68.0000 0.0000 74.19;7.0000 4.6000 26.9000 43.0000 0.0000 58.94;96.0000 3.6000 31.1000 63.0000 0.0000 85.51;329.0000 1.3000 24.5000 71.0000 0.0000 45.58;64.0000 3.0000 23.8000 50.0000 0.0000 68.09"
"A","2","[08:00:00 08:20:00)","3","199.0000 4.7000 37.1000 41.0000 0.0000 61.01;189.0000 1.7000 38.6000 42.0000 0.0000 82.92;334.0000 2.7000 33.0000 62.0000 0.0000 194.43;100.0000 2.9000 36.0000 51.0000 0.0000 95.47;160.0000 2.3000 34.6000 51.0000 0.0000 58.66;219.0000 4.3000 32.4000 31.0000 0.0000 85.46;335.0000 2.1000 23.0000 83.0000 0.0000 73.95;343.0000 3.3000 21.5000 97.0000 0.8000 63.35;328.0000 3.0000 26.2000 56.0000 0.0000 55.45;92.0000 7.5000 26.2000 94.0000 5.5000 72.32;126.0000 1.5000 26.5000 64.0000 0.0000 79.84;100.0000 3.1000 22.1000 59.0000 0.0000 86.16"
"A","2","[08:00:00 08:20:00)","4","205.0000 4.7000 37.2000 44.0000 0.0000 116.07;202.0000 3.3000 38.6000 43.0000 0.0000 82.51;302.0000 2.3000 34.8000 53.0000 0.0000 100.32;27.0000 3.6000 34.2000 58.0000 0.0000 59.86;212.0000 3.1000 36.7000 46.0000 0.0000 61.15;62.0000 4.5000 35.2000 45.0000 0.0000 66.15;220.0000 4.8000 30.4000 46.0000 0.0000 65.81;138.0000 2.0000 28.7000 56.0000 0.0000 52.45;67.0000 5.2000 24.5000 95.0000 2.8000 97.49;117.0000 2.3000 28.7000 54.0000 0.0000 68.53;355.0000 6.9000 21.0000 95.0000 0.1000 73.07;59.0000 1.5000 23.9000 82.0000 0.8000 48.55;48.0000 2.3000 21.6000 63.0000 0.0000 82.59"
"A","2","[08:00:00 08:20:00)","5","220.0000 3.6000 37.6000 45.0000 0.0000 75.53;27.0000 2.4000 38.3000 43.0000 0.0000 72.5;88.0000 1.6000 33.7000 57.0000 0.0000 98.71;50.0000 2.1000 34.2000 60.0000 0.0000 71.27;156.0000 2.1000 37.9000 43.0000 0.0000 65.33;9.0000 4.3000 34.4000 51.0000 0.0000 56.51;124.0000 2.1000 34.2000 38.0000 0.0000 76.28;86.0000 2.1000 31.2000 50.0000 0.0000 65.45;211.0000 2.0000 27.2000 81.0000 0.0000 55.88;90.0000 2.5000 29.5000 53.0000 0.0000 69.99;164.0000 1.0000 24.7000 80.0000 0.0000 70.9;299.0000 2.5000 20.0000 96.0000 0.0000 53.7;359.0000 1.9000 18.5000 84.0000 0.0000 73.99"
"A","2","[08:00:00 08:20:00)","6","206.0000 1.8000 38.3000 42.0000 0.0000 60.65;50.0000 4.0000 37.0000 47.0000 0.0000 125.36;999017.0000 0.0000 28.1000 88.0000 2.0000 56.51;137.0000 1.4000 35.1000 58.0000 0.0000 71.19;356.0000 2.6000 39.0000 43.0000 0.0000 61.3;310.0000 4.1000 29.3000 50.0000 0.0000 88.98;104.0000 3.4000 33.8000 26.0000 0.0000 72.88;105.0000 1.9000 28.1000 54.0000 0.0000 67.52;348.0000 5.0000 27.6000 64.0000 0.0000 64.92;54.0000 3.8000 29.6000 55.0000 0.0000 66.84;222.0000 1.4000 27.3000 75.0000 0.0000 53.31;17.0000 3.6000 22.1000 72.0000 0.0000 77.62;334.0000 1.5000 20.3000 96.0000 0.1000 109.27"
"A","2","[08:00:00 08:20:00)","7","285.0000 1.7000 38.8000 40.0000 0.0000 63.52;39.0000 3.4000 35.8000 49.0000 0.0000 65.37;92.0000 3.9000 34.9000 53.0000 0.0000 57.58;52.0000 3.4000 35.2000 51.0000 0.0000 85.97;320.0000 2.0000 34.5000 61.0000 0.0000 42.92;4.0000 5.9000 31.0000 29.0000 0.0000 99.49;86.0000 2.9000 31.4000 52.0000 0.0000 74.38;174.0000 2.8000 22.2000 73.0000 0.0000 79.07;7.0000 4.4000 27.9000 57.0000 0.0000 64.33;85.0000 2.9000 29.9000 58.0000 0.0000 52.72;208.0000 2.3000 32.8000 52.0000 0.0000 44.11;54.0000 3.5000 21.7000 49.0000 0.0000 81.71;301.0000 1.8000 26.8000 67.0000 0.0000 65.1"
"A","2","[08:00:00 08:20:00)","1","198.0000 2.0000 38.8000 43.0000 0.0000 197.96;65.0000 2.5000 34.4000 56.0000 0.0000 74.75;86.0000 4.1000 34.7000 50.0000 0.0000 159.07;94.0000 1.5000 36.0000 52.0000 0.0000 104.14;97.0000 4.8000 34.2000 60.0000 0.0000 51.08;333.0000 2.0000 30.1000 35.0000 0.0000 121.42;98.0000 3.2000 30.4000 57.0000 0.0000 54.19;325.0000 1.0000 28.0000 56.0000 0.0000 113.81;12.0000 6.2000 26.8000 56.0000 0.0000 102.49;37.0000 4.1000 30.3000 56.0000 0.0000 99.71;35.0000 2.6000 25.4000 72.0000 0.0000 45.33;81.0000 1.2000 21.3000 79.0000 0.0000 133.58"
"A","2","[08:20:00 08:40:00)","2","239.0000 1.9000 31.8000 64.0000 0.0000 80.21;254.0000 2.2000 38.4000 43.0000 0.0000 79.57;216.0000 2.8000 37.3000 44.0000 0.0000 85.72;59.0000 2.0000 31.7000 70.0000 0.0000 71.42;71.0000 3.0000 35.8000 47.0000 0.0000 75.16;289.0000 1.7000 32.9000 66.0000 0.0000 80.0;341.0000 3.9000 30.9000 34.0000 0.0000 76.74;9.0000 4.2000 25.0000 70.0000 0.0000 60.75;66.0000 2.4000 25.8000 68.0000 0.0000 53.86;7.0000 4.6000 26.9000 43.0000 0.0000 70.15;96.0000 3.6000 31.1000 63.0000 0.0000 102.5;329.0000 1.3000 24.5000 71.0000 0.0000 53.03;64.0000 3.0000 23.8000 50.0000 0.0000 75.02"
"A","2","[08:20:00 08:40:00)","3","199.0000 4.7000 37.1000 41.0000 0.0000 332.16;189.0000 1.7000 38.6000 42.0000 0.0000 123.38;334.0000 2.7000 33.0000 62.0000 0.0000 130.39;58.0000 3.2000 33.9000 62.0000 0.0000 124.74;100.0000 2.9000 36.0000 51.0000 0.0000 77.38;160.0000 2.3000 34.6000 51.0000 0.0000 66.43;219.0000 4.3000 32.4000 31.0000 0.0000 122.44;335.0000 2.1000 23.0000 83.0000 0.0000 61.9;343.0000 3.3000 21.5000 97.0000 0.8000 62.07;328.0000 3.0000 26.2000 56.0000 0.0000 66.75;92.0000 7.5000 26.2000 94.0000 5.5000 75.79;126.0000 1.5000 26.5000 64.0000 0.0000 54.5;100.0000 3.1000 22.1000 59.0000 0.0000 83.28"
"A","2","[08:20:00 08:40:00)","4","205.0000 4.7000 37.2000 44.0000 0.0000 125.1;202.0000 3.3000 38.6000 43.0000 0.0000 78.57;302.0000 2.3000 34.8000 53.0000 0.0000 92.03;27.0000 3.6000 34.2000 58.0000 0.0000 51.26;212.0000 3.1000 36.7000 46.0000 0.0000 67.35;62.0000 4.5000 35.2000 45.0000 0.0000 97.77;220.0000 4.8000 30.4000 46.0000 0.0000 109.01;138.0000 2.0000 28.7000 56.0000 0.0000 73.21;67.0000 5.2000 24.5000 95.0000 2.8000 176.87;117.0000 2.3000 28.7000 54.0000 0.0000 71.83;355.0000 6.9000 21.0000 95.0000 0.1000 141.82;59.0000 1.5000 23.9000 82.0000 0.8000 65.96;48.0000 2.3000 21.6000 63.0000 0.0000 85.2"
