intersection_id,tollgate_id,time_window,avg_travel_time,start_time,date,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,time,weekday,route,last_20min,last_40min,last_60min,last_80min,last_100min,last_120min,timemap,holiday
A,2,"[2016-07-19 05:20:00,2016-07-19 05:40:00)",54.84,2016-07-19 05:20:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,05:20:00,1,A-2,49.56,46.12,62.11,48.13,39.43,41.92,17,0
A,2,"[2016-07-19 05:40:00,2016-07-19 06:00:00)",58.08,2016-07-19 05:40:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,05:40:00,1,A-2,54.84,49.56,46.12,62.11,48.13,39.43,18,0
A,2,"[2016-07-19 06:00:00,2016-07-19 06:20:00)",46.36,2016-07-19 06:00:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,06:00:00,1,A-2,58.08,54.84,49.56,46.12,62.11,48.13,19,0
A,2,"[2016-07-19 06:20:00,2016-07-19 06:40:00)",48.59,2016-07-19 06:20:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,06:20:00,1,A-2,46.36,58.08,54.84,49.56,46.12,62.11,20,0
A,2,"[2016-07-19 06:40:00,2016-07-19 07:00:00)",66.64,2016-07-19 06:40:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,06:40:00,1,A-2,48.59,46.36,58.08,54.84,49.56,46.12,21,0
A,2,"[2016-07-19 07:00:00,2016-07-19 07:20:00)",64.68,2016-07-19 07:00:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,07:00:00,1,A-2,66.64,48.59,46.36,58.08,54.84,49.56,22,0
A,2,"[2016-07-19 07:20:00,2016-07-19 07:40:00)",85.68,2016-07-19 07:20:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,07:20:00,1,A-2,64.68,66.64,48.59,46.36,58.08,54.84,23,0
A,2,"[2016-07-19 07:40:00,2016-07-19 08:00:00)",58.97,2016-07-19 07:40:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,07:40:00,1,A-2,85.68,64.68,66.64,48.59,46.36,58.08,24,0
A,2,"[2016-07-19 08:00:00,2016-07-19 08:20:00)",81.6,2016-07-19 08:00:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,08:00:00,1,A-2,58.97,85.68,64.68,66.64,48.59,46.36,25,0
A,2,"[2016-07-19 08:20:00,2016-07-19 08:40:00)",80.21,2016-07-19 08:20:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,08:20:00,1,A-2,81.6,58.97,85.68,64.68,66.64,48.59,26,0
A,2,"[2016-07-19 08:40:00,2016-07-19 09:00:00)",63.45,2016-07-19 08:40:00,2016-07-19,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,08:40:00,1,A-2,80.21,81.6,58.97,85.68,64.68,66.64,27,0
A,2,"[2016-07-19 09:00:00,2016-07-19 09:20:00)",78.05,2016-07-19 09:00:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,09:00:00,1,A-2,63.45,80.21,81.6,58.97,85.68,64.68,28,0
A,2,"[2016-07-19 09:20:00,2016-07-19 09:40:00)",69.04,2016-07-19 09:20:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,09:20:00,1,A-2,78.05,63.45,80.21,81.6,58.97,85.68,29,0
A,2,"[2016-07-19 09:40:00,2016-07-19 10:00:00)",69.66,2016-07-19 09:40:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,09:40:00,1,A-2,69.04,78.05,63.45,80.21,81.6,58.97,30,0
A,2,"[2016-07-19 10:00:00,2016-07-19 10:20:00)",78.31,2016-07-19 10:00:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,10:00:00,1,A-2,69.66,69.04,78.05,63.45,80.21,81.6,31,0
A,2,"[2016-07-19 10:20:00,2016-07-19 10:40:00)",59.41,2016-07-19 10:20:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,10:20:00,1,A-2,78.31,69.66,69.04,78.05,63.45,80.21,32,0
A,2,"[2016-07-19 10:40:00,2016-07-19 11:00:00)",75.49,2016-07-19 10:40:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,10:40:00,1,A-2,59.41,78.31,69.66,69.04,78.05,63.45,33,0
A,2,"[2016-07-19 11:00:00,2016-07-19 11:20:00)",72.44,2016-07-19 11:00:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,11:00:00,1,A-2,75.49,59.41,78.31,69.66,69.04,78.05,34,0
A,2,"[2016-07-19 11:20:00,2016-07-19 11:40:00)",45.94,2016-07-19 11:20:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,11:20:00,1,A-2,72.44,75.49,59.41,78.31,69.66,69.04,35,0
A,2,"[2016-07-19 11:40:00,2016-07-19 12:00:00)",47.98,2016-07-19 11:40:00,2016-07-19,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,11:40:00,1,A-2,45.94,72.44,75.49,59.41,78.31,69.66,36,0
A,2,"[2016-07-19 12:00:00,2016-07-19 12:20:00)",60.17,2016-07-19 12:00:00,2016-07-19,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,12:00:00,1,A-2,47.98,45.94,72.44,75.49,59.41,78.31,37,0
