"intersection_id","tollgate_id","time_window","avg_travel_time"
"B","3","[2016-10-18 06:00:00,2016-10-18 06:20:00)","90.45"
"B","3","[2016-10-18 06:20:00,2016-10-18 06:40:00)","122.58"
"B","3","[2016-10-18 06:40:00,2016-10-18 07:00:00)","89.33"
"B","3","[2016-10-18 07:00:00,2016-10-18 07:20:00)","99.56"
"B","3","[2016-10-18 07:20:00,2016-10-18 07:40:00)","97.85"
"B","3","[2016-10-18 07:40:00,2016-10-18 08:00:00)","116.48"
"B","3","[2016-10-18 15:00:00,2016-10-18 15:20:00)","113.26"
"B","3","[2016-10-18 15:20:00,2016-10-18 15:40:00)","103.48"
"B","3","[2016-10-18 15:40:00,2016-10-18 16:00:00)","109.91"
"B","3","[2016-10-18 16:00:00,2016-10-18 16:20:00)","111.41"
"B","3","[2016-10-18 16:20:00,2016-10-18 16:40:00)","118.4"
"B","3","[2016-10-18 16:40:00,2016-10-18 17:00:00)","118.5"
"B","3","[2016-10-19 06:00:00,2016-10-19 06:20:00)","111.28"
"B","3","[2016-10-19 06:20:00,2016-10-19 06:40:00)","122.72"
"B","3","[2016-10-19 06:40:00,2016-10-19 07:00:00)","114.69"
"B","3","[2016-10-19 07:00:00,2016-10-19 07:20:00)","116.37"
"B","3","[2016-10-19 07:20:00,2016-10-19 07:40:00)","89.02"
"B","3","[2016-10-19 07:40:00,2016-10-19 08:00:00)","115.58"
"B","3","[2016-10-19 15:00:00,2016-10-19 15:20:00)","108.13"
"B","3","[2016-10-19 15:20:00,2016-10-19 15:40:00)","112.62"
"B","3","[2016-10-19 15:40:00,2016-10-19 16:00:00)","110.48"
"B","3","[2016-10-19 16:00:00,2016-10-19 16:20:00)","122.01"
"B","3","[2016-10-19 16:20:00,2016-10-19 16:40:00)","125.61"
"B","3","[2016-10-19 16:40:00,2016-10-19 17:00:00)","130.61"
"B","3","[2016-10-20 06:00:00,2016-10-20 06:20:00)","110.69"
"B","3","[2016-10-20 06:20:00,2016-10-20 06:40:00)","100.32"
"B","3","[2016-10-20 06:40:00,2016-10-20 07:00:00)","102.71"
"B","3","[2016-10-20 07:00:00,2016-10-20 07:20:00)","113.33"
"B","3","[2016-10-20 07:20:00,2016-10-20 07:40:00)","97.14"
"B","3","[2016-10-20 07:40:00,2016-10-20 08:00:00)","116.3"
"B","3","[2016-10-20 15:00:00,2016-10-20 15:20:00)","115.71"
"B","3","[2016-10-20 15:20:00,2016-10-20 15:40:00)","115.32"
"B","3","[2016-10-20 15:40:00,2016-10-20 16:00:00)","99.81"
"B","3","[2016-10-20 16:00:00,2016-10-20 16:20:00)","106.04"
"B","3","[2016-10-20 16:20:00,2016-10-20 16:40:00)","115.21"
"B","3","[2016-10-20 16:40:00,2016-10-20 17:00:00)","114.46"
"B","3","[2016-10-21 06:00:00,2016-10-21 06:20:00)","103.13"
"B","3","[2016-10-21 06:20:00,2016-10-21 06:40:00)","82.82"
"B","3","[2016-10-21 06:40:00,2016-10-21 07:00:00)","109.75"
