intersection_id,tollgate_id,time_window,avg_travel_time,start_time,date,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,time,weekday,route,last_20min,last_40min,last_60min,last_80min,last_100min,last_120min,timemap
A,2,"[2016-07-19 00:20:00,2016-07-19 00:40:00)",58.05,2016-07-19 00:20:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,00:20:00,1,A-2,57.730000000000004,50.62326086956522,54.33056603773585,59.333,63.925370370370366,64.58660714285716,2
A,2,"[2016-07-19 01:20:00,2016-07-19 01:40:00)",56.87,2016-07-19 01:20:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,01:20:00,1,A-2,62.237749999999984,57.0804347826087,51.444545454545455,56.643333333333324,59.73739130434784,58.36018518518517,5
A,2,"[2016-07-19 01:40:00,2016-07-19 02:00:00)",77.74,2016-07-19 01:40:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,01:40:00,1,A-2,56.87,60.40548387096776,54.26108108108108,53.138285714285715,55.957837837837836,59.60542857142856,6
A,2,"[2016-07-19 02:20:00,2016-07-19 02:40:00)",42.64,2016-07-19 02:20:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,02:20:00,1,A-2,56.60052631578949,77.74,56.87,54.828947368421055,58.365365853658545,53.73950000000001,8
A,2,"[2016-07-19 02:40:00,2016-07-19 03:00:00)",40.17,2016-07-19 02:40:00,2016-07-19,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,02:40:00,1,A-2,42.64,54.672564102564124,77.74,56.87,59.30114285714287,60.402439024390254,9
A,2,"[2016-07-19 03:20:00,2016-07-19 03:40:00)",41.92,2016-07-19 03:20:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,03:20:00,1,A-2,59.55916666666667,40.17,42.64,63.97714285714286,77.74,54.2641304347826,11
A,2,"[2016-07-19 03:40:00,2016-07-19 04:00:00)",39.43,2016-07-19 03:40:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,03:40:00,1,A-2,41.92,59.537647058823524,40.17,42.64,61.41829787234044,77.74,12
A,2,"[2016-07-19 04:00:00,2016-07-19 04:20:00)",48.13,2016-07-19 04:00:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,04:00:00,1,A-2,39.43,41.92,60.422553191489364,40.17,42.64,63.296808510638314,13
A,2,"[2016-07-19 04:20:00,2016-07-19 04:40:00)",62.11,2016-07-19 04:20:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,04:20:00,1,A-2,48.13,39.43,41.92,59.01078431372549,40.17,42.64,14
A,2,"[2016-07-19 04:40:00,2016-07-19 05:00:00)",46.12,2016-07-19 04:40:00,2016-07-19,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,04:40:00,1,A-2,62.11,48.13,39.43,41.92,57.95836363636362,40.17,15
