"tollgate_id","time_window","direction"
"1","[2016-09-19 00:00:00,2016-09-19 00:20:00)","0"
"1","[2016-09-19 00:00:00,2016-09-19 00:20:00)","1"
"2","[2016-09-19 00:00:00,2016-09-19 00:20:00)","0"
"3","[2016-09-19 00:00:00,2016-09-19 00:20:00)","0"
"3","[2016-09-19 00:00:00,2016-09-19 00:20:00)","1"
"1","[2016-09-19 00:20:00,2016-09-19 00:40:00)","0"
"1","[2016-09-19 00:20:00,2016-09-19 00:40:00)","1"
"2","[2016-09-19 00:20:00,2016-09-19 00:40:00)","0"
"3","[2016-09-19 00:20:00,2016-09-19 00:40:00)","0"
"3","[2016-09-19 00:20:00,2016-09-19 00:40:00)","1"
"1","[2016-09-19 00:40:00,2016-09-19 01:00:00)","0"
"1","[2016-09-19 00:40:00,2016-09-19 01:00:00)","1"
"2","[2016-09-19 00:40:00,2016-09-19 01:00:00)","0"
"3","[2016-09-19 00:40:00,2016-09-19 01:00:00)","0"
"3","[2016-09-19 00:40:00,2016-09-19 01:00:00)","1"
"1","[2016-09-19 01:00:00,2016-09-19 01:20:00)","0"
"1","[2016-09-19 01:00:00,2016-09-19 01:20:00)","1"
"2","[2016-09-19 01:00:00,2016-09-19 01:20:00)","0"
"3","[2016-09-19 01:00:00,2016-09-19 01:20:00)","0"
"3","[2016-09-19 01:00:00,2016-09-19 01:20:00)","1"
"1","[2016-09-19 01:20:00,2016-09-19 01:40:00)","0"
"1","[2016-09-19 01:20:00,2016-09-19 01:40:00)","1"
"2","[2016-09-19 01:20:00,2016-09-19 01:40:00)","0"
"3","[2016-09-19 01:20:00,2016-09-19 01:40:00)","0"
"3","[2016-09-19 01:20:00,2016-09-19 01:40:00)","1"
"1","[2016-09-19 01:40:00,2016-09-19 02:00:00)","0"
"1","[2016-09-19 01:40:00,2016-09-19 02:00:00)","1"
"2","[2016-09-19 01:40:00,2016-09-19 02:00:00)","0"
"3","[2016-09-19 01:40:00,2016-09-19 02:00:00)","0"
"3","[2016-09-19 01:40:00,2016-09-19 02:00:00)","1"
"1","[2016-09-19 02:00:00,2016-09-19 02:20:00)","0"
"1","[2016-09-19 02:00:00,2016-09-19 02:20:00)","1"
"2","[2016-09-19 02:00:00,2016-09-19 02:20:00)","0"
"3","[2016-09-19 02:00:00,2016-09-19 02:20:00)","0"
"3","[2016-09-19 02:00:00,2016-09-19 02:20:00)","1"
"1","[2016-09-19 02:20:00,2016-09-19 02:40:00)","0"
"1","[2016-09-19 02:20:00,2016-09-19 02:40:00)","1"
"2","[2016-09-19 02:20:00,2016-09-19 02:40:00)","0"
"3","[2016-09-19 02:20:00,2016-09-19 02:40:00)","0"
"3","[2016-09-19 02:20:00,2016-09-19 02:40:00)","1"
"1","[2016-09-19 02:40:00,2016-09-19 03:00:00)","0"
"1","[2016-09-19 02:40:00,2016-09-19 03:00:00)","1"
"2","[2016-09-19 02:40:00,2016-09-19 03:00:00)","0"
"3","[2016-09-19 02:40:00,2016-09-19 03:00:00)","0"
"3","[2016-09-19 02:40:00,2016-09-19 03:00:00)","1"
"1","[2016-09-19 03:00:00,2016-09-19 03:20:00)","0"
"1","[2016-09-19 03:00:00,2016-09-19 03:20:00)","1"
"2","[2016-09-19 03:00:00,2016-09-19 03:20:00)","0"
"3","[2016-09-19 03:00:00,2016-09-19 03:20:00)","0"
"3","[2016-09-19 03:00:00,2016-09-19 03:20:00)","1"
"1","[2016-09-19 03:20:00,2016-09-19 03:40:00)","0"
"1","[2016-09-19 03:20:00,2016-09-19 03:40:00)","1"
"2","[2016-09-19 03:20:00,2016-09-19 03:40:00)","0"
"3","[2016-09-19 03:20:00,2016-09-19 03:40:00)","0"
"3","[2016-09-19 03:20:00,2016-09-19 03:40:00)","1"
"1","[2016-09-19 03:40:00,2016-09-19 04:00:00)","0"
"1","[2016-09-19 03:40:00,2016-09-19 04:00:00)","1"
"2","[2016-09-19 03:40:00,2016-09-19 04:00:00)","0"
"3","[2016-09-19 03:40:00,2016-09-19 04:00:00)","0"
"3","[2016-09-19 03:40:00,2016-09-19 04:00:00)","1"
"1","[2016-09-19 04:00:00,2016-09-19 04:20:00)","0"
"1","[2016-09-19 04:00:00,2016-09-19 04:20:00)","1"
"2","[2016-09-19 04:00:00,2016-09-19 04:20:00)","0"
"3","[2016-09-19 04:00:00,2016-09-19 04:20:00)","0"
"3","[2016-09-19 04:00:00,2016-09-19 04:20:00)","1"
"1","[2016-09-19 04:20:00,2016-09-19 04:40:00)","0"
"1","[2016-09-19 04:20:00,2016-09-19 04:40:00)","1"
"2","[2016-09-19 04:20:00,2016-09-19 04:40:00)","0"
"3","[2016-09-19 04:20:00,2016-09-19 04:40:00)","0"
"3","[2016-09-19 04:20:00,2016-09-19 04:40:00)","1"
"1","[2016-09-19 04:40:00,2016-09-19 05:00:00)","0"
"1","[2016-09-19 04:40:00,2016-09-19 05:00:00)","1"
"2","[2016-09-19 04:40:00,2016-09-19 05:00:00)","0"
"3","[2016-09-19 04:40:00,2016-09-19 05:00:00)","0"
"3","[2016-09-19 04:40:00,2016-09-19 05:00:00)","1"
"1","[2016-09-19 05:00:00,2016-09-19 05:20:00)","0"
"1","[2016-09-19 05:00:00,2016-09-19 05:20:00)","1"
"2","[2016-09-19 05:00:00,2016-09-19 05:20:00)","0"
"3","[2016-09-19 05:00:00,2016-09-19 05:20:00)","0"
"3","[2016-09-19 05:00:00,2016-09-19 05:20:00)","1"
"1","[2016-09-19 05:20:00,2016-09-19 05:40:00)","0"
"1","[2016-09-19 05:20:00,2016-09-19 05:40:00)","1"
"2","[2016-09-19 05:20:00,2016-09-19 05:40:00)","0"
"3","[2016-09-19 05:20:00,2016-09-19 05:40:00)","0"
"3","[2016-09-19 05:20:00,2016-09-19 05:40:00)","1"
"1","[2016-09-19 05:40:00,2016-09-19 06:00:00)","0"
"1","[2016-09-19 05:40:00,2016-09-19 06:00:00)","1"
"2","[2016-09-19 05:40:00,2016-09-19 06:00:00)","0"
"3","[2016-09-19 05:40:00,2016-09-19 06:00:00)","0"
