tollgate_id,time_window,direction,volume,etc,start_time,pair,date,hour,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,weekday,time,timemap,holiday
1,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,13.0,4.0,2016-09-19 00:00:00,1-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:00:00,1,0
1,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0,6.0,1.0,2016-09-19 00:20:00,1-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:20:00,2,0
1,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0,9.0,1.0,2016-09-19 00:40:00,1-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,00:40:00,3,0
1,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,10.0,1.0,2016-09-19 01:00:00,1-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,01:00:00,4,0
1,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0,14.0,3.0,2016-09-19 01:20:00,1-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,01:20:00,5,0
1,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,10.0,0.0,2016-09-19 01:40:00,1-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,01:40:00,6,0
1,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0,7.0,1.0,2016-09-19 02:00:00,1-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,02:00:00,7,0
1,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",0,10.0,1.0,2016-09-19 02:20:00,1-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,02:20:00,8,0
1,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",0,6.0,0.0,2016-09-19 02:40:00,1-0,2016-09-19, 00:00:00,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0,02:40:00,9,0
1,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",0,9.0,0.0,2016-09-19 03:00:00,1-0,2016-09-19, 03:00:00,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,0,03:00:00,10,0
1,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",0,4.0,1.0,2016-09-19 03:20:00,1-0,2016-09-19, 03:00:00,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,0,03:20:00,11,0
1,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",0,9.0,2.0,2016-09-19 03:40:00,1-0,2016-09-19, 03:00:00,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,0,03:40:00,12,0
1,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",0,10.0,0.0,2016-09-19 04:00:00,1-0,2016-09-19, 03:00:00,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,0,04:00:00,13,0
1,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",0,13.0,0.0,2016-09-19 04:20:00,1-0,2016-09-19, 03:00:00,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,0,04:20:00,14,0
1,"[2016-09-19 04:40:00,2016-09-19 05:00:00)",0,12.0,0.0,2016-09-19 04:40:00,1-0,2016-09-19, 03:00:00,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,0,04:40:00,15,0
1,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,2.0,0.0,2016-09-19 05:00:00,1-0,2016-09-19, 03:00:00,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,0,05:00:00,16,0
1,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",0,8.0,2.0,2016-09-19 05:20:00,1-0,2016-09-19, 03:00:00,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,0,05:20:00,17,0
1,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",0,13.0,2.0,2016-09-19 05:40:00,1-0,2016-09-19, 03:00:00,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,0,05:40:00,18,0
1,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",0,8.0,2.0,2016-09-19 06:00:00,1-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,06:00:00,19,0
1,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",0,13.0,5.0,2016-09-19 06:20:00,1-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,06:20:00,20,0
1,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",0,32.0,9.0,2016-09-19 06:40:00,1-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,06:40:00,21,0
1,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",0,39.0,10.0,2016-09-19 07:00:00,1-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,07:00:00,22,0
1,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",0,31.0,11.0,2016-09-19 07:20:00,1-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,07:20:00,23,0
1,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",0,43.0,16.0,2016-09-19 07:40:00,1-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,07:40:00,24,0
1,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",0,46.0,17.0,2016-09-19 08:00:00,1-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,08:00:00,25,0
1,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",0,56.0,17.0,2016-09-19 08:20:00,1-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,08:20:00,26,0
1,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",0,41.0,9.0,2016-09-19 08:40:00,1-0,2016-09-19, 06:00:00,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,0,08:40:00,27,0
1,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",0,50.0,18.0,2016-09-19 09:00:00,1-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,09:00:00,28,0
1,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",0,49.0,10.0,2016-09-19 09:20:00,1-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,09:20:00,29,0
1,"[2016-09-19 09:40:00,2016-09-19 10:00:00)",0,44.0,3.0,2016-09-19 09:40:00,1-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,09:40:00,30,0
1,"[2016-09-19 10:00:00,2016-09-19 10:20:00)",0,44.0,7.0,2016-09-19 10:00:00,1-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,10:00:00,31,0
1,"[2016-09-19 10:20:00,2016-09-19 10:40:00)",0,44.0,6.0,2016-09-19 10:20:00,1-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,10:20:00,32,0
1,"[2016-09-19 10:40:00,2016-09-19 11:00:00)",0,44.0,10.0,2016-09-19 10:40:00,1-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,10:40:00,33,0
1,"[2016-09-19 11:00:00,2016-09-19 11:20:00)",0,39.0,9.0,2016-09-19 11:00:00,1-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,11:00:00,34,0
1,"[2016-09-19 11:20:00,2016-09-19 11:40:00)",0,30.0,7.0,2016-09-19 11:20:00,1-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,11:20:00,35,0
1,"[2016-09-19 11:40:00,2016-09-19 12:00:00)",0,34.0,10.0,2016-09-19 11:40:00,1-0,2016-09-19, 09:00:00,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,0,11:40:00,36,0
1,"[2016-09-19 12:00:00,2016-09-19 12:20:00)",0,45.0,8.0,2016-09-19 12:00:00,1-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,12:00:00,37,0
1,"[2016-09-19 12:20:00,2016-09-19 12:40:00)",0,44.0,14.0,2016-09-19 12:20:00,1-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,12:20:00,38,0
1,"[2016-09-19 12:40:00,2016-09-19 13:00:00)",0,53.0,18.0,2016-09-19 12:40:00,1-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,12:40:00,39,0
1,"[2016-09-19 13:00:00,2016-09-19 13:20:00)",0,57.0,17.0,2016-09-19 13:00:00,1-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,13:00:00,40,0
1,"[2016-09-19 13:20:00,2016-09-19 13:40:00)",0,61.0,17.0,2016-09-19 13:20:00,1-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,13:20:00,41,0
1,"[2016-09-19 13:40:00,2016-09-19 14:00:00)",0,53.0,17.0,2016-09-19 13:40:00,1-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,13:40:00,42,0
1,"[2016-09-19 14:00:00,2016-09-19 14:20:00)",0,55.0,15.0,2016-09-19 14:00:00,1-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,14:00:00,43,0
1,"[2016-09-19 14:20:00,2016-09-19 14:40:00)",0,52.0,10.0,2016-09-19 14:20:00,1-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,14:20:00,44,0
1,"[2016-09-19 14:40:00,2016-09-19 15:00:00)",0,52.0,14.0,2016-09-19 14:40:00,1-0,2016-09-19, 12:00:00,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,0,14:40:00,45,0
1,"[2016-09-19 15:00:00,2016-09-19 15:20:00)",0,48.0,15.0,2016-09-19 15:00:00,1-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,15:00:00,46,0
1,"[2016-09-19 15:20:00,2016-09-19 15:40:00)",0,57.0,8.0,2016-09-19 15:20:00,1-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,15:20:00,47,0
1,"[2016-09-19 15:40:00,2016-09-19 16:00:00)",0,43.0,10.0,2016-09-19 15:40:00,1-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,15:40:00,48,0
1,"[2016-09-19 16:00:00,2016-09-19 16:20:00)",0,42.0,11.0,2016-09-19 16:00:00,1-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,16:00:00,49,0
1,"[2016-09-19 16:20:00,2016-09-19 16:40:00)",0,46.0,11.0,2016-09-19 16:20:00,1-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,16:20:00,50,0
1,"[2016-09-19 16:40:00,2016-09-19 17:00:00)",0,55.0,19.0,2016-09-19 16:40:00,1-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,16:40:00,51,0
1,"[2016-09-19 17:00:00,2016-09-19 17:20:00)",0,36.0,7.0,2016-09-19 17:00:00,1-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,17:00:00,52,0
1,"[2016-09-19 17:20:00,2016-09-19 17:40:00)",0,34.0,8.0,2016-09-19 17:20:00,1-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,17:20:00,53,0
1,"[2016-09-19 17:40:00,2016-09-19 18:00:00)",0,24.0,8.0,2016-09-19 17:40:00,1-0,2016-09-19, 15:00:00,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,0,17:40:00,54,0
1,"[2016-09-19 18:00:00,2016-09-19 18:20:00)",0,29.0,11.0,2016-09-19 18:00:00,1-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,18:00:00,55,0
1,"[2016-09-19 18:20:00,2016-09-19 18:40:00)",0,27.0,5.0,2016-09-19 18:20:00,1-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,18:20:00,56,0
1,"[2016-09-19 18:40:00,2016-09-19 19:00:00)",0,18.0,1.0,2016-09-19 18:40:00,1-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,18:40:00,57,0
1,"[2016-09-19 19:00:00,2016-09-19 19:20:00)",0,13.0,4.0,2016-09-19 19:00:00,1-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,19:00:00,58,0
1,"[2016-09-19 19:20:00,2016-09-19 19:40:00)",0,22.0,5.0,2016-09-19 19:20:00,1-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,19:20:00,59,0
1,"[2016-09-19 19:40:00,2016-09-19 20:00:00)",0,27.0,6.0,2016-09-19 19:40:00,1-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,19:40:00,60,0
1,"[2016-09-19 20:00:00,2016-09-19 20:20:00)",0,17.0,6.0,2016-09-19 20:00:00,1-0,2016-09-19, 18:00:00,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0,0,20:00:00,61,0
