"intersection_id","tollgate_id","time_window","avg_travel_time","mid_time"
"B","3","[2016-07-19 00:00:00,2016-07-19 00:20:00)","70.85","70.85"
"B","3","[2016-07-19 00:20:00,2016-07-19 00:40:00)","148.79","148.79000000000002"
"B","3","[2016-07-19 01:40:00,2016-07-19 02:00:00)","93.72","93.72"
"B","3","[2016-07-19 02:00:00,2016-07-19 02:20:00)","67.81","67.81"
"B","3","[2016-07-19 02:40:00,2016-07-19 03:00:00)","167.55","167.54500000000002"
"B","3","[2016-07-19 03:40:00,2016-07-19 04:00:00)","98.49","95.145"
"B","3","[2016-07-19 04:00:00,2016-07-19 04:20:00)","96.67","96.66999999999999"
"B","3","[2016-07-19 04:20:00,2016-07-19 04:40:00)","53.15","53.15"
"B","3","[2016-07-19 04:40:00,2016-07-19 05:00:00)","55.25","55.245000000000005"
"B","3","[2016-07-19 05:00:00,2016-07-19 05:20:00)","209.66","209.66"
"B","3","[2016-07-19 06:00:00,2016-07-19 06:20:00)","145.94","145.94"
"B","3","[2016-07-19 06:20:00,2016-07-19 06:40:00)","127.35","127.35"
"B","3","[2016-07-19 06:40:00,2016-07-19 07:00:00)","97.2","97.2"
"B","3","[2016-07-19 07:00:00,2016-07-19 07:20:00)","118.43","141.09"
"B","3","[2016-07-19 07:20:00,2016-07-19 07:40:00)","82.63","82.63"
"B","3","[2016-07-19 07:40:00,2016-07-19 08:00:00)","110.5","110.5"
"B","3","[2016-07-19 08:00:00,2016-07-19 08:20:00)","125.76","129.59"
"B","3","[2016-07-19 08:20:00,2016-07-19 08:40:00)","141.33","153.94"
"B","3","[2016-07-19 08:40:00,2016-07-19 09:00:00)","176.08","113.66"
"B","3","[2016-07-19 09:00:00,2016-07-19 09:20:00)","165.29","183.73"
"B","3","[2016-07-19 09:20:00,2016-07-19 09:40:00)","78.13","94.0"
"B","3","[2016-07-19 09:40:00,2016-07-19 10:00:00)","117.83","134.445"
"B","3","[2016-07-19 10:00:00,2016-07-19 10:20:00)","98.92","94.93"
"B","3","[2016-07-19 10:20:00,2016-07-19 10:40:00)","113.0","111.33"
"B","3","[2016-07-19 10:40:00,2016-07-19 11:00:00)","98.15","98.15"
"B","3","[2016-07-19 11:00:00,2016-07-19 11:20:00)","95.98","124.73"
