"time_window","link_100","link_101","link_102","link_103","link_104","link_105","link_106","link_107","link_108","link_109","link_110","link_111","link_112","link_113","link_114","link_115","link_116","link_117","link_118","link_119","link_120","link_121","link_122","link_123"
"[2016-07-19 00:00:00,2016-07-19 00:20:00)","6.75","0","0","7.47","0","9.56","0","0","0","0","0","13.0","0","0","0","0","0","0","0","0","0","0","32.85","0"
"[2016-07-19 00:20:00,2016-07-19 00:40:00)","5.15","5.27","0","3.54","0","8.42","3.42","6.63","4.95","0","13.74","11.09","0","19.76","0","0","10.07","27.05","0","0","0.74","25.51","104.79","4.7"
"[2016-07-19 00:40:00,2016-07-19 01:00:00)","12.34","17.87","13.42","3.59","18.12","16.08","0.62","0","0","8.35","0","19.34","18.58","5.98","0","10.97","38.3","0","0","0","0","15.0","26.54","0"
"[2016-07-19 01:20:00,2016-07-19 01:40:00)","9.35","10.84","11.62","14.6","26.0","16.85","2.17","4.82","7.29","11.98","9.07","15.13","17.66","56.79","16.29","9.5","26.72","24.87","23.12","0.87","0.9","15.53","33.57","6.73"
"[2016-07-19 01:40:00,2016-07-19 02:00:00)","7.68","5.61","9.9","3.49","23.16","22.9","1.5","3.47","4.07","7.21","11.96","17.48","31.16","34.14","0","7.12","14.46","41.41","0","0","0.62","10.66","35.22","16.24"
"[2016-07-19 02:00:00,2016-07-19 02:20:00)","4.54","0","0","26.15","0","5.17","0","0","0","0","0","12.39","0","0","0","0","0","0","0","0","0","0","18.81","0"
"[2016-07-19 02:20:00,2016-07-19 02:40:00)","0","0","0","0","0","0","0","2.56","3.22","0","8.57","0","0","0","14.7","0","0","20.64","17.73","0.68","0.55","0","27.11","4.56"
"[2016-07-19 02:40:00,2016-07-19 03:00:00)","9.83","0","0","2.5","0","14.58","0","3.31","3.89","0","7.87","116.86","0","0","0","0","0","19.51","0","0","0.58","0","22.05","4.82"
"[2016-07-19 03:00:00,2016-07-19 03:20:00)","0","0","0","0","0","0","0","2.33","2.75","0","7.48","0","0","0","16.77","0","0","0","20.1","0.62","0","0","39.09","4.05"
"[2016-07-19 03:20:00,2016-07-19 03:40:00)","0","0","0","0","0","0","0","3.85","5.05","0","11.41","0","0","0","0","0","0","15.92","0","0","0.73","0","0","4.67"
"[2016-07-19 03:40:00,2016-07-19 04:00:00)","6.6","0","0","2.93","0","14.05","0","3.51","4.83","0","8.49","26.19","0","0","0","0","0","17.76","0","0","0.67","0","36.49","4.38"
