"tollgate_id","time_window","direction","volume","etc","model_1","model_2","model_3","model_4","model_5","model_6","model_7","type_0","type_1"
"2","[2016-09-19 00:00:00,2016-09-19 00:20:00)","0","2","0","1","1","0","0","0","0","0","0","0"
"2","[2016-09-19 01:00:00,2016-09-19 01:20:00)","0","1","1","1","0","0","0","0","0","0","0","0"
"2","[2016-09-19 01:40:00,2016-09-19 02:00:00)","0","2","2","2","0","0","0","0","0","0","0","0"
"2","[2016-09-19 05:00:00,2016-09-19 05:20:00)","0","14","1","9","5","0","0","0","0","0","0","0"
"2","[2016-09-19 05:20:00,2016-09-19 05:40:00)","0","12","0","8","4","0","0","0","0","0","0","0"
"2","[2016-09-19 05:40:00,2016-09-19 06:00:00)","0","21","5","14","7","0","0","0","0","0","0","0"
"2","[2016-09-19 06:00:00,2016-09-19 06:20:00)","0","30","5","22","8","0","0","0","0","0","0","0"
"2","[2016-09-19 06:20:00,2016-09-19 06:40:00)","0","36","4","26","10","0","0","0","0","0","0","0"
"2","[2016-09-19 06:40:00,2016-09-19 07:00:00)","0","37","10","28","9","0","0","0","0","0","0","0"
"2","[2016-09-19 07:00:00,2016-09-19 07:20:00)","0","84","34","80","3","0","1","0","0","0","0","0"
"2","[2016-09-19 07:20:00,2016-09-19 07:40:00)","0","80","36","73","7","0","0","0","0","0","0","0"
"2","[2016-09-19 07:40:00,2016-09-19 08:00:00)","0","97","36","93","4","0","0","0","0","0","0","0"
"2","[2016-09-19 08:00:00,2016-09-19 08:20:00)","0","129","43","124","5","0","0","0","0","0","0","0"
"2","[2016-09-19 08:20:00,2016-09-19 08:40:00)","0","122","41","111","8","1","2","0","0","0","0","0"
"2","[2016-09-19 08:40:00,2016-09-19 09:00:00)","0","98","30","91","7","0","0","0","0","0","0","0"
"2","[2016-09-19 09:00:00,2016-09-19 09:20:00)","0","89","15","83","5","1","0","0","0","0","0","0"
"2","[2016-09-19 09:20:00,2016-09-19 09:40:00)","0","78","18","74","4","0","0","0","0","0","0","0"
"2","[2016-09-19 09:40:00,2016-09-19 10:00:00)","0","59","12","57","2","0","0","0","0","0","0","0"
"2","[2016-09-19 10:00:00,2016-09-19 10:20:00)","0","71","18","69","2","0","0","0","0","0","0","0"
"2","[2016-09-19 10:20:00,2016-09-19 10:40:00)","0","88","11","63","25","0","0","0","0","0","0","0"
"2","[2016-09-19 10:40:00,2016-09-19 11:00:00)","0","65","14","52","12","0","0","0","0","1","0","0"
"2","[2016-09-19 11:00:00,2016-09-19 11:20:00)","0","50","13","40","10","0","0","0","0","0","0","0"
"2","[2016-09-19 11:20:00,2016-09-19 11:40:00)","0","61","14","53","8","0","0","0","0","0","0","0"
"2","[2016-09-19 11:40:00,2016-09-19 12:00:00)","0","46","9","39","7","0","0","0","0","0","0","0"
"2","[2016-09-19 12:00:00,2016-09-19 12:20:00)","0","87","18","70","17","0","0","0","0","0","0","0"
"2","[2016-09-19 12:20:00,2016-09-19 12:40:00)","0","66","18","52","14","0","0","0","0","0","0","0"
