avg_travel_time,hour,minute,weekday,timemap,pressure,wind_direction,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,SSD,is_workday
186.96,10,40,5,33,1006,78.0,78.0,5.2,27.8,64.0,0.0,243.03,70.58597715348839,2
186.89,9,40,5,30,1006,78.0,78.0,5.2,27.8,64.0,0.0,114.83,70.58597715348839,2
186.54,13,40,6,42,1008,83.0,83.0,2.9,25.2,76.0,0.0,117.79,74.61796085656566,2
186.33,16,40,2,51,1012,8.0,8.0,3.3,24.7,76.0,0.0,134.57,72.38370128866995,3
184.33,23,40,4,72,1009,284.0,284.0,0.7,21.0,96.0,0.0,170.23,75.91744266666667,1
183.98,23,40,5,72,1008,324.0,324.0,1.1,21.2,93.0,0.0,103.47,74.69144408739496,2
183.8,9,20,4,29,1008,96.0,96.0,4.5,27.2,61.0,0.0,148.51,71.2951962786517,1
183.61,9,40,3,30,1006,356.0,356.0,4.0,20.6,96.0,1.4,252.48,64.5690044852459,1
183.45,13,40,6,42,1014,353.0,353.0,4.3,22.7,77.0,0.0,113.78,65.4928120412556,2
182.65,11,0,6,34,1007,57.0,57.0,2.8,28.9,57.0,0.0,177.48,79.34333221614908,2
182.05,8,40,6,27,1014,54.0,54.0,3.5,21.7,49.0,0.0,173.09,62.92066671416309,2
181.59,22,0,0,67,1014,333.0,333.0,2.5,14.1,80.0,0.0,112.66,55.18706397411003,2
181.31,9,20,0,29,1014,109.0,109.0,1.1,20.9,79.0,0.0,329.51,72.53031468713692,1
180.45,6,0,4,19,1008,90.0,90.0,2.5,29.5,53.0,0.0,28.81,80.84435567741937,1
180.44,7,40,0,24,1005,37.0,37.0,4.1,30.3,56.0,0.0,267.14,77.64363054149659,1
180.4,8,40,1,27,1013,64.0,64.0,3.0,23.8,50.0,0.0,168.43,68.43263954716981,1
179.69,21,20,3,65,1006,354.0,354.0,1.8,19.6,97.0,0.2,105.95,69.74675822362205,1
179.16,7,0,1,22,1004,96.0,96.0,3.6,31.1,63.0,0.0,114.37,81.78337059856115,1
178.87,7,20,1,23,1004,96.0,96.0,3.6,31.1,63.0,0.0,179.16,81.78337059856115,1
178.77,9,0,6,28,1014,28.0,28.0,5.6,20.4,55.0,0.0,182.05,54.52298328455285,2
178.48,11,0,6,34,1012,10.0,10.0,4.1,24.9,74.0,0.0,160.49,69.95151576915423,2
177.93,7,20,4,23,1006,164.0,164.0,1.0,24.7,80.0,0.0,159.56,80.24837808866995,1
177.48,10,40,6,33,1007,57.0,57.0,2.8,28.9,57.0,0.0,205.76,79.34333221614908,2
177.04,14,0,2,43,1012,59.0,59.0,2.0,25.4,72.0,0.0,124.7,77.36503810612246,3
176.67,0,0,4,1,1012,335.0,335.0,0.7,22.7,84.0,0.0,76.19,77.8450924412556,1
176.52,8,0,3,25,1015,48.0,48.0,2.3,21.6,63.0,0.0,114.64,68.18904835555556,1
176.43,10,0,0,31,1006,44.0,44.0,3.6,24.2,79.0,0.0,188.31,70.8432728,3
175.77,5,40,0,18,1014,333.0,333.0,2.5,14.1,80.0,0.0,108.86,55.18706397411003,2
175.09,14,0,6,43,1014,353.0,353.0,4.3,22.7,77.0,0.0,183.45,65.4928120412556,2
174.77,7,0,2,22,1003,92.0,92.0,7.5,26.2,94.0,5.5,147.19,64.17827816170212,1
174.77,16,40,5,51,1014,92.0,92.0,0.0,19.8,97.0,0.0,136.59,75.90132661587302,2
174.6,11,40,4,36,1016,349.0,349.0,2.0,18.2,81.0,0.0,110.82,64.70591382686568,1
174.58,4,40,5,15,1011,5.0,5.0,5.5,20.3,81.0,0.0,110.82,57.525302589473675,2
174.5,7,40,3,24,1006,355.0,355.0,6.9,21.0,95.0,0.1,267.78,55.96472666666668,1
174.46,20,20,2,62,1012,84.0,84.0,2.0,24.2,86.0,0.0,106.87,76.8337312,3
173.95,23,0,4,70,1015,360.0,360.0,2.3,18.5,90.0,0.0,99.01,65.25234603773585,1
173.74,20,40,5,63,1013,215.0,215.0,1.7,19.7,97.0,0.0,85.96,70.26403439209486,2
173.45,22,20,6,68,1007,358.0,358.0,0.5,21.8,93.0,0.0,74.73,77.78836322758622,2
173.42,11,20,6,35,1007,57.0,57.0,2.8,28.9,57.0,0.0,182.65,79.34333221614908,2
173.17,7,0,0,22,1014,333.0,333.0,2.5,14.1,80.0,0.0,104.37,55.18706397411003,2
173.09,8,20,6,26,1014,54.0,54.0,3.5,21.7,49.0,0.0,151.23,62.92066671416309,2
172.93,9,0,2,28,1016,39.0,39.0,3.7,21.2,57.0,0.0,207.5,62.287488887394964,1
172.34,9,20,0,29,1006,44.0,44.0,3.6,24.2,79.0,0.0,148.26,70.8432728,3
172.32,19,20,5,59,1007,325.0,325.0,1.4,21.9,91.0,0.0,121.75,74.87261096277057,2
171.94,10,0,6,31,1012,10.0,10.0,4.1,24.9,74.0,0.0,227.94,69.95151576915423,2
171.63,8,0,2,25,1016,100.0,100.0,3.1,22.1,59.0,0.0,138.92,66.08876998951965,1
171.47,23,20,0,71,1006,87.0,87.0,1.5,24.9,90.0,0.0,87.27,80.30185816915423,1
171.41,14,20,6,44,1008,83.0,83.0,2.9,25.2,76.0,0.0,190.07,74.61796085656566,2
171.21,8,20,2,26,1003,92.0,92.0,7.5,26.2,94.0,5.5,164.87,64.17827816170212,1
171.1,7,40,0,24,1013,81.0,81.0,1.2,21.3,79.0,0.0,152.62,72.97425240675106,1
170.31,16,20,5,50,1008,73.0,73.0,1.5,23.7,82.0,0.0,144.42,76.97265903849765,2
170.23,23,20,4,71,1009,284.0,284.0,0.7,21.0,96.0,0.0,122.01,75.91744266666667,1
170.06,8,0,3,25,1006,355.0,355.0,6.9,21.0,95.0,0.1,174.5,55.96472666666668,1
168.92,12,0,1,37,1015,105.0,105.0,3.5,21.6,70.0,0.0,96.14,65.15333155555557,1
168.86,2,0,0,7,1008,329.0,329.0,2.8,22.2,76.0,0.0,205.81,69.2230426385965,1
168.59,22,40,6,69,1014,333.0,333.0,2.5,14.1,80.0,0.0,119.67,55.18706397411003,2
168.43,8,20,1,26,1013,64.0,64.0,3.0,23.8,50.0,0.0,146.16,68.43263954716981,1
168.21,16,0,6,49,1015,7.0,7.0,2.1,21.9,80.0,0.0,85.67,71.35673856277057,2
168.13,21,0,5,64,1013,216.0,216.0,3.2,19.6,97.0,0.0,173.74,65.26675822362205,2
167.24,9,20,0,29,1014,333.0,333.0,2.5,14.1,80.0,0.0,202.23,55.18706397411003,2
166.31,12,40,1,39,1015,105.0,105.0,3.5,21.6,70.0,0.0,105.85,65.15333155555557,1
165.33,11,20,6,35,1012,10.0,10.0,4.1,24.9,74.0,0.0,178.48,69.95151576915423,2
164.87,8,0,2,25,1003,92.0,92.0,7.5,26.2,94.0,5.5,206.65,64.17827816170212,1
164.74,8,40,6,27,1006,85.0,85.0,2.9,29.9,58.0,0.0,150.57,81.02897435231787,2
164.68,16,20,6,50,1015,7.0,7.0,2.1,21.9,80.0,0.0,168.21,71.35673856277057,2
164.2,18,0,1,55,1007,335.0,335.0,2.0,20.3,90.0,0.0,112.42,69.71683978947371,3
162.84,11,0,5,34,1011,357.0,357.0,3.2,20.5,80.0,0.0,83.39,65.15757224489796,2
162.61,14,20,2,44,1012,59.0,59.0,2.0,25.4,72.0,0.0,177.04,77.36503810612246,3
