avg_travel_time,hour,minute,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,SSD,is_workday
197.75,14,0,3,43,1012,91.0,3.6,24.4,72.0,0.0,153.25,70.35120876116504,1
197.5,10,40,3,33,1014,64.0,3.2,23.0,69.0,0.0,136.83,68.62480109090909,3
196.09,6,0,2,19,1009,126.0,1.5,26.5,64.0,0.0,136.83,79.9905587027027,3
195.92,14,20,2,44,1014,320.0,2.4,21.3,91.0,0.5,122.77,70.49993400675106,1
195.83,16,0,2,49,1007,51.0,3.4,22.6,95.0,1.8,122.77,70.31583314285714,1
195.56,19,20,0,59,1014,333.0,2.5,14.1,80.0,0.0,423.01,55.18706397411003,2
195.3,23,40,5,72,1015,354.0,3.3,16.5,64.0,0.0,423.01,55.65855635087719,2
194.92,18,20,6,56,1015,4.0,1.3,15.4,67.0,0.0,423.01,60.30286998918918,2
194.71,12,20,5,38,1014,344.0,0.9,20.0,97.0,0.0,148.88,73.41596,2
193.96,19,0,4,58,1015,202.0,1.1,18.4,89.0,0.0,149.91,68.79453140451128,1
193.03,10,0,5,31,1014,333.0,2.2,20.3,96.0,0.0,129.23,69.73786458947369,2
191.62,16,40,3,51,1014,87.0,1.8,21.5,76.0,0.0,115.96,71.0927354893617,3
191.33,18,20,4,56,1009,317.0,1.8,21.4,88.0,0.0,158.22,72.27281865762713,1
191.17,15,0,4,46,1009,334.0,1.4,21.7,89.0,0.0,123.41,74.2511147141631,1
189.74,14,40,5,45,1008,60.0,2.5,24.4,78.0,0.0,175.53,74.62167916116505,2
188.24,19,0,4,58,1009,317.0,1.8,21.4,88.0,0.0,139.44,72.27281865762713,1
187.96,16,20,5,50,1014,64.0,0.0,19.8,97.0,0.0,131.17,75.90132661587302,2
185.8,17,20,6,53,1008,53.0,1.4,24.4,85.0,0.0,118.33,79.01722796116505,2
184.39,8,20,1,26,1004,96.0,3.6,31.1,63.0,0.0,134.93,81.78337059856115,1
184.11,8,20,2,26,1016,100.0,3.1,22.1,59.0,0.0,117.33,66.08876998951965,1
183.8,13,40,6,42,1008,83.0,2.9,25.2,76.0,0.0,123.16,74.61796085656566,2
183.67,19,0,6,58,1014,344.0,2.0,21.3,83.0,0.0,123.16,70.86947960675106,2
183.33,17,40,6,54,1015,7.0,2.1,21.9,80.0,0.0,153.68,71.35673856277057,2
182.39,19,20,0,59,1008,347.0,1.3,20.8,80.0,0.0,158.48,71.81136608264462,3
182.0,14,40,3,45,1015,85.0,1.5,22.2,74.0,0.0,174.17,73.1488842385965,3
181.96,0,40,0,3,1008,307.0,1.3,24.1,83.0,0.0,174.17,78.507524369378,1
179.67,8,20,1,26,1012,7.0,4.6,26.9,43.0,0.0,147.74,68.00156924419889,1
179.24,18,0,5,55,1008,334.0,0.8,23.5,95.0,0.0,104.69,80.4108611627907,3
178.95,14,40,0,45,1010,302.0,2.3,20.8,92.0,1.1,141.98,69.95523168264461,1
178.87,19,0,4,58,1009,319.0,0.9,20.9,96.0,0.0,113.81,75.08030548713694,1
178.25,11,20,3,35,1015,46.0,2.3,21.3,61.0,0.0,97.66,67.40573000675106,1
177.5,11,0,2,34,1016,39.0,3.7,21.2,57.0,0.0,88.65,62.287488887394964,1
177.36,17,40,0,54,1015,222.0,0.9,18.9,92.0,0.0,130.78,70.72085709118774,1
176.43,8,20,0,26,1005,37.0,4.1,30.3,56.0,0.0,155.16,77.64363054149659,1
175.53,14,20,5,44,1008,60.0,2.5,24.4,78.0,0.0,160.01,74.62167916116505,2
174.79,17,40,5,54,1015,15.0,5.5,18.6,60.0,0.0,105.0,52.08722424242424,2
174.17,14,20,3,44,1015,85.0,1.5,22.2,74.0,0.0,132.2,73.1488842385965,3
173.94,15,40,4,48,1009,334.0,1.4,21.7,89.0,0.0,144.77,74.2511147141631,1
173.09,15,40,1,48,1014,326.0,2.2,20.5,65.0,0.0,134.84,66.69410224489796,1
