avg_travel_time,hour,minute,weekday,timemap,pressure,wind_direction,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,SSD,is_workday
169.72,8,40,2,27,1013,328.0,328.0,3.0,26.2,56.0,0.0,127.77,73.57659656170213,1
168.48,9,20,2,29,1016,39.0,39.0,3.7,21.2,57.0,0.0,117.82,62.287488887394964,1
165.75,7,40,0,24,1006,35.0,35.0,2.6,25.4,72.0,0.0,55.32,75.44503810612245,3
165.37,16,0,2,49,1007,51.0,51.0,3.4,22.6,95.0,1.8,95.64,70.31583314285714,1
164.1,14,20,6,44,1008,83.0,83.0,2.9,25.2,76.0,0.0,139.74,74.61796085656566,2
163.7,18,20,6,56,1015,4.0,4.0,1.3,15.4,67.0,0.0,84.43,60.30286998918918,2
163.55,16,0,1,49,1014,326.0,326.0,2.2,20.5,65.0,0.0,103.3,66.69410224489796,1
161.83,16,0,0,49,1008,62.0,62.0,3.1,23.1,76.0,0.0,123.03,69.97503290593608,3
161.08,9,0,3,28,1015,46.0,46.0,2.3,21.3,61.0,0.0,123.73,67.40573000675106,1
161.05,9,20,0,29,1008,351.0,351.0,5.3,23.8,72.0,0.1,116.87,63.77636914716982,1
160.98,16,40,4,51,1009,334.0,334.0,1.4,21.7,89.0,0.0,140.73,74.2511147141631,1
160.78,14,0,1,43,1015,105.0,105.0,3.5,21.6,70.0,0.0,103.98,65.15333155555557,1
160.67,14,0,0,43,1014,333.0,333.0,2.5,14.1,80.0,0.0,83.96,55.18706397411003,2
160.28,18,0,2,55,1016,327.0,327.0,1.9,18.9,83.0,0.0,103.29,66.57513349118774,1
158.27,2,20,0,8,1008,307.0,307.0,1.3,24.1,83.0,0.0,223.22,78.507524369378,1
157.93,9,0,4,28,1009,310.0,310.0,1.5,20.4,97.0,0.0,77.66,72.28542808455285,3
156.84,0,0,5,1,1009,100.0,100.0,0.1,22.3,93.0,0.0,134.05,80.04969962466959,3
156.67,9,40,2,30,1016,39.0,39.0,3.7,21.2,57.0,0.0,168.48,62.287488887394964,1
156.58,6,20,3,20,1011,117.0,117.0,2.3,28.7,54.0,0.0,93.4,80.14986681226993,1
156.47,8,20,2,26,1016,100.0,100.0,3.1,22.1,59.0,0.0,84.05,66.08876998951965,1
156.38,16,20,5,50,1014,113.0,113.0,0.0,19.8,97.0,0.0,120.68,75.90132661587302,2
155.45,20,0,2,61,1013,341.0,341.0,1.7,20.2,94.0,0.0,91.92,70.92123834838709,1
154.9,20,20,1,62,1004,56.0,56.0,1.7,26.2,95.0,1.2,101.22,82.86990136170213,1
154.48,10,40,2,33,1013,348.0,348.0,1.5,24.9,67.0,0.0,110.52,77.38324096915423,1
153.68,7,40,6,24,1014,54.0,54.0,3.5,21.7,49.0,0.0,109.06,62.92066671416309,2
153.3,7,40,2,24,1016,100.0,100.0,3.1,22.1,59.0,0.0,73.71,66.08876998951965,1
152.88,18,40,5,57,1013,215.0,215.0,1.7,19.7,97.0,0.0,39.24,70.26403439209486,2
152.8,18,40,4,57,1009,317.0,317.0,1.8,21.4,88.0,0.0,113.83,72.27281865762713,1
152.53,15,20,4,47,1010,82.0,82.0,2.0,23.4,79.0,0.0,121.91,74.43045745185185,1
152.44,22,20,4,68,1009,284.0,284.0,0.7,21.0,96.0,0.0,105.15,75.91744266666667,1
151.57,9,20,1,29,1005,327.0,327.0,1.5,23.9,75.0,0.0,78.23,76.49521974407584,3
151.43,9,0,1,28,1013,11.0,11.0,4.5,25.4,42.0,0.0,118.13,65.50360610612246,1
151.0,8,0,2,25,1013,328.0,328.0,3.0,26.2,56.0,0.0,100.78,73.57659656170213,1
150.26,20,20,4,62,1008,342.0,342.0,4.1,20.4,97.0,2.0,135.84,63.96542808455286,3
150.09,1,0,4,4,1017,46.0,46.0,3.0,18.4,88.0,0.0,135.84,62.61126900451129,1
149.87,7,0,4,22,1008,90.0,90.0,2.5,29.5,53.0,0.0,144.06,80.84435567741937,1
149.57,21,0,4,64,1009,284.0,284.0,0.7,21.0,96.0,0.0,98.17,75.91744266666667,1
149.29,9,20,0,29,1014,109.0,109.0,1.1,20.9,79.0,0.0,90.51,72.53031468713692,1
149.25,19,40,0,60,1008,347.0,347.0,1.3,20.8,80.0,0.0,47.78,71.81136608264462,3
148.68,11,0,2,34,1009,52.0,52.0,2.8,26.5,64.0,0.0,125.07,75.8305587027027,3
148.65,13,0,0,40,1010,302.0,302.0,2.3,20.8,92.0,1.1,120.52,69.95523168264461,1
148.19,19,0,4,58,1008,342.0,342.0,4.1,20.4,97.0,2.0,133.48,63.96542808455286,3
147.96,17,40,2,54,1012,8.0,8.0,3.3,24.7,76.0,0.0,106.31,72.38370128866995,3
147.62,9,0,0,28,1006,81.0,81.0,2.6,28.9,66.0,0.0,100.85,81.25629581614908,1
147.15,14,0,5,43,1014,344.0,344.0,0.9,20.0,97.0,0.0,94.48,73.41596,2
147.11,8,0,0,25,1013,81.0,81.0,1.2,21.3,79.0,0.0,110.83,72.97425240675106,1
146.86,11,20,6,35,1004,235.0,235.0,1.4,29.9,66.0,0.0,125.63,86.98958555231786,3
146.82,13,20,1,41,1014,25.0,25.0,1.7,22.1,53.0,0.0,125.59,69.86847638951966,1
146.78,13,0,5,40,1014,344.0,344.0,0.9,20.0,97.0,0.0,100.38,73.41596,2
146.25,19,40,3,60,1012,33.0,33.0,1.1,21.9,84.0,0.0,108.07,75.02069216277057,1
146.02,11,40,4,36,1008,96.0,96.0,4.5,27.2,61.0,0.0,82.62,71.2951962786517,1
145.03,12,20,0,38,1014,333.0,333.0,2.5,14.1,80.0,0.0,96.24,55.18706397411003,2
144.93,12,20,2,38,1014,320.0,320.0,2.4,21.3,91.0,0.5,124.78,70.49993400675106,1
144.79,15,40,0,48,1014,333.0,333.0,2.5,14.1,80.0,0.0,115.19,55.18706397411003,2
144.44,6,40,3,21,1006,355.0,355.0,6.9,21.0,95.0,0.1,92.03,55.96472666666668,1
144.06,6,40,4,21,1008,90.0,90.0,2.5,29.5,53.0,0.0,61.33,80.84435567741937,1
143.96,10,0,0,31,1006,44.0,44.0,3.6,24.2,79.0,0.0,97.4,70.8432728,3
143.56,17,20,5,53,1014,7.0,7.0,0.0,19.8,97.0,0.0,180.57,75.90132661587302,2
143.2,19,0,2,58,1006,38.0,38.0,5.5,22.0,94.0,1.2,123.33,62.29718539130435,1
143.18,18,40,0,57,1008,347.0,347.0,1.3,20.8,80.0,0.0,92.93,71.81136608264462,3
143.17,13,40,0,42,1010,302.0,302.0,2.3,20.8,92.0,1.1,107.41,69.95523168264461,1
143.01,7,20,1,23,1013,64.0,64.0,3.0,23.8,50.0,0.0,126.05,68.43263954716981,1
142.91,17,20,0,53,1008,62.0,62.0,3.1,23.1,76.0,0.0,87.44,69.97503290593608,3
142.85,14,0,4,43,1009,319.0,319.0,1.8,20.7,98.0,0.6,93.81,72.02933702386831,3
142.52,8,0,1,25,1013,64.0,64.0,3.0,23.8,50.0,0.0,110.76,68.43263954716981,1
141.31,9,20,1,29,1013,11.0,11.0,4.5,25.4,42.0,0.0,151.43,65.50360610612246,1
141.04,14,0,1,43,1014,25.0,25.0,1.7,22.1,53.0,0.0,112.94,69.86847638951966,1
140.79,18,0,0,55,1008,347.0,347.0,1.3,20.8,80.0,0.0,90.74,71.81136608264462,3
140.73,16,20,4,50,1009,334.0,334.0,1.4,21.7,89.0,0.0,123.63,74.2511147141631,1
140.59,7,40,6,24,1006,85.0,85.0,2.9,29.9,58.0,0.0,82.76,81.02897435231787,2
140.56,3,0,2,10,1010,340.0,340.0,1.5,25.4,68.0,0.0,178.18,78.45018050612245,3
139.87,7,0,6,22,1014,54.0,54.0,3.5,21.7,49.0,0.0,101.37,62.92066671416309,2
139.74,14,0,6,43,1008,83.0,83.0,2.9,25.2,76.0,0.0,120.03,74.61796085656566,2
139.65,6,0,4,19,1008,90.0,90.0,2.5,29.5,53.0,0.0,120.03,80.84435567741937,1
139.65,19,40,4,60,1009,319.0,319.0,0.9,20.9,96.0,0.0,119.48,75.08030548713694,1
139.37,9,20,6,29,1004,235.0,235.0,1.4,29.9,66.0,0.0,106.14,86.98958555231786,3
139.31,19,20,5,59,1007,325.0,325.0,1.4,21.9,91.0,0.0,94.58,74.87261096277057,2
138.92,5,20,0,17,1008,174.0,174.0,1.6,28.5,57.0,0.0,111.25,82.44092078787878,1
138.67,20,20,0,62,1014,333.0,333.0,2.5,14.1,80.0,0.0,111.06,55.18706397411003,2
138.43,1,0,3,4,1014,281.0,281.0,1.5,20.7,91.0,0.0,130.07,72.20796062386832,1
138.0,19,0,6,58,1006,5.0,5.0,1.0,22.7,91.0,0.0,85.3,77.71737284125561,3
137.94,21,20,0,65,1012,319.0,319.0,2.7,19.1,75.0,0.0,131.52,63.5528445019305,1
137.93,16,0,4,49,1010,82.0,82.0,2.0,23.4,79.0,0.0,122.65,74.43045745185185,1
137.85,23,20,5,71,1013,216.0,216.0,3.2,19.6,97.0,0.0,107.84,65.26675822362205,2
137.84,17,40,3,54,1012,86.0,86.0,2.7,23.1,80.0,0.0,132.87,71.73643930593606,1
137.62,9,20,2,29,1004,53.0,53.0,5.1,24.7,93.0,1.3,132.97,68.76857768866995,1
137.61,13,20,2,41,1014,320.0,320.0,2.4,21.3,91.0,0.5,121.87,70.49993400675106,1
137.59,15,0,0,46,1011,18.0,18.0,2.6,21.4,80.0,0.0,92.1,68.79945545762712,1
137.55,23,20,6,71,1014,333.0,333.0,2.5,14.1,80.0,0.0,66.74,55.18706397411003,2
137.44,13,40,3,42,1015,85.0,85.0,1.5,22.2,74.0,0.0,103.35,73.1488842385965,3
137.14,19,0,5,58,1015,340.0,340.0,2.4,16.4,73.0,0.0,114.18,59.217620654545456,2
137.03,20,20,0,62,1011,333.0,333.0,2.4,20.2,75.0,0.0,100.3,66.5949015483871,1
136.58,8,20,2,26,1003,92.0,92.0,7.5,26.2,94.0,5.5,96.99,64.17827816170212,1
136.56,0,20,1,2,1013,341.0,341.0,3.5,21.1,68.0,0.0,68.02,63.98836985439331,1
136.49,8,40,1,27,1013,64.0,64.0,3.0,23.8,50.0,0.0,93.0,68.43263954716981,1
136.46,20,0,3,61,1006,354.0,354.0,1.8,19.6,97.0,0.2,107.92,69.74675822362205,1
136.46,23,20,1,71,1017,4.0,4.0,1.9,19.2,74.0,0.0,107.92,66.19587276899225,1
136.09,15,20,3,47,1012,86.0,86.0,2.7,23.1,80.0,0.0,113.28,71.73643930593606,1
136.02,0,20,4,2,1017,46.0,46.0,3.0,18.4,88.0,0.0,51.4,62.61126900451129,1
135.84,20,0,4,61,1008,342.0,342.0,4.1,20.4,97.0,2.0,132.16,63.96542808455286,3
135.82,19,40,3,60,1016,352.0,352.0,1.5,19.1,75.0,0.0,132.16,67.3928445019305,1
135.75,7,40,3,24,1006,355.0,355.0,6.9,21.0,95.0,0.1,96.37,55.96472666666668,1
135.63,9,20,2,29,1013,348.0,348.0,1.5,24.9,67.0,0.0,252.82,77.38324096915423,1
135.54,15,20,6,47,1015,7.0,7.0,2.1,21.9,80.0,0.0,96.66,71.35673856277057,2
135.42,10,20,1,32,1013,87.0,87.0,2.4,23.0,56.0,0.0,133.5,69.62495709090909,1
135.13,2,0,3,7,1014,281.0,281.0,1.5,20.7,91.0,0.0,138.09,72.20796062386832,1
134.81,11,20,6,35,1014,28.0,28.0,5.6,20.4,55.0,0.0,124.71,54.52298328455285,2
134.79,17,0,4,52,1009,353.0,353.0,2.5,20.9,98.0,2.5,80.28,70.18501028713693,3
134.79,7,20,5,23,1010,17.0,17.0,3.6,22.1,72.0,0.0,83.58,66.00607278951965,2
134.51,9,40,3,30,1011,91.0,91.0,2.6,26.8,57.0,0.0,101.91,76.09527131428571,1
134.05,23,40,4,72,1009,284.0,284.0,0.7,21.0,96.0,0.0,89.09,75.91744266666667,1
133.97,16,20,3,50,1008,342.0,342.0,2.6,19.9,97.0,0.3,81.14,67.7786350868526,1
133.72,6,40,1,21,1013,64.0,64.0,3.0,23.8,50.0,0.0,71.58,68.43263954716981,1
133.65,12,20,0,38,1008,29.0,29.0,1.8,24.0,78.0,0.0,104.51,76.09627961904762,3
133.5,10,0,1,31,1013,87.0,87.0,2.4,23.0,56.0,0.0,133.37,69.62495709090909,1
133.48,18,40,4,57,1008,342.0,342.0,4.1,20.4,97.0,2.0,110.01,63.96542808455286,3
133.37,9,40,1,30,1013,87.0,87.0,2.4,23.0,56.0,0.0,104.09,69.62495709090909,1
133.31,16,40,5,51,1014,87.0,87.0,0.0,19.8,97.0,0.0,156.38,75.90132661587302,2
133.28,17,40,0,54,1007,315.0,315.0,0.8,25.4,86.0,0.0,75.83,83.00703970612247,1
133.03,17,0,2,52,1012,8.0,8.0,3.3,24.7,76.0,0.0,180.23,72.38370128866995,3
132.97,9,0,2,28,1004,53.0,53.0,5.1,24.7,93.0,1.3,99.99,68.76857768866995,1
132.9,21,20,4,65,1009,319.0,319.0,1.7,20.7,93.0,0.0,83.63,71.79121102386831,1
132.89,0,40,0,3,1008,329.0,329.0,2.8,22.2,76.0,0.0,83.63,69.2230426385965,1
132.87,16,20,0,50,1007,315.0,315.0,0.8,25.4,86.0,0.0,100.12,83.00703970612247,1
132.87,17,20,3,53,1012,86.0,86.0,2.7,23.1,80.0,0.0,70.61,71.73643930593606,1
132.76,10,20,1,32,1013,11.0,11.0,4.5,25.4,42.0,0.0,106.42,65.50360610612246,1
132.16,17,20,4,53,1009,334.0,334.0,1.4,21.7,89.0,0.0,126.7,74.2511147141631,1
132.16,8,40,0,27,1014,333.0,333.0,2.5,14.1,80.0,0.0,127.14,55.18706397411003,2
132.16,19,40,4,60,1008,342.0,342.0,4.1,20.4,97.0,2.0,118.3,63.96542808455286,3
132.12,16,40,1,51,1007,310.0,310.0,1.5,22.6,80.0,0.0,99.53,74.61782914285716,3
132.0,23,20,2,71,1013,37.0,37.0,2.7,22.8,82.0,0.0,66.13,71.3997231855856,3
131.97,6,40,6,21,1012,301.0,301.0,1.8,26.8,67.0,0.0,90.34,79.99331931428571,2
131.68,23,20,0,71,1014,322.0,322.0,2.5,19.3,90.0,0.0,60.49,66.16928057587549,1
131.52,21,0,0,64,1012,319.0,319.0,2.7,19.1,75.0,0.0,102.86,63.5528445019305,1
131.37,15,40,5,48,1014,50.0,50.0,0.0,19.8,97.0,0.0,72.51,75.90132661587302,2
131.35,8,20,6,26,1014,54.0,54.0,3.5,21.7,49.0,0.0,102.75,62.92066671416309,2
130.86,14,40,6,45,1014,353.0,353.0,4.3,22.7,77.0,0.0,128.19,65.4928120412556,2
130.86,10,40,3,33,1011,91.0,91.0,2.6,26.8,57.0,0.0,101.11,76.09527131428571,1
130.77,0,20,1,2,1008,330.0,330.0,2.3,21.6,84.0,0.0,101.11,70.60189795555556,3
130.69,7,20,1,23,1012,7.0,7.0,4.6,26.9,43.0,0.0,95.2,68.00156924419889,1
130.59,16,0,2,49,1012,8.0,8.0,3.3,24.7,76.0,0.0,114.73,72.38370128866995,3
130.43,13,40,2,42,1012,59.0,59.0,2.0,25.4,72.0,0.0,121.84,77.36503810612246,3
130.39,15,0,6,46,1008,53.0,53.0,1.4,24.4,85.0,0.0,99.19,79.01722796116505,2
130.13,16,20,1,50,1016,45.0,45.0,2.8,20.3,66.0,0.0,97.92,64.51274058947368,1
130.12,12,40,3,39,1015,85.0,85.0,1.5,22.2,74.0,0.0,88.96,73.1488842385965,3
130.09,17,20,3,53,1008,342.0,342.0,2.6,19.9,97.0,0.3,96.58,67.7786350868526,1
129.97,18,20,6,56,1006,5.0,5.0,1.0,22.7,91.0,0.0,92.42,77.71737284125561,3
129.84,10,20,0,32,1006,44.0,44.0,3.6,24.2,79.0,0.0,143.96,70.8432728,3
129.76,12,20,1,38,1015,105.0,105.0,3.5,21.6,70.0,0.0,81.62,65.15333155555557,1
129.52,10,0,0,31,1014,109.0,109.0,1.1,20.9,79.0,0.0,120.32,72.53031468713692,1
129.44,19,20,1,59,1016,347.0,347.0,2.3,18.8,73.0,0.0,92.67,64.05590160610686,1
129.41,21,20,6,65,1014,333.0,333.0,2.5,14.1,80.0,0.0,175.45,55.18706397411003,2
129.39,22,0,3,67,1011,324.0,324.0,1.7,20.5,92.0,0.0,65.0,71.28834824489796,1
129.37,13,20,6,41,1008,83.0,83.0,2.9,25.2,76.0,0.0,90.34,74.61796085656566,2
129.26,16,20,2,50,1012,8.0,8.0,3.3,24.7,76.0,0.0,130.59,72.38370128866995,3
128.91,22,20,4,68,1008,355.0,355.0,4.8,20.0,97.0,1.9,89.82,60.93596000000001,3
128.72,14,40,2,45,1006,57.0,57.0,3.9,23.1,94.0,3.0,89.62,69.58136170593608,1
128.58,18,0,6,55,1007,11.0,11.0,0.9,22.8,87.0,0.0,107.98,77.75602718558558,2
128.58,17,20,3,53,1017,41.0,41.0,1.8,19.8,71.0,0.0,93.68,67.32415381587302,1
128.55,16,20,6,50,1006,358.0,358.0,2.3,23.2,93.0,0.0,95.98,74.77753187522936,3
128.4,18,40,2,57,1013,341.0,341.0,1.7,20.2,94.0,0.0,68.14,70.92123834838709,1
128.19,14,20,6,44,1014,353.0,353.0,4.3,22.7,77.0,0.0,103.92,65.4928120412556,2
127.99,11,0,0,34,1008,351.0,351.0,5.3,23.8,72.0,0.1,91.36,63.77636914716982,1
127.95,15,20,0,47,1008,62.0,62.0,3.1,23.1,76.0,0.0,105.32,69.97503290593608,3
127.77,8,20,2,26,1013,328.0,328.0,3.0,26.2,56.0,0.0,151.0,73.57659656170213,1
127.74,16,40,1,51,1005,70.0,70.0,3.1,27.1,87.0,0.0,74.01,79.09623818324023,1
127.64,7,40,1,24,1006,329.0,329.0,1.3,24.5,71.0,0.0,88.96,77.77500834146342,3
127.58,9,0,4,28,1008,96.0,96.0,4.5,27.2,61.0,0.0,98.04,71.2951962786517,1
127.55,10,0,2,31,1013,348.0,348.0,1.5,24.9,67.0,0.0,117.77,77.38324096915423,1
127.44,16,20,4,50,1009,353.0,353.0,2.5,20.9,98.0,2.5,94.65,70.18501028713693,3
127.37,9,0,6,28,1014,28.0,28.0,5.6,20.4,55.0,0.0,85.02,54.52298328455285,2
127.34,9,0,0,28,1014,333.0,333.0,2.5,14.1,80.0,0.0,132.16,55.18706397411003,2
127.29,14,0,0,43,1008,29.0,29.0,1.8,24.0,78.0,0.0,107.9,76.09627961904762,3
127.27,9,20,5,29,1011,357.0,357.0,3.2,20.5,80.0,0.0,102.85,65.15757224489796,2
127.23,14,20,3,44,1008,10.0,10.0,3.1,20.3,97.0,1.5,80.97,66.96803538947367,1
127.2,14,0,1,43,1006,40.0,40.0,3.4,27.4,85.0,0.0,94.99,78.45149636363634,1
127.14,8,20,0,26,1014,333.0,333.0,2.5,14.1,80.0,0.0,112.91,55.18706397411003,2
127.13,18,40,6,57,1014,344.0,344.0,2.0,21.3,83.0,0.0,104.61,70.86947960675106,2
126.91,9,20,4,29,1009,310.0,310.0,1.5,20.4,97.0,0.0,157.93,72.28542808455285,3
126.85,14,20,3,44,1015,85.0,85.0,1.5,22.2,74.0,0.0,68.12,73.1488842385965,3
126.84,15,40,0,48,1015,222.0,222.0,0.9,18.9,92.0,0.0,82.67,70.72085709118774,1
126.75,8,0,1,25,1012,7.0,7.0,4.6,26.9,43.0,0.0,80.6,68.00156924419889,1
126.7,17,0,4,52,1009,334.0,334.0,1.4,21.7,89.0,0.0,160.98,74.2511147141631,1
126.62,9,40,0,30,1008,351.0,351.0,5.3,23.8,72.0,0.1,161.05,63.77636914716982,1
126.53,11,40,6,36,1012,10.0,10.0,4.1,24.9,74.0,0.0,59.31,69.95151576915423,2
126.51,18,40,1,57,1007,335.0,335.0,2.0,20.3,90.0,0.0,98.05,69.71683978947371,3
126.44,20,40,1,63,1016,347.0,347.0,2.3,18.8,73.0,0.0,166.32,64.05590160610686,1
126.32,19,40,1,60,1007,335.0,335.0,2.0,20.3,90.0,0.0,87.02,69.71683978947371,3
126.24,16,40,6,51,1008,53.0,53.0,1.4,24.4,85.0,0.0,115.07,79.01722796116505,2
126.22,15,20,0,47,1007,315.0,315.0,0.8,25.4,86.0,0.0,98.44,83.00703970612247,1
126.12,16,0,5,49,1008,73.0,73.0,1.5,23.7,82.0,0.0,117.97,76.97265903849765,2
126.11,10,0,2,31,1009,52.0,52.0,2.8,26.5,64.0,0.0,111.12,75.8305587027027,3
126.05,7,0,1,22,1013,64.0,64.0,3.0,23.8,50.0,0.0,133.72,68.43263954716981,1
126.02,2,20,5,8,1010,301.0,301.0,1.0,22.7,87.0,0.0,133.72,77.2417840412556,2
125.83,10,0,1,31,1005,327.0,327.0,1.5,23.9,75.0,0.0,66.46,76.49521974407584,3
125.59,13,0,1,40,1014,25.0,25.0,1.7,22.1,53.0,0.0,124.04,69.86847638951966,1
125.36,13,20,5,41,1008,60.0,60.0,2.5,24.4,78.0,0.0,95.95,74.62167916116505,2
125.27,0,20,0,2,1016,35.0,35.0,2.1,20.1,80.0,0.0,70.85,67.91276035341366,1
125.07,10,40,2,33,1009,52.0,52.0,2.8,26.5,64.0,0.0,116.37,75.8305587027027,3
125.04,11,40,5,36,1014,333.0,333.0,2.2,20.3,96.0,0.0,99.52,69.73786458947369,2
124.99,14,20,2,44,1014,320.0,320.0,2.4,21.3,91.0,0.5,113.8,70.49993400675106,1
124.97,1,20,0,5,1008,307.0,307.0,1.3,24.1,83.0,0.0,113.8,78.507524369378,1
124.78,12,0,2,37,1014,320.0,320.0,2.4,21.3,91.0,0.5,103.14,70.49993400675106,1
124.71,11,0,6,34,1014,28.0,28.0,5.6,20.4,55.0,0.0,98.08,54.52298328455285,2
124.63,12,20,2,38,1006,57.0,57.0,3.9,23.1,94.0,3.0,92.38,69.58136170593608,1
124.56,15,40,1,48,1016,45.0,45.0,2.8,20.3,66.0,0.0,113.49,64.51274058947368,1
124.54,10,20,1,32,1005,327.0,327.0,1.5,23.9,75.0,0.0,125.83,76.49521974407584,3
124.53,19,0,6,58,1014,344.0,344.0,2.0,21.3,83.0,0.0,127.13,70.86947960675106,2
124.5,22,40,3,69,1006,354.0,354.0,1.8,19.6,97.0,0.2,127.13,69.74675822362205,1
124.47,13,0,4,40,1008,351.0,351.0,2.3,22.5,83.0,0.0,107.7,72.22068777777778,1
124.46,14,0,3,43,1017,24.0,24.0,2.2,20.3,69.0,0.0,79.56,66.76325298947367,1
124.22,2,40,2,9,1016,219.0,219.0,0.7,21.7,69.0,0.0,138.58,74.1858907141631,1
124.14,8,20,3,26,1006,355.0,355.0,6.9,21.0,95.0,0.1,82.11,55.96472666666668,1
124.14,15,20,0,47,1011,18.0,18.0,2.6,21.4,80.0,0.0,137.59,68.79945545762712,1
124.04,12,40,1,39,1014,25.0,25.0,1.7,22.1,53.0,0.0,109.55,69.86847638951966,1
124.0,7,40,4,24,1008,90.0,90.0,2.5,29.5,53.0,0.0,111.22,80.84435567741937,1
123.97,18,0,4,55,1015,202.0,202.0,1.1,18.4,89.0,0.0,214.33,68.79453140451128,1
123.97,13,40,3,42,1012,91.0,91.0,3.6,24.4,72.0,0.0,93.86,70.35120876116504,1
123.86,23,40,6,72,1007,358.0,358.0,0.5,21.8,93.0,0.0,116.56,77.78836322758622,2
123.84,20,40,3,63,1006,354.0,354.0,1.8,19.6,97.0,0.2,95.11,69.74675822362205,1
123.81,13,20,5,41,1014,344.0,344.0,0.9,20.0,97.0,0.0,146.78,73.41596,2
123.78,10,0,0,31,1014,333.0,333.0,2.5,14.1,80.0,0.0,113.07,55.18706397411003,2
123.73,8,40,3,27,1015,48.0,48.0,2.3,21.6,63.0,0.0,82.62,68.18904835555556,1
123.73,15,0,1,46,1014,326.0,326.0,2.2,20.5,65.0,0.0,90.2,66.69410224489796,1
123.63,16,0,4,49,1009,334.0,334.0,1.4,21.7,89.0,0.0,113.08,74.2511147141631,1
123.48,11,40,3,36,1011,91.0,91.0,2.6,26.8,57.0,0.0,76.85,76.09527131428571,1
123.44,18,0,0,55,1014,333.0,333.0,2.5,14.1,80.0,0.0,96.32,55.18706397411003,2
123.41,5,40,4,18,1018,2.0,2.0,1.6,18.8,82.0,0.0,96.32,67.23835280610686,1
123.41,12,40,6,39,1014,353.0,353.0,4.3,22.7,77.0,0.0,102.87,65.4928120412556,2
123.34,12,20,2,38,1012,59.0,59.0,2.0,25.4,72.0,0.0,97.51,77.36503810612246,3
123.33,18,40,2,57,1006,38.0,38.0,5.5,22.0,94.0,1.2,100.25,62.29718539130435,1
123.32,16,0,2,49,1014,310.0,310.0,1.0,20.8,93.0,0.0,100.15,74.22722048264463,1
123.29,16,20,3,50,1017,41.0,41.0,1.8,19.8,71.0,0.0,92.79,67.32415381587302,1
123.24,9,0,1,28,1005,104.0,104.0,4.2,28.7,72.0,0.0,99.58,76.60270441226993,1
123.19,10,40,5,33,1006,78.0,78.0,5.2,27.8,64.0,0.0,110.77,70.58597715348839,2
123.1,12,40,4,39,1010,80.0,80.0,2.5,24.3,77.0,0.0,107.66,74.30557092367151,1
123.07,11,0,3,34,1011,91.0,91.0,2.6,26.8,57.0,0.0,130.86,76.09527131428571,1
123.03,15,40,0,48,1008,62.0,62.0,3.1,23.1,76.0,0.0,127.95,69.97503290593608,3
122.73,17,40,4,54,1009,353.0,353.0,2.5,20.9,98.0,2.5,97.35,70.18501028713693,3
122.65,15,40,4,48,1010,82.0,82.0,2.0,23.4,79.0,0.0,152.53,74.43045745185185,1
122.55,14,0,5,43,1009,326.0,326.0,0.9,25.1,90.0,0.0,76.22,82.61377433165829,3
122.5,18,40,3,57,1012,33.0,33.0,1.1,21.9,84.0,0.0,112.04,75.02069216277057,1
122.39,15,20,1,47,1014,326.0,326.0,2.2,20.5,65.0,0.0,123.73,66.69410224489796,1
122.33,21,0,2,64,1016,14.0,14.0,2.3,19.3,79.0,0.0,110.01,65.63739777587547,1
122.29,20,0,2,61,1006,38.0,38.0,5.5,22.0,94.0,1.2,65.61,62.29718539130435,1
122.28,16,20,2,50,1007,51.0,51.0,3.4,22.6,95.0,1.8,165.37,70.31583314285714,1
122.26,17,20,0,53,1011,18.0,18.0,2.6,21.4,80.0,0.0,106.31,68.79945545762712,1
122.21,17,40,3,54,1008,342.0,342.0,2.6,19.9,97.0,0.3,130.09,67.7786350868526,1
122.15,13,20,0,41,1014,333.0,333.0,2.5,14.1,80.0,0.0,86.77,55.18706397411003,2
121.97,8,0,0,25,1005,37.0,37.0,4.1,30.3,56.0,0.0,87.74,77.64363054149659,1
121.91,15,0,4,46,1010,82.0,82.0,2.0,23.4,79.0,0.0,105.31,74.43045745185185,1
121.87,13,0,2,40,1014,320.0,320.0,2.4,21.3,91.0,0.5,94.92,70.49993400675106,1
121.84,13,20,2,41,1012,59.0,59.0,2.0,25.4,72.0,0.0,107.98,77.36503810612246,3
121.8,19,0,0,58,1014,341.0,341.0,1.5,19.1,92.0,0.0,75.86,69.19157370193051,1
121.67,14,40,2,45,1014,320.0,320.0,2.4,21.3,91.0,0.5,124.99,70.49993400675106,1
121.35,13,0,4,40,1016,1.0,1.0,1.4,18.3,83.0,0.0,97.42,67.0229637857678,1
121.33,12,20,6,38,1016,52.0,52.0,6.0,18.8,58.0,0.0,93.0,50.64514960610686,2
121.33,12,40,1,39,1006,40.0,40.0,3.4,27.4,85.0,0.0,90.49,78.45149636363634,1
121.31,10,0,0,31,1006,81.0,81.0,2.6,28.9,66.0,0.0,76.18,81.25629581614908,1
121.3,3,40,3,12,1013,187.0,187.0,2.5,26.4,62.0,0.0,88.5,76.33882553118279,1
