avg_travel_time,hour,minute,weekday,timemap,pressure,wind_direction,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,SSD,is_workday
276.74,8,0,1,25,1012,7.0,7.0,4.6,26.9,43.0,0.0,145.22,68.00156924419889,1
275.82,21,0,3,64,1011,324.0,324.0,1.7,20.5,92.0,0.0,145.22,71.28834824489796,1
275.53,20,0,3,61,1013,4.0,4.0,1.5,20.9,80.0,0.0,179.76,71.36266708713694,3
274.3,21,40,1,66,1014,330.0,330.0,1.0,18.6,80.0,0.0,181.22,68.56701624242424,1
272.61,10,0,4,31,1006,16.0,16.0,3.5,24.1,81.0,0.0,130.02,71.219549169378,1
272.45,18,40,4,57,1008,342.0,342.0,4.1,20.4,97.0,2.0,233.37,63.96542808455286,3
271.49,14,0,4,43,1009,319.0,319.0,1.8,20.7,98.0,0.6,202.71,72.02933702386831,3
271.47,20,0,6,61,1006,5.0,5.0,1.0,22.7,91.0,0.0,197.09,77.71737284125561,3
268.05,9,20,4,29,1008,96.0,96.0,4.5,27.2,61.0,0.0,302.24,71.2951962786517,1
268.04,6,0,2,19,1009,126.0,126.0,1.5,26.5,64.0,0.0,302.24,79.9905587027027,3
266.94,10,40,5,33,1008,99.0,99.0,1.1,28.1,74.0,0.0,173.93,85.6544731692308,3
265.19,15,40,4,48,1009,334.0,334.0,1.4,21.7,89.0,0.0,226.99,74.2511147141631,1
264.7,22,20,4,68,1009,319.0,319.0,1.7,20.7,93.0,0.0,147.56,71.79121102386831,1
262.78,14,20,2,44,1012,59.0,59.0,2.0,25.4,72.0,0.0,218.32,77.36503810612246,3
261.92,23,0,6,70,1014,35.0,35.0,3.0,20.4,81.0,0.0,244.14,65.71687768455284,2
259.65,23,20,4,71,1009,284.0,284.0,0.7,21.0,96.0,0.0,139.59,75.91744266666667,1
258.62,18,40,5,57,1013,215.0,215.0,1.7,19.7,97.0,0.0,242.57,70.26403439209486,2
258.09,8,40,2,27,1016,100.0,100.0,3.1,22.1,59.0,0.0,242.57,66.08876998951965,1
257.53,10,0,6,31,1004,235.0,235.0,1.4,29.9,66.0,0.0,164.44,86.98958555231786,3
256.95,1,0,2,4,1010,32.0,32.0,0.9,22.7,80.0,0.0,164.44,76.7295036412556,3
255.13,9,0,2,28,1013,348.0,348.0,1.5,24.9,67.0,0.0,437.68,77.38324096915423,1
