volume,hour,minute,weekday,timemap,pressure,wind_direction,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,SSD,is_workday
140,0,0,0,1,1008,329.0,329.0,2.8,22.2,76.0,0.0,140.0,69.2230426385965,1
56,0,20,0,2,1008,329.0,329.0,2.8,22.2,76.0,0.0,140.0,69.2230426385965,1
31,0,40,0,3,1008,329.0,329.0,2.8,22.2,76.0,0.0,56.0,69.2230426385965,1
4,1,0,0,4,1008,329.0,329.0,2.8,22.2,76.0,0.0,31.0,69.2230426385965,1
14,1,20,0,5,1008,329.0,329.0,2.8,22.2,76.0,0.0,4.0,69.2230426385965,1
7,1,40,0,6,1008,329.0,329.0,2.8,22.2,76.0,0.0,14.0,69.2230426385965,1
7,2,0,0,7,1008,329.0,329.0,2.8,22.2,76.0,0.0,7.0,69.2230426385965,1
7,2,20,0,8,1008,329.0,329.0,2.8,22.2,76.0,0.0,7.0,69.2230426385965,1
10,2,40,0,9,1008,329.0,329.0,2.8,22.2,76.0,0.0,7.0,69.2230426385965,1
10,3,0,0,10,1008,15.0,15.0,4.5,24.4,67.0,0.0,10.0,66.84581676116505,1
14,3,20,0,11,1008,15.0,15.0,4.5,24.4,67.0,0.0,10.0,66.84581676116505,1
20,3,40,0,12,1008,15.0,15.0,4.5,24.4,67.0,0.0,14.0,66.84581676116505,1
18,4,0,0,13,1008,15.0,15.0,4.5,24.4,67.0,0.0,20.0,66.84581676116505,1
17,4,20,0,14,1008,15.0,15.0,4.5,24.4,67.0,0.0,18.0,66.84581676116505,1
23,4,40,0,15,1008,15.0,15.0,4.5,24.4,67.0,0.0,17.0,66.84581676116505,1
28,5,0,0,16,1008,15.0,15.0,4.5,24.4,67.0,0.0,23.0,66.84581676116505,1
24,5,20,0,17,1008,15.0,15.0,4.5,24.4,67.0,0.0,28.0,66.84581676116505,1
34,5,40,0,18,1008,15.0,15.0,4.5,24.4,67.0,0.0,24.0,66.84581676116505,1
39,6,0,0,19,1007,12.0,12.0,6.2,26.8,56.0,0.0,34.0,64.44146651428571,1
57,6,20,0,20,1007,12.0,12.0,6.2,26.8,56.0,0.0,39.0,64.44146651428571,1
72,6,40,0,21,1007,12.0,12.0,6.2,26.8,56.0,0.0,57.0,64.44146651428571,1
70,7,0,0,22,1007,12.0,12.0,6.2,26.8,56.0,0.0,72.0,64.44146651428571,1
83,7,20,0,23,1007,12.0,12.0,6.2,26.8,56.0,0.0,70.0,64.44146651428571,1
118,7,40,0,24,1007,12.0,12.0,6.2,26.8,56.0,0.0,83.0,64.44146651428571,1
123,8,0,0,25,1007,12.0,12.0,6.2,26.8,56.0,0.0,118.0,64.44146651428571,1
119,8,20,0,26,1007,12.0,12.0,6.2,26.8,56.0,0.0,123.0,64.44146651428571,1
116,8,40,0,27,1007,12.0,12.0,6.2,26.8,56.0,0.0,119.0,64.44146651428571,1
