avg_travel_time,hour,minute,weekday,timemap,pressure,wind_direction,wind_direction,wind_speed,temperature,rel_humidity,precipitation,SSD,is_workday
104.17,16,20,4,50,1010,82.0,82.0,2.0,23.4,79.0,0.0,74.43045745185185,1
103.23,5,40,0,18,1008,10.0,10.0,1.9,23.6,79.0,0.0,75.133499035514,3
103.03,17,20,2,53,1007,51.0,51.0,3.4,22.6,95.0,1.8,70.31583314285714,1
102.51,14,20,6,44,1008,83.0,83.0,2.9,25.2,76.0,0.0,74.61796085656566,2
102.5,8,20,1,26,1004,96.0,96.0,3.6,31.1,63.0,0.0,81.78337059856115,1
102.49,8,0,0,25,1007,12.0,12.0,6.2,26.8,56.0,0.0,64.44146651428571,1
102.17,1,0,2,4,1016,219.0,219.0,0.7,21.7,69.0,0.0,74.1858907141631,1
102.04,10,40,6,33,1004,235.0,235.0,1.4,29.9,66.0,0.0,86.98958555231786,3
101.95,20,20,3,62,1006,354.0,354.0,1.8,19.6,97.0,0.2,69.74675822362205,1
101.35,8,20,4,26,1006,164.0,164.0,1.0,24.7,80.0,0.0,80.24837808866995,1
101.07,10,40,6,33,1012,10.0,10.0,4.1,24.9,74.0,0.0,69.95151576915423,2
100.9,22,0,0,67,1012,319.0,319.0,2.7,19.1,75.0,0.0,63.5528445019305,1
100.76,15,20,2,47,1014,310.0,310.0,1.0,20.8,93.0,0.0,74.22722048264463,1
100.75,20,0,4,61,1015,202.0,202.0,1.1,18.4,89.0,0.0,68.79453140451128,1
100.75,2,0,4,7,1006,354.0,354.0,1.8,19.6,97.0,0.2,69.74675822362205,1
100.72,16,40,3,51,1012,86.0,86.0,2.7,23.1,80.0,0.0,71.73643930593606,1
100.59,21,0,1,64,1014,330.0,330.0,1.0,18.6,80.0,0.0,68.56701624242424,1
100.34,14,20,4,44,1008,351.0,351.0,2.3,22.5,83.0,0.0,72.22068777777778,1
100.19,0,0,0,1,1008,329.0,329.0,2.8,22.2,76.0,0.0,69.2230426385965,1
99.86,10,20,6,32,1007,57.0,57.0,2.8,28.9,57.0,0.0,79.34333221614908,2
99.72,16,20,5,50,1008,73.0,73.0,1.5,23.7,82.0,0.0,76.97265903849765,2
99.71,19,20,2,59,1006,38.0,38.0,5.5,22.0,94.0,1.2,62.29718539130435,1
99.71,8,0,0,25,1005,37.0,37.0,4.1,30.3,56.0,0.0,77.64363054149659,1
99.63,9,0,6,28,1007,57.0,57.0,2.8,28.9,57.0,0.0,79.34333221614908,2
99.4,15,20,0,47,1014,333.0,333.0,2.5,14.1,80.0,0.0,55.18706397411003,2
99.21,17,20,4,53,1009,334.0,334.0,1.4,21.7,89.0,0.0,74.2511147141631,1
98.97,5,0,0,16,1008,15.0,15.0,4.5,24.4,67.0,0.0,66.84581676116505,1
98.93,2,40,2,9,1018,56.0,56.0,4.5,19.9,60.0,0.0,57.676128286852595,1
98.81,14,40,0,45,1014,333.0,333.0,2.5,14.1,80.0,0.0,55.18706397411003,2
98.21,8,40,3,27,1015,48.0,48.0,2.3,21.6,63.0,0.0,68.18904835555556,1
98.15,7,0,0,22,1014,333.0,333.0,2.5,14.1,80.0,0.0,55.18706397411003,2
97.1,15,20,3,47,1008,342.0,342.0,2.6,19.9,97.0,0.3,67.7786350868526,1
97.09,16,20,0,50,1011,18.0,18.0,2.6,21.4,80.0,0.0,68.79945545762712,1
96.84,15,20,5,47,1008,73.0,73.0,1.5,23.7,82.0,0.0,76.97265903849765,2
96.5,11,0,5,34,1006,78.0,78.0,5.2,27.8,64.0,0.0,70.58597715348839,2
96.47,14,20,5,44,1008,60.0,60.0,2.5,24.4,78.0,0.0,74.62167916116505,2
95.89,16,20,3,50,1017,41.0,41.0,1.8,19.8,71.0,0.0,67.32415381587302,1
95.68,10,0,0,31,1006,81.0,81.0,2.6,28.9,66.0,0.0,81.25629581614908,1
