avg_travel_time,hour,minute,weekday,timemap,pressure,wind_direction,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,SSD,is_workday
68.02,0,0,1,1,1013.2,341.0,341.0,3.5,21.1,68.0,0.0,187.73,63.98836985439331,1
136.56,0,20,1,2,1013.2,341.0,341.0,3.5,21.1,68.0,0.0,68.02,63.98836985439331,1
73.38,1,0,1,4,1013.2,341.0,341.0,3.5,21.1,68.0,0.0,120.6,63.98836985439331,1
59.18,1,20,1,5,1013.2,341.0,341.0,3.5,21.1,68.0,0.0,73.38,63.98836985439331,1
30.78,2,0,1,7,1013.2,341.0,341.0,3.5,21.1,68.0,0.0,74.93,63.98836985439331,1
34.55,3,20,1,11,1013.5,354.0,354.0,2.6,23.9,58.0,0.0,82.83,70.87979294407583,1
70.31,3,40,1,12,1013.5,354.0,354.0,2.6,23.9,58.0,0.0,34.55,70.87979294407583,1
48.5,4,0,1,13,1013.5,354.0,354.0,2.6,23.9,58.0,0.0,70.31,70.87979294407583,1
72.37,4,20,1,14,1013.5,354.0,354.0,2.6,23.9,58.0,0.0,48.5,70.87979294407583,1
171.99,4,40,1,15,1013.5,354.0,354.0,2.6,23.9,58.0,0.0,72.37,70.87979294407583,1
90.47,5,40,1,18,1013.5,354.0,354.0,2.6,23.9,58.0,0.0,110.55,70.87979294407583,1
119.47,6,0,1,19,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,90.47,68.00156924419889,1
95.02,6,40,1,21,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,146.78,68.00156924419889,1
95.2,7,0,1,22,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,95.02,68.00156924419889,1
130.69,7,20,1,23,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,95.2,68.00156924419889,1
80.6,7,40,1,24,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,130.69,68.00156924419889,1
126.75,8,0,1,25,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,80.6,68.00156924419889,1
107.9,8,20,1,26,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,126.75,68.00156924419889,1
118.13,8,40,1,27,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,107.9,68.00156924419889,1
151.43,9,0,1,28,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,118.13,65.50360610612246,1
141.31,9,20,1,29,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,151.43,65.50360610612246,1
90.94,9,40,1,30,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,141.31,65.50360610612246,1
106.42,10,0,1,31,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,90.94,65.50360610612246,1
132.76,10,20,1,32,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,106.42,65.50360610612246,1
102.18,10,40,1,33,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,132.76,65.50360610612246,1
120.52,11,0,1,34,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,102.18,65.50360610612246,1
102.12,11,20,1,35,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,120.52,65.50360610612246,1
111.96,11,40,1,36,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,102.12,65.50360610612246,1
114.32,12,0,1,37,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,111.96,69.86847638951966,1
109.55,12,20,1,38,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,114.32,69.86847638951966,1
124.04,12,40,1,39,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,109.55,69.86847638951966,1
125.59,13,0,1,40,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,124.04,69.86847638951966,1
146.82,13,20,1,41,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,125.59,69.86847638951966,1
112.94,13,40,1,42,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,146.82,69.86847638951966,1
141.04,14,0,1,43,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,112.94,69.86847638951966,1
208.11,14,20,1,44,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,141.04,69.86847638951966,1
90.2,14,40,1,45,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,208.11,69.86847638951966,1
123.73,15,0,1,46,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,90.2,66.69410224489796,1
122.39,15,20,1,47,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,123.73,66.69410224489796,1
103.3,15,40,1,48,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,122.39,66.69410224489796,1
163.55,16,0,1,49,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,103.3,66.69410224489796,1
92.29,16,20,1,50,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,163.55,66.69410224489796,1
94.46,16,40,1,51,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,92.29,66.69410224489796,1
106.58,17,0,1,52,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,94.46,66.69410224489796,1
107.88,17,20,1,53,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,106.58,66.69410224489796,1
90.26,17,40,1,54,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,107.88,66.69410224489796,1
67.89,18,20,1,56,1013.8,327.0,327.0,1.4,19.4,74.0,0.0,93.94,68.1735901,1
115.28,18,40,1,57,1013.8,327.0,327.0,1.4,19.4,74.0,0.0,67.89,68.1735901,1
55.22,19,0,1,58,1013.8,327.0,327.0,1.4,19.4,74.0,0.0,115.28,68.1735901,1
98.14,19,20,1,59,1013.8,327.0,327.0,1.4,19.4,74.0,0.0,55.22,68.1735901,1
59.18,19,40,1,60,1013.8,327.0,327.0,1.4,19.4,74.0,0.0,98.14,68.1735901,1
121.09,20,0,1,61,1013.8,327.0,327.0,1.4,19.4,74.0,0.0,59.18,68.1735901,1
111.16,20,20,1,62,1013.8,327.0,327.0,1.4,19.4,74.0,0.0,121.09,68.1735901,1
99.42,20,40,1,63,1013.8,327.0,327.0,1.4,19.4,74.0,0.0,111.16,68.1735901,1
96.66,21,0,1,64,1014.1,330.0,330.0,1.0,18.6,80.0,0.0,99.42,68.56701624242424,1
116.25,21,20,1,65,1014.1,330.0,330.0,1.0,18.6,80.0,0.0,96.66,68.56701624242424,1
96.39,21,40,1,66,1014.1,330.0,330.0,1.0,18.6,80.0,0.0,116.25,68.56701624242424,1
103.53,22,0,1,67,1014.1,330.0,330.0,1.0,18.6,80.0,0.0,96.39,68.56701624242424,1
105.25,22,20,1,68,1014.1,330.0,330.0,1.0,18.6,80.0,0.0,103.53,68.56701624242424,1
98.51,22,40,1,69,1014.1,330.0,330.0,1.0,18.6,80.0,0.0,105.25,68.56701624242424,1
61.86,23,0,1,70,1014.1,330.0,330.0,1.0,18.6,80.0,0.0,98.51,68.56701624242424,1
106.94,23,20,1,71,1014.1,330.0,330.0,1.0,18.6,80.0,0.0,61.86,68.56701624242424,1
77.47,23,40,1,72,1014.1,330.0,330.0,1.0,18.6,80.0,0.0,106.94,68.56701624242424,1
215.28,0,0,2,1,1015.5,219.0,219.0,0.7,21.7,69.0,0.0,77.47,74.1858907141631,1
28.24,0,20,2,2,1015.5,219.0,219.0,0.7,21.7,69.0,0.0,215.28,74.1858907141631,1
70.47,1,0,2,4,1015.5,219.0,219.0,0.7,21.7,69.0,0.0,96.66,74.1858907141631,1
124.22,2,40,2,9,1015.5,219.0,219.0,0.7,21.7,69.0,0.0,138.58,74.1858907141631,1
88.71,5,40,2,18,1015.4,17.0,17.0,2.4,25.2,59.0,0.0,128.91,74.04217845656565,1
120.96,6,0,2,19,1013.1,328.0,328.0,3.0,26.2,56.0,0.0,88.71,73.57659656170213,1
78.29,6,20,2,20,1013.1,328.0,328.0,3.0,26.2,56.0,0.0,120.96,73.57659656170213,1
108.38,7,0,2,22,1013.1,328.0,328.0,3.0,26.2,56.0,0.0,122.5,73.57659656170213,1
49.93,7,20,2,23,1013.1,328.0,328.0,3.0,26.2,56.0,0.0,108.38,73.57659656170213,1
100.78,7,40,2,24,1013.1,328.0,328.0,3.0,26.2,56.0,0.0,49.93,73.57659656170213,1
151.0,8,0,2,25,1013.1,328.0,328.0,3.0,26.2,56.0,0.0,100.78,73.57659656170213,1
127.77,8,20,2,26,1013.1,328.0,328.0,3.0,26.2,56.0,0.0,151.0,73.57659656170213,1
169.72,8,40,2,27,1013.1,328.0,328.0,3.0,26.2,56.0,0.0,127.77,73.57659656170213,1
252.82,9,0,2,28,1013.2,348.0,348.0,1.5,24.9,67.0,0.0,169.72,77.38324096915423,1
135.63,9,20,2,29,1013.2,348.0,348.0,1.5,24.9,67.0,0.0,252.82,77.38324096915423,1
117.77,9,40,2,30,1013.2,348.0,348.0,1.5,24.9,67.0,0.0,135.63,77.38324096915423,1
127.55,10,0,2,31,1013.2,348.0,348.0,1.5,24.9,67.0,0.0,117.77,77.38324096915423,1
110.52,10,20,2,32,1013.2,348.0,348.0,1.5,24.9,67.0,0.0,127.55,77.38324096915423,1
154.48,10,40,2,33,1013.2,348.0,348.0,1.5,24.9,67.0,0.0,110.52,77.38324096915423,1
102.31,11,0,2,34,1013.2,348.0,348.0,1.5,24.9,67.0,0.0,154.48,77.38324096915423,1
84.23,11,20,2,35,1013.2,348.0,348.0,1.5,24.9,67.0,0.0,102.31,77.38324096915423,1
103.14,11,40,2,36,1013.2,348.0,348.0,1.5,24.9,67.0,0.0,84.23,77.38324096915423,1
124.78,12,0,2,37,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,103.14,70.49993400675106,1
144.93,12,20,2,38,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,124.78,70.49993400675106,1
94.92,12,40,2,39,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,144.93,70.49993400675106,1
121.87,13,0,2,40,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,94.92,70.49993400675106,1
137.61,13,20,2,41,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,121.87,70.49993400675106,1
107.45,13,40,2,42,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,137.61,70.49993400675106,1
113.8,14,0,2,43,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,107.45,70.49993400675106,1
124.99,14,20,2,44,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,113.8,70.49993400675106,1
121.67,14,40,2,45,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,124.99,70.49993400675106,1
102.55,15,0,2,46,1014.1,310.0,310.0,1.0,20.8,93.0,0.0,121.67,74.22722048264463,1
120.98,15,20,2,47,1014.1,310.0,310.0,1.0,20.8,93.0,0.0,102.55,74.22722048264463,1
100.15,15,40,2,48,1014.1,310.0,310.0,1.0,20.8,93.0,0.0,120.98,74.22722048264463,1
