avg_travel_time,hour,minute,weekday,timemap,pressure,wind_direction,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,SSD,is_workday
184.5,6,20,1,20,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,241.05,68.00156924419889,1
146.98,7,0,1,22,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,189.92,68.00156924419889,1
276.74,8,0,1,25,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,167.64,68.00156924419889,1
113.72,9,0,1,28,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,161.5,65.50360610612246,1
222.6,10,0,1,31,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,164.53,65.50360610612246,1
211.74,10,20,1,32,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,222.6,65.50360610612246,1
159.05,10,40,1,33,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,211.74,65.50360610612246,1
102.33,11,20,1,35,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,136.83,65.50360610612246,1
194.42,12,0,1,37,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,206.98,69.86847638951966,1
154.59,12,20,1,38,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,194.42,69.86847638951966,1
137.64,12,40,1,39,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,154.59,69.86847638951966,1
183.06,13,0,1,40,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,137.64,69.86847638951966,1
214.76,13,20,1,41,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,183.06,69.86847638951966,1
167.25,13,40,1,42,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,214.76,69.86847638951966,1
243.14,14,0,1,43,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,167.25,69.86847638951966,1
164.03,14,20,1,44,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,243.14,69.86847638951966,1
116.5,14,40,1,45,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,164.03,69.86847638951966,1
114.65,15,0,1,46,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,116.5,66.69410224489796,1
159.06,15,20,1,47,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,114.65,66.69410224489796,1
131.04,15,40,1,48,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,159.06,66.69410224489796,1
153.67,16,0,1,49,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,131.04,66.69410224489796,1
175.41,16,40,1,51,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,164.37,66.69410224489796,1
196.55,17,0,1,52,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,175.41,66.69410224489796,1
158.64,18,0,1,55,1013.8,327.0,327.0,1.4,19.4,74.0,0.0,235.19,68.1735901,1
134.94,19,0,1,58,1013.8,327.0,327.0,1.4,19.4,74.0,0.0,174.1,68.1735901,1
172.26,19,20,1,59,1013.8,327.0,327.0,1.4,19.4,74.0,0.0,134.94,68.1735901,1
141.37,20,0,1,61,1013.8,327.0,327.0,1.4,19.4,74.0,0.0,218.83,68.1735901,1
175.79,20,20,1,62,1013.8,327.0,327.0,1.4,19.4,74.0,0.0,141.37,68.1735901,1
190.36,20,40,1,63,1013.8,327.0,327.0,1.4,19.4,74.0,0.0,175.79,68.1735901,1
148.94,21,0,1,64,1014.1,330.0,330.0,1.0,18.6,80.0,0.0,190.36,68.56701624242424,1
181.22,21,20,1,65,1014.1,330.0,330.0,1.0,18.6,80.0,0.0,148.94,68.56701624242424,1
274.3,21,40,1,66,1014.1,330.0,330.0,1.0,18.6,80.0,0.0,181.22,68.56701624242424,1
179.7,23,0,1,70,1014.1,330.0,330.0,1.0,18.6,80.0,0.0,259.98,68.56701624242424,1
143.59,23,20,1,71,1014.1,330.0,330.0,1.0,18.6,80.0,0.0,179.7,68.56701624242424,1
141.34,5,40,2,18,1015.4,17.0,17.0,2.4,25.2,59.0,0.0,167.48,74.04217845656565,1
303.41,6,20,2,20,1013.1,328.0,328.0,3.0,26.2,56.0,0.0,209.59,73.57659656170213,1
81.04,7,0,2,22,1013.1,328.0,328.0,3.0,26.2,56.0,0.0,194.59,73.57659656170213,1
126.69,7,40,2,24,1013.1,328.0,328.0,3.0,26.2,56.0,0.0,186.98,73.57659656170213,1
112.29,8,0,2,25,1013.1,328.0,328.0,3.0,26.2,56.0,0.0,126.69,73.57659656170213,1
314.07,8,20,2,26,1013.1,328.0,328.0,3.0,26.2,56.0,0.0,112.29,73.57659656170213,1
437.68,8,40,2,27,1013.1,328.0,328.0,3.0,26.2,56.0,0.0,314.07,73.57659656170213,1
255.13,9,0,2,28,1013.2,348.0,348.0,1.5,24.9,67.0,0.0,437.68,77.38324096915423,1
126.34,10,20,2,32,1013.2,348.0,348.0,1.5,24.9,67.0,0.0,221.35,77.38324096915423,1
181.02,10,40,2,33,1013.2,348.0,348.0,1.5,24.9,67.0,0.0,126.34,77.38324096915423,1
114.2,11,0,2,34,1013.2,348.0,348.0,1.5,24.9,67.0,0.0,181.02,77.38324096915423,1
123.22,11,20,2,35,1013.2,348.0,348.0,1.5,24.9,67.0,0.0,114.2,77.38324096915423,1
180.3,11,40,2,36,1013.2,348.0,348.0,1.5,24.9,67.0,0.0,123.22,77.38324096915423,1
143.21,12,20,2,38,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,120.73,70.49993400675106,1
126.47,12,40,2,39,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,143.21,70.49993400675106,1
155.14,13,0,2,40,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,126.47,70.49993400675106,1
185.44,13,20,2,41,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,155.14,70.49993400675106,1
129.8,13,40,2,42,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,185.44,70.49993400675106,1
177.58,14,0,2,43,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,129.8,70.49993400675106,1
154.04,14,20,2,44,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,177.58,70.49993400675106,1
193.06,14,40,2,45,1014.1,320.0,320.0,2.4,21.3,91.0,0.5,154.04,70.49993400675106,1
219.1,15,0,2,46,1014.1,310.0,310.0,1.0,20.8,93.0,0.0,193.06,74.22722048264463,1
294.56,15,20,2,47,1014.1,310.0,310.0,1.0,20.8,93.0,0.0,219.1,74.22722048264463,1
127.07,15,40,2,48,1014.1,310.0,310.0,1.0,20.8,93.0,0.0,294.56,74.22722048264463,1
169.38,16,0,2,49,1014.1,310.0,310.0,1.0,20.8,93.0,0.0,127.07,74.22722048264463,1
166.84,16,20,2,50,1014.1,310.0,310.0,1.0,20.8,93.0,0.0,169.38,74.22722048264463,1
239.33,16,40,2,51,1014.1,310.0,310.0,1.0,20.8,93.0,0.0,166.84,74.22722048264463,1
241.3,17,0,2,52,1014.1,310.0,310.0,1.0,20.8,93.0,0.0,239.33,74.22722048264463,1
133.25,17,20,2,53,1014.1,310.0,310.0,1.0,20.8,93.0,0.0,241.3,74.22722048264463,1
173.89,17,40,2,54,1014.1,310.0,310.0,1.0,20.8,93.0,0.0,133.25,74.22722048264463,1
