volume,hour,minute,weekday,timemap,pressure,wind_direction,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,SSD,is_workday
94,0,0,5,1,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,9.0,61.35155810000001,2
47,0,20,5,2,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,94.0,61.35155810000001,2
27,0,40,5,3,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,47.0,61.35155810000001,2
6,1,0,5,4,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,27.0,61.35155810000001,2
6,1,20,5,5,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,6.0,61.35155810000001,2
3,1,40,5,6,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,6.0,61.35155810000001,2
5,2,0,5,7,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,3.0,61.35155810000001,2
3,2,20,5,8,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,5.0,61.35155810000001,2
5,2,40,5,9,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,3.0,61.35155810000001,2
5,3,0,5,10,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,5.0,57.525302589473675,2
10,3,20,5,11,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,5.0,57.525302589473675,2
10,3,40,5,12,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,10.0,57.525302589473675,2
11,4,0,5,13,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,10.0,57.525302589473675,2
18,4,20,5,14,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,11.0,57.525302589473675,2
18,4,40,5,15,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,18.0,57.525302589473675,2
23,5,0,5,16,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,18.0,57.525302589473675,2
26,5,20,5,17,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,23.0,57.525302589473675,2
23,5,40,5,18,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,26.0,57.525302589473675,2
30,6,0,5,19,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,23.0,66.00607278951965,2
38,6,20,5,20,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,30.0,66.00607278951965,2
67,6,40,5,21,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,38.0,66.00607278951965,2
66,7,0,5,22,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,67.0,66.00607278951965,2
89,7,20,5,23,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,66.0,66.00607278951965,2
94,7,40,5,24,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,89.0,66.00607278951965,2
96,8,0,5,25,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,94.0,66.00607278951965,2
117,8,20,5,26,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,96.0,66.00607278951965,2
82,8,40,5,27,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,117.0,66.00607278951965,2
113,9,0,5,28,1011.1,357.0,357.0,3.2,20.5,80.0,0.0,82.0,65.15757224489796,2
73,9,20,5,29,1011.1,357.0,357.0,3.2,20.5,80.0,0.0,113.0,65.15757224489796,2
130,9,40,5,30,1011.1,357.0,357.0,3.2,20.5,80.0,0.0,73.0,65.15757224489796,2
79,10,0,5,31,1011.1,357.0,357.0,3.2,20.5,80.0,0.0,130.0,65.15757224489796,2
85,10,20,5,32,1011.1,357.0,357.0,3.2,20.5,80.0,0.0,79.0,65.15757224489796,2
100,10,40,5,33,1011.1,357.0,357.0,3.2,20.5,80.0,0.0,85.0,65.15757224489796,2
91,11,0,5,34,1011.1,357.0,357.0,3.2,20.5,80.0,0.0,100.0,65.15757224489796,2
77,11,20,5,35,1011.1,357.0,357.0,3.2,20.5,80.0,0.0,91.0,65.15757224489796,2
66,11,40,5,36,1011.1,357.0,357.0,3.2,20.5,80.0,0.0,77.0,65.15757224489796,2
78,12,0,5,37,1013.9,41.0,41.0,4.6,20.2,66.0,0.0,66.0,58.5666367483871,2
